Species_name,GBIF_name,Order,Family,IUCN_status,Agriculture,Hunting,Invasive_species,Climate_change,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Primary_lifestyle,Island_restricted_breeding,Latitudinal_range,Elevational_range,Habitat_breadth,Diet_breadth,Realm,Minimum_elevation,Maximum_elevation,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Range_size,Body_mass,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Acrobatornis fonsecai,Acrobatornis fonsecai,PASSERIFORMES,Furnariidae,NT,1,1,1,0,10.4,7.3,3,3.6,17.6,62.9,13.6,48.3,21.2,56.6,-16.05,-14.51,Insessorial,0,1,550,1,1,L,0,550,0.626200021,1.025885841,7.556301524,2.507388232,3689.54,13.7,2.62132352941177,Invertebrate,Forest,Sedentary,Higher_risk
Metopothrix aurantiaca,Metopothrix aurantiaca,PASSERIFORMES,Furnariidae,LC,0,0,0,0,11.8,7.7,3.1,3.3,14.5,56.9,12.9,43.9,22.8,48.5,-13.71,1.13,Insessorial,0,1,500,3,1,L,150,650,0.581342154,0.947174849,7.112993058,2.17507447,1453065.41,11.2,2.62132352941177,Invertebrate,Riparian,Sedentary,Lower_risk
Xenerpestes minlosi,Xenerpestes minlosi,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.5,8.5,3.3,3.6,14.6,54.3,10.9,43.4,20,49,-0.15,9.13,Insessorial,0,1,900,1,1,L,0,900,0.624428684,0.983382742,7.094718712,2.376927088,108320.34,11,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Xenerpestes singularis,Xenerpestes singularis,PASSERIFORMES,Furnariidae,LC,1,1,0,0,12.9,7.4,3.1,3.4,15.8,56.3,10.6,45.8,18.7,48.5,-6.19,-0.36,Insessorial,0,1,700,1,1,L,1000,1700,0.632733942,0.993502364,7.103651789,2.420081712,30318.97,11.6,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Roraimia adusta,Roraimia adusta,PASSERIFORMES,Furnariidae,LC,0,0,0,0,14.1,9.3,3,3.5,20.9,63.3,9.1,53.8,14.4,63,2.66,6.48,Insessorial,0,1,1500,1,1,L,1000,2500,0.651391868,1.060078816,7.60165157,2.660626462,71553.86,16.2,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Thripophaga cherriei,Thripophaga cherriei,PASSERIFORMES,Furnariidae,VU,1,0,0,0,15.3,10.1,3.3,4.2,18.3,65.5,9,56.5,13.7,68.2,4.68,4.72,Insessorial,0,1,30,2,1,L,120,150,0.609459566,1.020626762,7.616386109,2.425943901,9.87,12.8,2.62132352941177,Invertebrate,Riparian,Sedentary,Higher_risk
Thripophaga macroura,Thripophaga macroura,PASSERIFORMES,Furnariidae,NT,1,1,0,0,18,11.7,3.8,4.3,20.4,80.4,14.4,66.1,17.9,83.2,-21.91,-13.57,Insessorial,0,1,1000,1,1,L,0,1000,0.640472948,1.176763783,8.287436202,2.725080491,5966.24,27.7,3,Invertebrate,Forest,Sedentary,Higher_risk
Thripophaga fusciceps,Thripophaga fusciceps,PASSERIFORMES,Furnariidae,LC,0,0,0,0,16.4,10.5,4.2,4.8,22.1,76.6,12.1,64.5,15.8,94.8,-15.57,-0.13,Insessorial,0,1,450,4,1,L,50,500,0.667714455,1.133636754,8.191730326,2.81399941,514581.94,23,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Limnoctites rectirostris,Limnoctites rectirostris,PASSERIFORMES,Furnariidae,NT,1,0,0,0,25.8,19,3,4.1,18,59.1,7.8,51.5,13.2,63.7,-35.32,-29.2,Insessorial,0,3,1100,3,1,L,0,1100,0.653209518,1.193059101,8.842912748,2.87747587,179597.01,18.5,4,Invertebrate,Wetland,Sedentary,Higher_risk
Cranioleuca marcapatae,Cranioleuca marcapatae,PASSERIFORMES,Furnariidae,LC,0,1,0,0,18.1,9.8,3.1,4,22.4,67.6,6.8,61.2,10.1,75,-14.22,-12.24,Insessorial,0,1,950,2,1,L,2400,3350,0.652406561,1.101366151,8.054718417,2.706815626,15353.77,19.8,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca albiceps,Cranioleuca albiceps,PASSERIFORMES,Furnariidae,LC,0,0,0,0,16,9.6,2.9,4.1,21.4,64.2,7.9,55.9,12.5,69.2,-17.91,-13.78,Insessorial,0,1,1200,2,1,L,2200,3400,0.64099739,1.07605092,7.929604247,2.626854455,42265.84,17.6,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca vulpecula,Cranioleuca vulpecula,PASSERIFORMES,Furnariidae,LC,0,0,0,0,17.2,10.9,3.4,4.2,19.9,69.7,10.2,58.8,14.8,62.8,-11.29,-0.22,Insessorial,0,1,300,2,1,L,0,300,0.617773914,1.04759126,7.81884564,2.490447885,340457.78,18.9,2.4,Invertebrate,Riparian,Sedentary,Lower_risk
Cranioleuca vulpina,Cranioleuca vulpina,PASSERIFORMES,Furnariidae,LC,0,0,0,0,14.5,9.2,3.2,3.7,18.6,64.3,9.9,54.5,15.3,64.8,-23.67,10.02,Insessorial,0,1,400,4,1,L,0,400,0.642795957,1.155109171,7.815520755,2.714458129,5731362.69,15.7,3,Invertebrate,Riparian,Sedentary,Lower_risk
Cranioleuca muelleri,Cranioleuca muelleri,PASSERIFORMES,Furnariidae,LC,1,0,0,0,16.6,10.5,3.3,4.1,18.7,73.2,10,62.8,13.6,72.7,-3.64,2.5,Insessorial,0,1,200,1,1,L,0,200,0.649562255,1.037033032,7.36937358,2.531546244,73902.84,14.5,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca albicapilla,Cranioleuca albicapilla,PASSERIFORMES,Furnariidae,LC,0,0,0,0,16.8,9.9,3.1,4.2,22,73.5,10.5,63.1,14.3,81.2,-13.43,-10.93,Insessorial,0,1,1250,3,1,L,2400,3650,0.657903943,1.116878757,8.150175654,2.749024732,18638.25,21.3,2.62132352941177,Invertebrate,Woodland,Sedentary,Lower_risk
Cranioleuca obsoleta,Cranioleuca obsoleta,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.6,7.9,2.5,3.3,17.5,56.2,9,47.3,16,63,-32.48,-22.95,Insessorial,0,2,1000,2,1,L,0,1000,0.608086108,1.02151652,7.748511628,2.420689847,653975.04,13.4,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca pallida,Cranioleuca pallida,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.5,8.7,2.6,3.4,16.6,61.2,10.4,50.6,17,63.2,-24.83,-13.74,Insessorial,0,2,1450,2,1,L,700,2150,0.608811973,0.991845568,7.390128149,2.324207854,694100.17,11.5,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.4,10,2.7,3.4,18.1,62.1,9.7,52.4,15.6,68.2,-41.17,-15.67,Insessorial,0,2,3100,4,1,L,0,3100,0.639448196,1.143270582,8.373458917,2.686734504,2026269.35,14.9,3,Invertebrate,Woodland,Sedentary,Lower_risk
Cranioleuca henricae,Cranioleuca henricae,PASSERIFORMES,Furnariidae,VU,1,1,0,1,15.9,10.8,2.7,3.8,18.6,66.7,11.6,55.1,17.3,68.2,-17.3,-15.49,Insessorial,0,1,700,2,1,L,1600,2300,0.63634164,1.063825964,7.854618549,2.592630802,1384.33,14.9,2.62132352941177,Invertebrate,Woodland,Sedentary,Higher_risk
Cranioleuca erythrops,Cranioleuca erythrops,PASSERIFORMES,Furnariidae,LC,0,0,0,0,14.6,9.5,3.2,3.7,18.6,64.8,11,55.2,16.6,71.4,-2.92,11.01,Insessorial,0,1,1600,2,1,L,700,2300,0.654337355,1.068250798,7.652134452,2.683049889,76469.87,16.9,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca antisiensis,Cranioleuca antisiensis,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.1,9.3,3,3.8,20.1,65.2,8,56.8,12.4,71.6,-11.84,-2.53,Insessorial,0,1,3600,3,1,L,800,4400,0.650761232,1.067884983,7.69822078,2.665390194,106877.64,16.9,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca curtata,Cranioleuca curtata,PASSERIFORMES,Furnariidae,LC,1,1,0,0,14.7,8.8,3.1,3.7,17.7,63.8,11.1,52.8,17.4,71.8,-17.59,6.03,Insessorial,0,1,800,1,1,L,900,1700,0.653251848,1.075459266,7.748424778,2.684998351,173903.21,17.5,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca demissa,Cranioleuca demissa,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.5,8.8,3.1,3.5,17.6,60.6,9.3,52,15.1,64,0.72,6.57,Insessorial,0,1,1350,2,1,L,1100,2450,0.64682709,1.046640286,7.513684892,2.625236546,77222.43,15.2,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca semicinerea,Cranioleuca semicinerea,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.1,10.4,3.1,3.9,16.9,64,10.3,53.6,16.1,68.3,-16.44,-3.82,Insessorial,0,1,350,2,1,L,500,850,0.639090627,1.043971312,7.589060814,2.585743947,987554.48,15,2.62132352941177,Invertebrate,Woodland,Sedentary,Lower_risk
Cranioleuca hellmayri,Cranioleuca hellmayri,PASSERIFORMES,Furnariidae,LC,0,0,0,0,16.2,9.5,3.1,3.6,19,64.2,12,52.8,18.7,67.3,10.28,11.12,Insessorial,0,1,1480,1,1,L,1520,3000,0.638446386,1.043434074,7.591738718,2.5821621,6775.39,15,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Cranioleuca subcristata,Cranioleuca subcristata,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.8,9.6,2.8,3.4,17.8,63.5,10.2,53.2,16.1,66,4.82,11.29,Insessorial,0,1,1900,3,1,L,50,1950,0.639617496,1.039913476,7.535841446,2.584178542,182930.19,14.7,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Pseudasthenes humicola,Pseudasthenes humicola,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15,9.2,3,3.7,22.1,61.4,6.9,54.2,11.3,74,-38.41,-24.19,Generalist,0,3,1800,4,3,L,0,1800,0.618723331,1.130259639,8.535594537,2.631821959,118680.46,20.8,4,Invertebrate,Shrub,Sedentary,Lower_risk
Pseudasthenes patagonica,Pseudasthenes patagonica,PASSERIFORMES,Furnariidae,LC,0,0,0,0,12.9,7.7,2.9,3.6,20.1,56.7,8.1,48.5,14.3,65.6,-48.41,-34.67,Terrestrial,0,3,700,3,2,L,0,700,0.602911075,1.078259043,8.446428124,2.454430539,585684,16.4,4,Invertebrate,Shrub,Sedentary,Lower_risk
Pseudasthenes steinbachi,Pseudasthenes steinbachi,PASSERIFORMES,Furnariidae,LC,1,0,0,0,15.2,8.6,3.1,3.9,22.3,64.7,8.7,55.8,13.4,83.8,-41.49,-22.06,Terrestrial,0,3,2500,3,1,L,500,3000,0.656519739,1.205494988,8.852218261,2.908216669,273597.84,19.5,3,Invertebrate,Shrub,Sedentary,Lower_risk
Spartonoica maluroides,Spartonoica maluroides,PASSERIFORMES,Furnariidae,LC,1,0,0,0,13.6,8.5,2.4,3,15.9,49.6,8.8,40.6,17.6,68.6,-41.17,-28.78,Insessorial,0,3,900,1,1,L,0,900,0.545406099,0.996683577,7.635481674,2.133315049,1267559.91,11,4,Invertebrate,Wetland,Sedentary,Lower_risk
Pseudoseisura cristata,Pseudoseisura cristata,PASSERIFORMES,Furnariidae,LC,0,0,0,0,23.7,17.5,4.6,6.2,28.2,104.8,15.6,88.8,15.7,101.3,-20.01,-3.52,Terrestrial,0,1,450,5,2,L,50,500,0.7087885,1.314144218,9.532506092,3.417482937,909279.08,53.6,2.62132352941177,Invertebrate,Woodland,Sedentary,Lower_risk
Pseudoseisura lophotes,Pseudoseisura lophotes,PASSERIFORMES,Furnariidae,LC,0,0,0,0,24.6,17.7,5.3,7.1,33.5,118.5,18.4,100.1,15.6,106.5,-41.05,-18.3,Terrestrial,0,2,900,4,4,L,0,900,0.715242394,1.500829404,11.06690082,3.649491637,1313911,72.2,4,Invertebrate,Woodland,Sedentary,Lower_risk
Pseudoseisura gutturalis,Pseudoseisura gutturalis,PASSERIFORMES,Furnariidae,LC,0,0,0,0,25.9,19.5,5.4,7.6,33.5,102.3,18.3,84,17.9,90.8,-49.03,-25.26,Terrestrial,0,3,2900,2,1,L,0,2900,0.675224907,1.382101977,10.84044471,3.312855657,779615.04,70.4,5,Invertebrate,Shrub,Sedentary,Lower_risk
Schoeniophylax phryganophilus,Schoeniophylax phryganophilus,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.5,8.4,3.1,3.9,21.7,61.4,9.4,52.7,15.1,109.3,-35.59,-4.51,Insessorial,0,2,1200,5,1,L,0,1200,0.567236309,1.022963535,7.688966809,2.247020791,2565832.93,18.6,5,Invertebrate,Grassland,Sedentary,Lower_risk
Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.8,10.9,3,3.4,18.5,59.3,7.9,51.4,13.4,62.2,-35.43,12.63,Insessorial,0,2,500,4,1,L,0,500,0.597839118,1.062240443,7.489427608,2.352377689,8364757.31,15.2,5,Invertebrate,Wetland,Sedentary,Lower_risk
Certhiaxis mustelinus,Certhiaxis mustelinus,PASSERIFORMES,Furnariidae,LC,0,0,0,0,16.4,10.7,3.1,3.3,19.3,56.3,7.2,48.8,12.9,53.8,-11.31,-0.6,Insessorial,0,1,150,4,1,L,0,150,0.602810498,1.001530297,7.480619251,2.310717982,693874.13,15,2.62132352941177,Invertebrate,Riparian,Sedentary,Lower_risk
Synallaxis scutata,Synallaxis scutata,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.5,8.1,2.8,3.8,18.3,55,6,48.4,10.9,59.4,-28.26,-2.64,Terrestrial,0,1,1700,2,1,L,0,1700,0.641562575,1.150727731,7.919597795,2.704213781,3789577.7,15.4,3,Invertebrate,Woodland,Sedentary,Lower_risk
Synallaxis cinerascens,Synallaxis cinerascens,PASSERIFORMES,Furnariidae,LC,0,0,0,0,12.4,7.9,2.7,3.2,19.5,54.1,7.8,47.5,13.9,65.9,-33.73,-18.48,Insessorial,0,2,1150,2,1,L,0,1150,0.609718141,1.072307514,7.828175985,2.47878315,1223916.17,13.1,3,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis gujanensis,Synallaxis gujanensis,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.6,9.8,3.3,4.1,21.8,60.6,5.5,53.9,9.2,72,-18.6,9.27,Insessorial,0,1,1200,5,1,L,0,1200,0.651830655,1.187933226,7.934149531,2.790599595,4462466.66,18.1,3,Invertebrate,Riparian,Sedentary,Lower_risk
Synallaxis maranonica,Synallaxis maranonica,PASSERIFORMES,Furnariidae,CR,1,1,0,0,15.8,10.2,3,4,21.9,61.6,6.2,55.4,10,69.4,-5.92,-4.52,Generalist,0,1,1400,4,1,L,450,1850,0.637207986,1.015566225,7.293272082,2.460078979,4053.01,13,2.45,Invertebrate,Riparian,Sedentary,Higher_risk
Synallaxis albilora,Synallaxis albilora,PASSERIFORMES,Furnariidae,LC,0,0,0,0,14.4,9.4,3.2,3.9,22.2,62.1,7.6,54.5,12.1,75.5,-22.55,-15.06,Generalist,0,1,300,3,1,L,100,400,0.590499309,1.144208007,9.97001009,2.534393376,218221.06,14.9,4,Invertebrate,Riparian,Sedentary,Lower_risk
Synallaxis candei,Synallaxis candei,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.6,9.6,3.3,4,21.2,58.4,6.8,51.6,11.5,68.8,7.88,12.46,Terrestrial,0,1,1100,4,1,L,0,1100,0.598277659,1.063613377,7.416160547,2.355425722,156033.91,15.3,4,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis erythrothorax,Synallaxis erythrothorax,PASSERIFORMES,Furnariidae,LC,0,0,0,0,19.1,9.8,3.2,4.1,20.3,55.5,5.2,49.7,9.4,65.1,13.15,21.62,Insessorial,0,1,1250,3,2,L,0,1250,0.627208797,1.130093615,8.007846829,2.616262813,355771.38,17.1,4,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis tithys,Synallaxis tithys,PASSERIFORMES,Furnariidae,VU,1,1,0,0,15.1,9,3,4.2,19.1,57.1,6.7,50,11.8,89.1,-5.46,-0.51,Insessorial,0,1,1240,3,1,L,50,1290,0.6518459,1.05448062,7.532722076,2.657220628,6119.23,15.8,2.62132352941177,Invertebrate,Woodland,Sedentary,Higher_risk
Synallaxis unirufa,Synallaxis unirufa,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.6,9.2,3.4,3.9,21.9,57.3,6.7,51,11.6,89.1,-13.22,10.95,Insessorial,0,1,2000,3,1,L,1700,3700,0.662419059,1.080154825,7.670745031,2.734401233,210448.02,17.9,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis castanea,Synallaxis castanea,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.7,9.6,3,3.8,21.7,58.1,6.5,50.8,11.3,102.8,10.26,10.53,Insessorial,0,1,900,4,1,L,1300,2200,0.639042324,1.043971312,7.58971983,2.585515555,2024.49,15,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis fuscorufa,Synallaxis fuscorufa,PASSERIFORMES,Furnariidae,NT,1,1,0,0,15.2,9.6,3.3,3.4,20.8,56.3,12.7,44.9,22.9,90.3,10.43,11.2,Insessorial,0,1,1000,2,1,L,2000,3000,0.642258118,1.056530722,7.688321615,2.613321542,5052.52,16,2.62132352941177,Invertebrate,Forest,Sedentary,Higher_risk
Synallaxis cinnamomea,Synallaxis cinnamomea,PASSERIFORMES,Furnariidae,LC,0,0,0,0,14.4,9.3,3.8,4.1,20.2,54.8,6.1,48.3,11.6,66,4.15,11.35,Insessorial,0,1,1300,4,1,L,700,2000,0.631857094,1.146153964,7.815305116,2.653936892,85347.41,18.4,3,Invertebrate,Woodland,Sedentary,Lower_risk
Synallaxis rutilans,Synallaxis rutilans,PASSERIFORMES,Furnariidae,LC,0,0,0,0,14.9,9.1,3.3,4.3,19.5,59.6,7.2,52.1,12.2,70,-15.89,8.29,Insessorial,0,1,1200,1,1,L,0,1200,0.604117837,1.082116031,7.354900052,2.396335624,5856806.86,16.7,4,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis cherriei,Synallaxis cherriei,PASSERIFORMES,Furnariidae,LC,1,1,0,0,13.6,8.8,3.2,4.1,19.2,56.6,6.3,50.3,11.1,56.9,-15.84,1.32,Insessorial,0,1,1250,3,1,L,200,1450,0.645564997,1.057040653,7.648249622,2.629596862,608624.03,16,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis zimmeri,Synallaxis zimmeri,PASSERIFORMES,Furnariidae,VU,1,1,0,0,13.5,8.6,2.5,3.3,20.7,55.6,6.8,49.2,12.1,92,-10.1,-9.47,Insessorial,0,1,400,2,3,L,2500,2900,0.651396817,1.156196589,7.75842395,2.756768123,521.85,13,2,Invertebrate,Shrub,Sedentary,Higher_risk
Synallaxis stictothorax,Synallaxis stictothorax,PASSERIFORMES,Furnariidae,LC,0,0,0,0,11.9,7.7,2.4,3,17.6,50.7,6.8,43.3,13.5,54.4,-7.97,-0.7,Insessorial,0,1,400,2,1,L,0,400,0.622671365,0.969172619,6.956621687,2.355770472,49674.42,10.2,4,Invertebrate,Shrub,Sedentary,Lower_risk
Synallaxis brachyura,Synallaxis brachyura,PASSERIFORMES,Furnariidae,LC,0,0,0,0,16.3,10,3.4,4,21.3,57.9,7.5,51.4,12.6,76.7,-4.01,16.03,Insessorial,0,1,1800,6,2,L,200,2000,0.652524173,1.19050741,7.983761857,2.796525573,403853.13,18.3,3,Invertebrate,Shrub,Sedentary,Lower_risk
Synallaxis subpudica,Synallaxis subpudica,PASSERIFORMES,Furnariidae,LC,0,0,0,0,14.3,8.7,2.9,3.7,22.6,62.2,8.2,53.8,13.4,108.3,4.26,6.34,Insessorial,0,1,1100,3,1,L,2100,3200,0.652180321,1.063080949,7.624351185,2.667436794,15176.74,18.3,1,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis hellmayri,Synallaxis hellmayri,PASSERIFORMES,Furnariidae,LC,1,1,0,0,15.3,11.3,3.3,4.9,21.5,69.7,8.4,60.3,12.4,73.7,-14.96,-6.02,Generalist,0,1,200,2,2,L,200,400,0.67280103,1.156324166,8.369276277,2.86196939,24914.84,25.5,3,Invertebrate,Woodland,Sedentary,Lower_risk
Synallaxis ruficapilla,Synallaxis ruficapilla,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.3,8.9,2.8,3.6,20.3,55.9,6.4,48.6,11.6,74.3,-29.76,-17.73,Insessorial,0,2,1400,3,1,L,0,1400,0.634514459,1.126129397,8.054584282,2.64634909,1174516.01,13.8,3,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis cinerea,Synallaxis cinerea,PASSERIFORMES,Furnariidae,NT,1,1,0,1,12.4,9.4,3.2,4.1,20.9,54.9,3.8,50.2,7.1,71.2,-16.2,-11.69,Insessorial,0,1,500,3,1,L,500,1000,0.638465062,1.059574984,7.775914517,2.598391223,24736.24,16.2,2.62132352941177,Invertebrate,Forest,Sedentary,Higher_risk
Synallaxis infuscata,Synallaxis infuscata,PASSERIFORMES,Furnariidae,EN,1,1,0,0,15,10,3.6,4.2,21.2,58.1,4.7,53,8.1,70.9,-9.56,-6.94,Insessorial,0,1,1062,3,1,L,5,1067,0.672530345,1.236172562,8.244830806,2.940467578,752.18,18.2,2,Invertebrate,Forest,Sedentary,Higher_risk
Synallaxis moesta,Synallaxis moesta,PASSERIFORMES,Furnariidae,LC,1,1,0,0,15.4,10.4,3.6,4.4,22.5,62,6.7,55.4,10.9,71.8,-6.63,5.32,Insessorial,0,1,1100,5,1,L,250,1350,0.633875211,1.082207117,7.995328548,2.599429736,205793,22.4,2.62132352941177,Invertebrate,Riparian,Sedentary,Lower_risk
Synallaxis cabanisi,Synallaxis cabanisi,PASSERIFORMES,Furnariidae,LC,1,0,0,0,15.9,9.8,3.2,4.4,22.9,62.2,6,54.8,9.9,70,-17.4,-7.96,Insessorial,0,1,150,4,1,L,200,350,0.661043988,1.130771207,8.261218436,2.778270503,189613.73,22.7,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis macconnelli,Synallaxis macconnelli,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.1,9.4,3.4,4.1,22,58.8,6,53,10.1,71.7,0.57,6.91,Insessorial,0,1,900,3,1,L,1000,1900,0.664042907,1.098129457,7.847589948,2.760362094,247511.89,19.5,2.62132352941177,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis hypospodia,Synallaxis hypospodia,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.9,8.5,3.4,4.2,18.8,55,5.6,49.3,10.2,73.6,-23.9,-3.63,Insessorial,0,1,700,3,1,L,0,700,0.643168574,1.068250798,7.809252512,2.62937341,3530294.96,16.9,2.45,Invertebrate,Grassland,Sedentary,Lower_risk
Synallaxis spixi,Synallaxis spixi,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.7,7.5,2.9,3.5,19,51.3,6.1,44.6,12.1,95.6,-36.01,-12.91,Insessorial,0,2,2200,4,1,L,0,2200,0.562977401,0.98482443,7.409762945,2.145277145,1343787.35,12.6,5,Invertebrate,Shrub,Sedentary,Lower_risk
Synallaxis albigularis,Synallaxis albigularis,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.3,8.6,2.9,3.7,19.1,55.3,8,47.3,14.3,68.2,-13.54,2.88,Insessorial,0,1,1500,4,1,L,0,1500,0.647674968,1.04928106,7.531743858,2.63194217,1133087.18,15.4,2.62132352941177,Invertebrate,Shrub,Sedentary,Lower_risk
Synallaxis albescens,Synallaxis albescens,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13,8.1,3.1,3.7,19.2,54.4,7.4,47.5,13.8,76.7,-38.54,12.46,Insessorial,0,2,1500,5,1,L,0,1500,0.569095621,1.039715341,7.223044606,2.222417714,9891841.77,11.2,4,Invertebrate,Woodland,Sedentary,Lower_risk
Synallaxis frontalis,Synallaxis frontalis,PASSERIFORMES,Furnariidae,LC,0,0,0,0,13.7,7.9,2.9,3.8,19.6,57.3,7.3,49.7,12.8,76.9,-37.81,-2.37,Insessorial,0,2,2500,4,1,L,0,2500,0.561984437,1.045171857,7.520595394,2.247801159,5745641.87,14,4,Invertebrate,Woodland,Sedentary,Lower_risk
Synallaxis azarae,Synallaxis azarae,PASSERIFORMES,Furnariidae,LC,0,0,0,0,15.8,8.4,3.1,3.7,21.2,54,7.6,46.1,14.2,90.6,-27.45,10.26,Insessorial,0,2,2900,4,2,L,600,3500,0.626443172,1.127477771,7.722938839,2.610104249,477890.57,16.9,4,Invertebrate,Forest,Sedentary,Lower_risk
Synallaxis courseni,Synallaxis courseni,PASSERIFORMES,Furnariidae,NT,1,0,0,0,13.9,8.6,3,3.7,22.3,58.1,5.8,51.9,10.1,109.9,-15.03,-12.91,Insessorial,0,1,1050,3,1,L,2450,3500,0.641468883,1.067029369,7.81924447,2.620070553,184.95,16.8,2.62132352941177,Invertebrate,Forest,Sedentary,Higher_risk
Neopelma pallescens,Neopelma pallescens,PASSERIFORMES,Pipridae,LC,0,0,0,0,14.2,8.6,4.6,4.7,15.2,72.2,13.6,63.1,17.7,59.4,-22.76,2.91,Insessorial,0,1,700,2,2,L,0,700,0.647805539,1.083621218,5.446702641,2.279088218,2439572.76,18.2,2,Invertebrate,Woodland,Sedentary,Lower_risk
Neopelma chrysocephalum,Neopelma chrysocephalum,PASSERIFORMES,Pipridae,LC,0,0,0,0,14.6,9.4,4.9,4.1,15.2,65.2,13.3,51.9,20.4,46.5,-4.13,7.68,Insessorial,0,1,700,2,2,L,0,700,0.647974503,1.022457147,5.549942127,2.383540764,704022.97,15.5,2,Fruit,Woodland,Sedentary,Lower_risk
Neopelma aurifrons,Neopelma aurifrons,PASSERIFORMES,Pipridae,NT,1,1,0,1,12.7,8.3,4.2,4.3,15.7,71,15.1,55.9,21.3,50,-22.48,-12.37,Insessorial,0,1,1000,2,2,L,0,1000,0.594524752,1.117051947,6.155098794,2.30609882,5071.66,14,2,Fruit,Forest,Sedentary,Higher_risk
Neopelma chrysolophum,Neopelma chrysolophum,PASSERIFORMES,Pipridae,LC,0,0,0,0,11.2,6.3,4.2,3.4,16.5,66.2,11.5,54.8,17.4,56.2,-25.29,-20.1,Insessorial,0,1,600,3,2,L,1150,1750,0.622626068,1.02898177,5.86564745,2.307694149,159645.19,14.2,2,Fruit,Forest,Sedentary,Lower_risk
Neopelma sulphureiventer,Neopelma sulphureiventer,PASSERIFORMES,Pipridae,LC,0,0,0,0,14.8,8.3,4.6,4,15.7,71.8,11.6,60.2,16.1,57.4,-17.42,-4.85,Insessorial,0,1,450,3,2,L,0,450,0.596899191,1.01089518,5.274298311,2.081747587,1158804.6,15.7,2,Invertebrate,Forest,Sedentary,Lower_risk
Tyranneutes stolzmanni,Tyranneutes stolzmanni,PASSERIFORMES,Pipridae,LC,0,0,0,0,10.3,6.2,3.7,3.1,11.5,47.2,13.6,33.3,28.9,23.2,-15.68,7.22,Insessorial,0,1,500,1,2,L,0,500,0.567586638,0.982657013,7.667300074,2.20815252,5293137.56,7.2,2,Fruit,Forest,Sedentary,Lower_risk
