Species_name,GBIF_name,Order,Family,IUCN_status,Agriculture,Hunting,Invasive_species,Climate_change,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Primary_lifestyle,Island_restricted_breeding,Latitudinal_range,Elevational_range,Habitat_breadth,Diet_breadth,Realm,Minimum_elevation,Maximum_elevation,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Range_size,Body_mass,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Crypturellus brevirostris,Crypturellus brevirostris,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,24.5,9.2,4.9,5,43.9,138.6,26.1,112.5,18.8,48.2,-8.16,5.54,Terrestrial,0,1,500,1,2,L,0,500,0.818392447,1.92380231,14.95707967,5.529284556,833118.74,221,4.87096774193549,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus parvirostris,Crypturellus parvirostris,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,19.3,9.5,4.3,4.2,25.7,111.1,27,82.6,24.7,37.3,-28.61,-0.38,Terrestrial,0,2,900,6,3,L,0,900,0.682413307,1.515542826,13.67202724,3.871354809,6659535.62,199,5,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus tataupa,Crypturellus tataupa,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,24.9,13.1,4.8,5.3,32.5,123.3,25.8,97.6,21.1,49.4,-31.61,-2.35,Terrestrial,0,2,1400,2,3,L,0,1400,0.729748229,1.630869437,13.26209369,4.051045551,4855861.2,218.8,5,Omnivore,Forest,Sedentary,Lower_risk
Rhynchotus rufescens,Rhynchotus rufescens,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,41.5,26.8,8.8,8.7,56.6,208.8,40,164,20,56.6,-41.17,-3.43,Terrestrial,0,2,1000,3,5,L,0,1000,0.837782645,2.389456129,18.80449497,6.777827378,5674200.18,843.5,9,Omnivore,Grassland,Sedentary,Lower_risk
Rhynchotus maculicollis,Rhynchotus maculicollis,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,46.3,27.4,9,9,55.9,212,51.7,159.7,24.4,77.2,-26.89,-15.16,Terrestrial,0,3,2050,1,5,L,1000,3050,0.830349837,2.20925119,17.94423138,6.350887059,113175.08,843.5,8,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta taczanowskii,Nothoprocta taczanowskii,STRUTHIONIFORMES,Tinamidae,VU,1,1,0,0,43.6,27.3,9.7,9.1,48.6,181,42.6,135.4,23.8,67,-15.01,-13,Terrestrial,0,1,1300,4,1,L,2700,4000,0.813400576,1.97800436,15.83801369,5.627958979,17724.05,619.3,4.87096774193549,Omnivore,Woodland,Sedentary,Higher_risk
Nothoprocta ornata,Nothoprocta ornata,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,30.9,18.1,7.3,7.1,38.3,185.6,48.5,137.1,26.1,66,-30.01,-7.67,Terrestrial,0,2,1600,4,4,L,3000,4600,0.671866561,1.623395284,15.62278604,4.336345128,765344.43,619.3,9,Omnivore,Grassland,Sedentary,Lower_risk
Nothoprocta perdicaria,Nothoprocta perdicaria,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,26,13.5,5.9,5.5,34.7,161.5,43.8,119,26.9,50.7,-41.77,-28.41,Terrestrial,0,3,2400,3,3,L,0,2400,0.697362409,1.615659618,14.68536167,4.148444563,118590.62,458,12,Omnivore,Grassland,Sedentary,Lower_risk
Nothoprocta cinerascens,Nothoprocta cinerascens,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,32.8,18.7,7.5,7.4,38.8,180.8,49.4,130.3,27.5,61.6,-41.17,-18.88,Terrestrial,0,3,915,5,3,L,0,915,0.571763237,1.34049422,11.48567774,2.782564541,1208917.27,523.9,11,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta pentlandii,Nothoprocta pentlandii,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,27.9,14.7,5.9,5.9,37,148.2,33.5,114.7,22.6,53.4,-36.9,-2.83,Terrestrial,0,2,4100,4,4,L,200,4300,0.626137238,1.408095456,13.77308158,3.165695945,612683.69,300.7,8,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta curvirostris,Nothoprocta curvirostris,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,29.4,16.1,5.7,5.9,34.6,160.2,49,111.3,30.6,55.2,-10.31,0.6,Terrestrial,0,1,1100,3,4,L,2800,3900,0.812473102,1.890624381,14.79502842,5.414383638,52527.78,376,4,Omnivore,Grassland,Sedentary,Lower_risk
Nothura boraquira,Nothura boraquira,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,21.5,9.8,5.7,4.7,31.1,133.2,35.4,94.7,27.2,47.2,-22.72,-3.2,Terrestrial,0,1,500,4,4,L,0,500,0.760595837,1.783384219,7.248541944,3.519869514,1348296.47,283,6,Omnivore,Shrub,Sedentary,Lower_risk
Nothura minor,Nothura minor,STRUTHIONIFORMES,Tinamidae,VU,1,0,1,1,19.4,10.3,5,4.1,27,110,28.2,81.8,25.6,47,-23.93,-15.71,Terrestrial,0,1,800,3,4,L,200,1000,0.760544201,1.6145639,6.213586649,3.084137081,480730.25,165.8,4,Omnivore,Grassland,Sedentary,Higher_risk
Nothura darwinii,Nothura darwinii,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,20.4,9.6,5.6,4.6,28.9,126.4,43.1,82.6,34.4,62.4,-44.49,-9.4,Terrestrial,0,2,3300,4,4,L,1000,4300,0.717746446,1.603732461,7.173798687,3.196424474,1098896.66,244.6,9,Omnivore,Grassland,Sedentary,Lower_risk
Nothura maculosa,Nothura maculosa,STRUTHIONIFORMES,Tinamidae,LC,1,1,0,0,19.7,9.2,5.8,5.2,34.7,124.1,30.9,93.6,24.7,42.5,-41.72,-2.77,Terrestrial,0,2,2300,6,4,L,0,2300,0.720634361,1.620051945,7.101409163,3.222422907,5645223.73,257.5,9,Omnivore,Grassland,Sedentary,Lower_risk
Eudromia elegans,Eudromia elegans,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,29.1,13.8,7.4,7.4,44,215.3,74,141.8,34.3,85.8,-50.16,-19.72,Terrestrial,0,3,2850,2,4,L,0,2850,0.717871405,1.79842418,18.13656227,4.964601192,1493624.4,702.9,16,Omnivore,Shrub,Sedentary,Lower_risk
Tinamotis pentlandii,Tinamotis pentlandii,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,31.2,14.8,7.4,7.5,47.6,253.4,83.5,169.8,33,69.2,-26.42,-10.13,Terrestrial,0,2,1500,4,1,L,3500,5000,0.713441908,1.770919557,16.64101344,4.652603452,632710.16,650,7,Omnivore,Shrub,Sedentary,Lower_risk
Tinamotis ingoufi,Tinamotis ingoufi,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,28.6,13.6,7.2,6.8,43.6,215.2,77.2,138,36,57.3,-52.76,-40.37,Terrestrial,0,3,800,4,2,L,0,800,0.46311061,1.138516722,13.79858114,2.938060626,403733.45,950,12,Omnivore,Grassland,Sedentary,Lower_risk
Casuarius casuarius,Casuarius casuarius,STRUTHIONIFORMES,Casuariidae,LC,1,1,1,1,104.8,26.5,14.3,20.6,287.2,300.8,0.2,300.6,0.1,402.5,-18.93,-0.74,Terrestrial,0,1,500,3,3,A,0,500,0.91078162,4.002902154,32.37545411,12.14449609,379633.34,44000,8,Fruit,Forest,Sedentary,Lower_risk
Casuarius bennetti,Casuarius bennetti,STRUTHIONIFORMES,Casuariidae,LC,1,1,1,0,73.8,19.4,10.8,16.1,260,216.8,0.2,216.6,0.1,318.8,-10.66,-0.34,Terrestrial,1,1,3300,2,5,A,0,3300,0.905471131,3.826471743,30.7518452,11.55406202,396486.38,35000,5,Fruit,Forest,Sedentary,Lower_risk
Casuarius unappendiculatus,Casuarius unappendiculatus,STRUTHIONIFORMES,Casuariidae,LC,1,1,0,0,88.1,25,14.3,23.2,303.4,264.5,0.2,264.3,0.1,273.5,-5.64,-0.34,Terrestrial,1,1,700,1,4,A,0,700,0.934550407,3.846149091,29.46275769,12.72197507,185350.58,46073.9,5,Fruit,Forest,Sedentary,Lower_risk
Dromaius novaehollandiae,Dromaius novaehollandiae,STRUTHIONIFORMES,Casuariidae,LC,0,0,0,0,81.5,26.5,32.2,17.7,382.8,124.5,0.1,124.4,0.1,430,-39.14,-11.12,Terrestrial,0,2,1600,5,5,A,0,1600,0.815734108,2.254438809,30,7.631266788,4231350.45,34093.3,24,Omnivore,Savanna,Sedentary,Lower_risk
Apteryx haastii,Apteryx haastii,STRUTHIONIFORMES,Apterygidae,VU,0,0,1,0,139.1,6.3,4.9,5.6,74.9,0.1,0.1,0.1,0.1,0.1,-42.84,-40.5,Terrestrial,1,3,400,3,3,Z,700,1100,0.901346428,2.440124311,24.23277689,9.253745993,8561.32,2022.7,2,Invertebrate,Grassland,Sedentary,Higher_risk
Apteryx owenii,Apteryx owenii,STRUTHIONIFORMES,Apterygidae,NT,0,0,1,0,85.3,2,3.3,3.6,59.6,0.1,0.1,0.1,0.1,0.1,-41.29,-35.89,Terrestrial,1,3,1000,3,3,Z,0,1000,0.879185215,2.5,27,8.82956697,35.17,1238.3,2,Invertebrate,Forest,Sedentary,Higher_risk
Apteryx mantelli,Apteryx mantelli,STRUTHIONIFORMES,Apterygidae,VU,1,0,1,0,140.6,4.3,4.3,4.5,64,0.1,0.1,0.1,0.1,0.1,-40.89,-34.77,Terrestrial,1,3,1000,3,1,Z,0,1000,0.887798129,2.320231671,23.27391744,8.50203165,37689.64,2320.5,2,Invertebrate,Forest,Sedentary,Higher_risk
Apteryx australis,Apteryx australis,STRUTHIONIFORMES,Apterygidae,VU,0,0,1,0,126.4,2,4.7,5.8,67,0.1,0.1,0.1,0.1,0.1,-47.29,-43.9,Terrestrial,1,3,1500,4,1,Z,0,1500,0.887798129,2.320231671,35,9.627643814,11012.06,2320.5,3,Invertebrate,Forest,Sedentary,Higher_risk
Apteryx rowi,Apteryx rowi,STRUTHIONIFORMES,Apterygidae,VU,1,0,1,0,157,2.4,4.7,5.3,84,0.1,0.1,0.1,0.1,0.1,-43.33,-43.13,Terrestrial,1,3,1000,1,1,Z,0,1000,0.887798129,4.000547645,24.25,10.03354116,239.4,1924,3,Invertebrate,Forest,Sedentary,Higher_risk
Aepypodius arfakianus,Aepypodius arfakianus,GALLIFORMES,Megapodiidae,LC,0,0,0,0,35.4,19.8,12,17.6,83.4,266.8,45,222.2,16.9,127.2,-10.28,-0.39,Terrestrial,1,1,1200,1,3,A,300,1500,0.47487037,0.714039739,8.023224274,1.752991678,193721.04,1463.8,20,Omnivore,Forest,Sedentary,Lower_risk
Talegalla jobiensis,Talegalla jobiensis,GALLIFORMES,Megapodiidae,LC,0,0,0,0,37.9,22.9,11.2,19.1,84.7,286.2,70.9,215.3,24.8,181.2,-10.24,-1.47,Terrestrial,1,1,1390,2,6,A,0,1390,0.864535953,2.529528087,17.79626539,7.185125117,209938.41,1478.8,20,Omnivore,Forest,Sedentary,Lower_risk
Leipoa ocellata,Leipoa ocellata,GALLIFORMES,Megapodiidae,VU,1,0,1,1,31.8,16.6,8.9,9.8,71,310.2,96.2,214.1,31,195,-37.04,-25.52,Terrestrial,0,3,530,3,3,A,0,530,0.815427991,3.5,28.5,9.399378425,628981.06,1913.9,34,Omnivore,Forest,Sedentary,Higher_risk
Macrocephalon maleo,Macrocephalon maleo,GALLIFORMES,Megapodiidae,CR,1,1,1,0,42.5,26,13.4,18.5,82.2,290.8,64.7,228.6,22,132,-5.7,1.76,Terrestrial,1,1,1375,4,3,W,0,1375,0.888299086,2.698595243,30,9.597014666,146297.35,1563.3,10,Omnivore,Forest,Sedentary,Higher_risk
Eulipoa wallacei,Eulipoa wallacei,GALLIFORMES,Megapodiidae,VU,1,1,1,0,22.8,11.4,5.1,7.3,51.5,193,64.7,128.3,33.5,65,-3.88,2.23,Terrestrial,0,1,1950,2,3,W,0,1950,0.875962675,2.261170332,16.22954711,6.938448549,49330.86,505,1,Omnivore,Forest,Sedentary,Higher_risk
Megapodius nicobariensis,Megapodius nicobariensis,GALLIFORMES,Megapodiidae,VU,1,1,1,1,24,12.1,7.2,8,64.2,226.8,45.5,181.2,20.1,62.8,6.75,8.57,Terrestrial,1,1,600,3,3,I,0,600,0.842879319,2.26651197,9.263610436,4.896317727,1578.46,836.7,20,Omnivore,Forest,Sedentary,Higher_risk
Megapodius cumingii,Megapodius cumingii,GALLIFORMES,Megapodiidae,LC,1,1,0,0,24.3,12.1,6.4,7.8,63,213,55.8,157.7,26.1,67.8,-4.29,19.58,Terrestrial,1,1,2100,3,3,IW,0,2100,0.89236707,2.600997842,10.87026441,5.854940226,457462.43,1044,5.5,Omnivore,Forest,Sedentary,Lower_risk
Megapodius laperouse,Megapodius laperouse,GALLIFORMES,Megapodiidae,NT,1,1,1,1,22.3,10.8,5.2,6.8,51.5,167,51.8,113.4,31.4,55.4,6.89,20.54,Terrestrial,1,1,50,5,4,O,0,50,0.853212376,2.055618297,8.717339196,4.744110458,838.35,308,7,Omnivore,Forest,Sedentary,Higher_risk
Megapodius pritchardii,Megapodius pritchardii,GALLIFORMES,Megapodiidae,VU,0,1,1,1,24.3,11.6,5.8,6.9,54,177,33.4,143.7,18.8,55.6,-18.03,-15.57,Terrestrial,1,1,50,4,1,O,0,50,0.830980918,2.038716796,9.100981171,4.600997275,56.98,365,16,Invertebrate,Forest,Sedentary,Higher_risk
Megapodius freycinet,Megapodius freycinet,GALLIFORMES,Megapodiidae,LC,1,1,0,0,26.7,13.4,6.8,8.2,63.4,210.2,53.4,159,25.1,75.9,-4.08,2.65,Terrestrial,1,1,1550,6,3,AW,0,1550,0.811226287,2.067498961,8.679064282,4.517987168,59730.5,642.5,12.5,Omnivore,Forest,Sedentary,Lower_risk
Megapodius geelvinkianus,Megapodius geelvinkianus,GALLIFORMES,Megapodiidae,NT,1,1,1,1,28.6,13.2,6.2,8.4,66,212.4,39.4,173,18.5,68.8,-1.53,-0.63,Terrestrial,1,1,450,2,1,A,0,450,0.83854788,2.1540026,8.670191587,4.759216809,2947.6,642.5,12.5,Omnivore,Forest,Sedentary,Higher_risk
Megapodius eremita,Megapodius eremita,GALLIFORMES,Megapodiidae,LC,0,0,0,0,24.3,12,6,8.1,62.7,212.8,58.1,150.9,28,69.4,-10.91,-0.88,Terrestrial,1,1,1575,2,3,A,0,1575,0.879800173,2.328348953,10.74539885,5.799921462,84419.95,676.7,11,Omnivore,Forest,Sedentary,Lower_risk
Megapodius reinwardt,Megapodius reinwardt,GALLIFORMES,Megapodiidae,LC,0,0,0,0,27,13.7,6.8,8.1,65.4,230.8,53.9,181.9,22.8,88.2,-23.17,-0.34,Terrestrial,0,1,1500,3,5,AW,0,1500,0.730097112,1.878047675,17.04428848,4.81712205,795651.65,875.8,13,Omnivore,Forest,Sedentary,Lower_risk
Chamaepetes unicolor,Chamaepetes unicolor,GALLIFORMES,Cracidae,LC,1,1,0,0,37.8,17.3,8.9,10.8,65.5,290.4,43,242.2,15,259.2,8.37,10.99,Insessorial,0,1,1450,3,2,L,800,2250,0.829022995,2.706230131,20.71673002,7.000325117,15572.6,1135,3,Fruit,Forest,Sedentary,Lower_risk
Chamaepetes goudotii,Chamaepetes goudotii,GALLIFORMES,Cracidae,LC,0,0,0,0,36.6,16.6,8.8,10.6,67.3,253.4,25.4,231.1,9.9,247.2,-17.48,11.23,Insessorial,0,1,2400,4,3,L,1100,3500,0.822869258,2.392385357,18.25177157,6.396489336,316282.38,727.7,3,Fruit,Forest,Sedentary,Lower_risk
Penelopina nigra,Penelopina nigra,GALLIFORMES,Cracidae,VU,1,1,0,1,30.8,14.5,7.8,9.9,70.7,239.7,13.2,221.6,5.7,263.1,12.91,17.65,Insessorial,0,1,2100,4,4,L,900,3000,0.832309965,2.681498955,20.74824458,7.045563915,103251.96,890,2,Fruit,Forest,Sedentary,Higher_risk
Penelope argyrotis,Penelope argyrotis,GALLIFORMES,Cracidae,LC,1,1,0,0,37.3,14.3,8.2,8.8,58.2,264.2,33.5,230.8,12.7,271.2,4.02,11.37,Insessorial,0,1,1850,3,1,L,550,2400,0.821664472,2.121040272,18.89247757,6.188169748,88746.24,806.7,2.43589743589743,Fruit,Forest,Sedentary,Lower_risk
Penelope barbata,Penelope barbata,GALLIFORMES,Cracidae,NT,1,1,0,0,35.4,14.1,9.2,9.6,55.7,241.9,29.6,212.2,12.6,255.2,-6.99,-3.33,Insessorial,0,1,1600,1,2,L,1500,3100,0.839221612,2.28225271,20.11719392,6.796920303,16461.26,665,2,Fruit,Forest,Sedentary,Higher_risk
Penelope ortoni,Penelope ortoni,GALLIFORMES,Cracidae,EN,1,1,0,0,35.7,16.5,8.7,10.3,56.2,267.5,32.8,234.7,12.2,267.5,-0.02,7.43,Insessorial,0,1,1400,1,1,L,100,1500,0.841403838,2.28225271,19.98199301,6.845446769,77623.51,872,2,Fruit,Forest,Sedentary,Higher_risk
