Species1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Primary.Lifestyle,Min.Latitude,Max.Latitude,RLM,LAT,MinAltitude,Elevational.Range,MaxAltitude,HB,DB,Flightlessness,Order,Habitat,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,LogNightLights,LogHumanPopulationDensity,Family,IUCN_status,Range_size,Body_mass,Clutch_size,Diet,Migration,IslandEndemic,Adult.survival,Age.at.first.breeding,Maximum.longevity,GenLength,extinction_risk
Accipiter brevipes,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,1,Generalist,31.19,55.86,FP,2,0,1000,1000,6,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.25237323276083,3.95699637107088,Accipitridae,LC,2936751.8,186.5,5,Vertebrates,Migratory,No,0.661821187,1.616431665,13.33733342,3.887831838,Lower_risk
Accipiter butleri,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,1,Insessorial,7.87,9.26,I,1,0,100,100,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,Yes,0.979370361335559,4.38452351487247,Accipitridae,VU,327.84,122,2.12696335078534,Vertebrates,Sedentary,Yes,0.779610575,1.897391726,13.60850688,4.902992063,Higher_risk
Accipiter castanilius,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,1,Insessorial,-10.36,10.12,F,1,0,750,750,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.897900760011848,3.41114771251532,Accipitridae,LC,2096401.63,157.5,2.12696335078534,Vertebrates,PartiallyMigratory,No,0.715207948,1.576501344,11.58359309,3.805240172,Lower_risk
Accipiter cirrocephalus,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,1,Generalist,-43.64,0.04,A,2,0,2500,2500,4,2,No,Accipitriformes,Forest,AerialScreaning,NonCooperative,ExposedElevated,strong,No,0.800195241015144,1.75785791755237,Accipitridae,LC,5488639.45,165.7,6,Vertebrates,PartiallyMigratory,No,0.701404606,1.641654502,12.32554007,3.763725264,Lower_risk
Accipiter collaris,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,1,Insessorial,-13.2,11.25,L,1,500,1700,2200,1,1,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.05737126344056,3.73528582692809,Accipitridae,LC,253265.36,97.8,2.12696335078534,Vertebrates,PartiallyMigratory,No,0.785814752,1.897391726,13.40420036,4.861886944,Lower_risk
Accipiter cooperii,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,2,Aerial,23.28,53.31,LN,2,0,3000,3000,3,1,No,Accipitriformes,Forest,AerialScreaning,NonCooperative,ExposedElevated,weak,No,1.47473940650311,3.52046080248897,Accipitridae,LC,8393137.06,429.7,6,Vertebrates,Migratory,No,0.692666896,2,20.33,5.552181056,Lower_risk
Accipiter erythrauchen,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,30.8,154.8,1,Generalist,-3.91,2.65,W,1,0,1450,1450,1,1,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.651355562432631,3.4307561839037,Accipitridae,NT,48150.32,156,2.12696335078534,Vertebrates,Sedentary,Yes,0.750606252,1.639414623,11.57860476,4.159541235,Lower_risk
Accipiter erythropus,17.6,9.7,7.2,9.6,43,154.6,40.9,110.1,27.1,104.4,1,Insessorial,-9.36,14.73,F,1,0,1500,1500,2,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1,3.84801767545223,Accipitridae,LC,3904812.09,111.2,2,Vertebrates,Sedentary,No,0.734202713,1.70448694,11.44822129,3.98989247,Lower_risk
Accipiter fasciatus,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,38.3,206,1,Generalist,-43.64,-1.7,AW,2,0,1500,1500,4,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,strong,No,0.740082804492285,1.58923520511658,Accipitridae,LC,8180196.71,358.7,4,Vertebrates,Sedentary,No,0.777442407,2.065170406,15.14615377,5.133306631,Lower_risk
Accipiter francesiae,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,1,Insessorial,-25.61,-11.36,M,2,0,1600,1600,2,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,strong,No,0.883756169761018,3.17805383034795,Accipitridae,LC,519468.81,136.8,5,Invertebrate,Sedentary,Yes,0.747171755,1.561008696,11.14770595,3.942916818,Lower_risk
Accipiter gentilis,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,1,Generalist,17.1,70.39,P,4,0,3000,3000,3,1,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,strong,No,1.16149634365469,3.16968558067743,Accipitridae,LC,31775270.74,866,5,Vertebrates,PartiallyMigratory,No,0.83,3,22,7.483527603,Lower_risk
Accipiter griseiceps,24.1,14.6,8.8,12.4,52,187.2,50,137.3,26.8,141.2,1,Insessorial,-5.66,1.88,W,1,0,2000,2000,3,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.68486610076886,3.82428409112014,Accipitridae,LC,140604.94,251.8,2.12696335078534,Vertebrates,Sedentary,Yes,0.773377671,1.797871305,12.69666765,4.634749854,Lower_risk
Accipiter gularis,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,1,Insessorial,24.25,59,IP,2,0,1000,1000,4,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.2233817698125,4.14472076954717,Accipitridae,LC,4785704.92,120.7,5,Vertebrates,Migratory,No,0.655053162,1.54216538,12.77403336,3.718795422,Lower_risk
Accipiter gundlachi,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,1,Aerial,19.82,23.16,L,1,0,1100,1100,4,1,No,Accipitriformes,Forest,AerialScreaning,NonCooperative,ExposedElevated,weak,No,1.05096912500736,4.92143971529178,Accipitridae,EN,33511.43,675,4,Vertebrates,Sedentary,Yes,0.776380991,2.164802417,16.05410456,5.292285909,Higher_risk
Accipiter haplochrous,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,1,Insessorial,-22.4,-20.09,O,1,0,1000,1000,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.968546928116901,3.03013370027132,Accipitridae,NT,16389.59,198.4,3,Vertebrates,Sedentary,Yes,0.730092032,1.768046437,12.99592532,4.19131106,Lower_risk
Accipiter henicogrammus,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,1,Insessorial,-0.92,2.65,W,1,200,1100,1300,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.611690884906252,3.47506723022861,Accipitridae,NT,22781.85,358.7,2.12696335078534,Vertebrates,Sedentary,Yes,0.787446282,1.897391726,13.35028148,4.878903884,Lower_risk
Accipiter henstii,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1,Insessorial,-25.2,-11.95,M,1,0,1000,1000,2,1,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.868897832617319,3.08648663682246,Accipitridae,VU,434639.7,1050,3,Vertebrates,Sedentary,Yes,0.83762897,2.652543015,18.72414222,6.931780859,Higher_risk
Accipiter imitator,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,1,Insessorial,-8.58,-5.41,A,1,0,1000,1000,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.51436867236104,1.94591014905531,Accipitridae,NT,10050.21,222.5,2.12696335078534,Vertebrates,Sedentary,Yes,0.761880813,1.755542623,12.56372112,4.477850349,Lower_risk
Accipiter luteoschistaceus,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,1,Insessorial,-6.31,-4.19,A,1,200,500,700,1,1,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.547722557505166,1.06471073699243,Accipitridae,VU,28814.74,214,2.12696335078534,Vertebrates,Sedentary,Yes,0.761572539,1.742425345,12.42598483,4.357830525,Higher_risk
Accipiter madagascariensis,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,1,Insessorial,-25.61,-11.95,M,1,0,1000,1000,2,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.84918210949878,3.1904763503465,Accipitridae,NT,476517.51,180.4,4,Vertebrates,Sedentary,Yes,0.724846513,1.7352336290000001,12.66166994,4.11171893,Lower_risk
Accipiter melanochlamys,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,1,Generalist,-10.07,-0.95,A,1,1090,2410,3500,2,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.668740304976422,2.86789890204411,Accipitridae,LC,115449.94,265,2.12696335078534,Vertebrates,Sedentary,No,0.77217094,1.815722682,12.93114819,4.64042026,Lower_risk
Accipiter melanoleucus,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,1,Generalist,-34.84,18.84,F,2,0,3700,3700,2,1,No,Accipitriformes,Forest,AerialScreaning,NonCooperative,ExposedElevated,weak,No,1.01227223442904,3.87535902105655,Accipitridae,LC,9067092.6,699,4,Vertebrates,Sedentary,No,0.793382947,3,15.59551705,6.269400457,Lower_risk
Accipiter meyerianus,35,20.6,12.6,18.6,75.4,309.5,102,207.5,33,200,1,Generalist,-10.12,2.29,AW,1,1200,1500,2700,1,1,No,Accipitriformes,Forest,AerialScreaning,NonCooperative,ExposedElevated,weak,No,0.651355562432631,2.73436750941958,Accipitridae,LC,269144.41,763.5,3,Vertebrates,Sedentary,No,0.797382238,2.305567121,15.83134492,5.72110889,Lower_risk
Accipiter minullus,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,29.6,105.2,1,Generalist,-34.84,17.8,F,2,0,1800,1800,4,2,No,Accipitriformes,Woodland,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.965783570635203,3.62966009445396,Accipitridae,LC,6794381.58,87.4,3,Vertebrates,Sedentary,No,0.720943019,1.625625867,11.19942752,3.814844265,Lower_risk
Accipiter nanus,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,1,Insessorial,-5.7,1.76,W,1,900,1350,2250,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.809780125978775,4.01818320125654,Accipitridae,LC,110477,117,2.12696335078534,Invertebrate,Sedentary,Yes,0.802630738,1.72008034,12.03390368,4.711311397,Lower_risk
Accipiter nisus,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,1,Insessorial,26.9,70.53,E,5,0,4500,4500,2,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.24206475759284,3.65065824129374,Accipitridae,LC,23601609.31,220.8,7,Vertebrates,PartiallyMigratory,No,0.651895982,2,20.25,5.536677811,Lower_risk
Accipiter novaehollandiae,31.6,19.9,11.5,16.5,69,261.9,76,188.3,28.9,183.6,1,Insessorial,-43.64,-10.51,A,2,0,1500,1500,4,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,strong,No,0.945741609003176,2.33214389523559,Accipitridae,LC,1807067.3,326.1,5,Vertebrates,Sedentary,No,0.772821511,2.026767524,14.99348307,5.038495792,Lower_risk
Accipiter ovampensis,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,2,Aerial,-27.22,13.92,F,1,0,1800,1800,5,1,No,Accipitriformes,Woodland,AerialScreaning,NonCooperative,ExposedElevated,weak,No,0.994962056392688,3.61361696961339,Accipitridae,LC,7295779.86,195,5,Vertebrates,Sedentary,No,0.729140559,1.762019222,12.34350612,4.102427794,Lower_risk
Accipiter poliocephalus,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,1,Insessorial,-11.66,0.04,A,1,0,1500,1500,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.622332977288478,2.06686275947298,Accipitridae,LC,671500.51,214.8,1,Vertebrates,Sedentary,No,0.799185659,2.096672639,13.80604967,5.330655666,Lower_risk
Accipiter poliogaster,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,1,Insessorial,-30.38,6.82,L,2,0,800,800,3,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.00741707177773,2.89037175789616,Accipitridae,NT,7203530.62,315,2,Vertebrates,PartiallyMigratory,No,0.820949187,2.492015302,17.75188896,6.461457982,Lower_risk
Accipiter princeps,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,1,Insessorial,-6.11,-4.23,A,1,760,665,1425,2,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.562341325190349,0.832909122935104,Accipitridae,VU,11549.62,214.8,2.12696335078534,Vertebrates,Sedentary,Yes,0.796084169,1.674018057,13.09386831,4.746659762,Higher_risk
Accipiter rhodogaster,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,1,Insessorial,-5.7,1.76,W,1,0,2000,2000,4,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.733836821584642,3.8607297110406,Accipitridae,LC,146036.85,172.7,2.12696335078534,Vertebrates,Sedentary,Yes,0.754964128,1.671890817,11.82389842,4.229606226,Lower_risk
