Species1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Primary.Lifestyle,Min.Latitude,Max.Latitude,RLM,LAT,MinAltitude,Elevational.Range,MaxAltitude,HB,DB,Flightlessness,Order,Habitat,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,LogNightLights,LogHumanPopulationDensity,Family,IUCN_status,Range_size,Body_mass,Clutch_size,Diet,Migration,IslandEndemic,Adult.survival,Age.at.first.breeding,Maximum.longevity,GenLength,extinction_risk
Moupinia poecilotis,11.2,5.8,2.6,3.6,20.7,52.6,3.9,47.9,7.4,68.6,3,Insessorial,26.9,34.44,P,3,1500,1800,3300,2,1,No,Passeriformes,Shrub,ArborealGleaning,Cooperative,ExposedElevated,strong,No,0.805030477585033,3.51749783735832,Sylviidae,LC,261236.65,18.7,3,Invertebrate,Sedentary,No,0.579326631,1.04565951,8.331440875,2.319993536,Lower_risk
Mulleripicus fulvus,43.6,31.4,11,11,32.2,179.5,30.2,147.8,17,166.4,1,Insessorial,-5.64,1.74,I,1,0,2200,2200,2,1,No,Piciformes,Forest,BarkGleaning,Cooperative,Cavity,weak,No,0.68486610076886,3.48737507790321,Picidae,LC,103818.08,312.3,3,Invertebrate,Sedentary,Yes,0.805245322,2.081695945,13.55999666,5.388774859,Lower_risk
Mulleripicus funebris,36.8,25.3,10.1,10,26,161,33,129.8,20.2,137.4,1,Insessorial,12.52,18.65,I,1,300,700,1000,1,1,No,Piciformes,Forest,BarkGleaning,Cooperative,Cavity,strong,No,1.22201409660724,5.65494230923673,Picidae,NT,102097.41,164,3.55426356589148,Invertebrate,Sedentary,Yes,0.766093909,1.655502978,12.09387835,4.310848832,Lower_risk
Mulleripicus pulverulentus,69,47.5,14.6,14.3,38.9,238.6,58.7,180.1,24.5,171.4,1,Insessorial,-7.55,32.49,I,2,0,1100,1100,3,1,No,Piciformes,Forest,BarkGleaning,Cooperative,Cavity,strong,No,1.20523188832415,4.46705688385846,Picidae,VU,2509970.1,450.2,4,Invertebrate,Sedentary,No,0.806927854,2.152285217,14.77520175,5.600694906,Higher_risk
Muscicapa adusta,12.6,6.5,4.2,2.9,13.6,63.4,12.4,50.8,19.6,49.5,2,Insessorial,-34.84,15.9,F,2,900,2500,3400,5,2,No,Passeriformes,Woodland,AerialSallying,NonCooperative,Cavity,weak,No,1.05737126344056,4.20469261939097,Muscicapidae,LC,2389660.85,10.4,4,Invertebrate,Sedentary,No,0.582849245,1.014489452,7.176319078,2.248011136,Lower_risk
Muscicapa aquatica,13.6,7.1,4.3,3.4,13.2,67,10.1,56.7,15.1,54,2,Insessorial,-15.37,16.53,F,1,0,4000,4000,2,1,No,Passeriformes,Wetland,AerialSallying,NonCooperative,Cavity,strong,No,1.07187337372826,3.94158180766969,Muscicapidae,LC,1932273.67,11.5,3,Invertebrate,Sedentary,No,0.589633963,1.034780932,7.228722034,2.293772233,Lower_risk
Muscicapa cassini,15,8.4,4.3,3.2,13.4,67.8,11.2,55.8,16.7,55.6,3,Insessorial,-13.05,10.65,F,1,0,1800,1800,2,1,No,Passeriformes,Riparian,AerialSallying,NonCooperative,Cavity,strong,No,0.97128683364167,3.70868208141012,Muscicapidae,LC,3716280.13,17.3,3,Invertebrate,Sedentary,No,0.638090294,1.165729009,7.837259803,2.702775636,Lower_risk
Muscicapa epulata,11.3,6.2,3.8,3,11.6,56.3,8.3,46.9,15,38.8,1,Insessorial,-5.82,9.43,F,1,0,1000,1000,3,2,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.853235599894925,3.61091791264422,Muscicapidae,LC,903510.24,9.6,2,Invertebrate,Sedentary,No,0.599464761,1.038044471,7.075737622,2.334396462,Lower_risk
Muscicapa ferruginea,11.6,6.4,4.6,2.7,11.6,70,22.9,47.4,32.5,45.6,1,Insessorial,19.51,37.32,I,2,500,2800,3300,1,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.10110651859764,4.92870191133357,Muscicapidae,LC,1500474.1,12,3,Invertebrate,Sedentary,No,0.562157438,1.043492218,7.894386032,2.246823393,Lower_risk
Muscicapa gambagae,12.6,7.1,4.2,3.5,14.7,71.9,15.1,57.3,20.8,60.2,2,Insessorial,-0.76,21.99,F,1,1000,1000,2000,5,1,No,Passeriformes,Woodland,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.17250701852345,3.91402100809082,Muscicapidae,LC,668892.01,13,2,Invertebrate,Sedentary,No,0.619537289,1.101925608,7.669319499,2.55282004,Lower_risk
Muscicapa griseisticta,11.9,6.8,4.5,3.4,14.4,84.5,28.2,56,33.6,47,1,Insessorial,41.34,56.84,E,2,0,2000,2000,3,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.853235599894925,2.58021682959233,Muscicapidae,LC,1482748.62,15.9,5,Invertebrate,Migratory,No,0.513782653,0.982009402,8.370510534,2.032235667,Lower_risk
Muscicapa muttui,14.9,8.7,5.1,3.7,13.1,71.4,18.8,53.2,26.1,55,1,Insessorial,17.24,33.19,I,2,150,1550,1700,2,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.13848501952444,4.71312732749318,Muscicapidae,LC,1144475.6,12,5,Invertebrate,Migratory,No,0.471488411,0.893770971,7.010720475,1.763254635,Lower_risk
Muscicapa sethsmithi,10.7,5.8,3.4,2.8,10.9,56.4,10.2,45.6,18.2,42.2,1,Insessorial,-6.41,7.62,F,1,0,2100,2100,2,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.84918210949878,3.08648663682246,Muscicapidae,LC,1271455.18,9.1,2,Invertebrate,Sedentary,No,0.595886489,1.027165032,6.928432477,2.309856582,Lower_risk
Muscicapa sibirica,11.7,6.4,4.6,3.1,13.1,75.5,24.8,50,33,45.7,1,Insessorial,20.94,60.98,IP,2,1400,2600,4000,1,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,Cavity,weak,No,0.945741609003176,3.26575941076705,Muscicapidae,LC,8436138.82,13.2,4,Invertebrate,Migratory,No,0.523580585,0.984036294,8.234568116,2.03758929,Lower_risk
Muscigralla brevicauda,14.9,8.6,3.6,3.1,25.7,60.9,9.5,51.9,15.5,35,3,Terrestrial,-18.59,-1.26,L,1,0,1500,1500,2,1,No,Passeriformes,Shrub,GroundForaging,NonCooperative,ExposedGround,weak,No,1.28422827030363,4.65014355163082,Tyrannidae,LC,166922.92,12.6,5,Invertebrate,Sedentary,No,0.562977401,0.98482443,6.926038617,2.145277145,Lower_risk
Muscipipra vetula,17.3,10.4,6.4,4.7,19.9,112.2,29.9,81.9,26.8,112.4,1,Insessorial,-30.81,-18.52,L,2,1000,1200,2200,3,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.45485430502565,4.56746831880408,Tyrannidae,LC,828420,27,3,Invertebrate,PartiallyMigratory,No,0.627840859,1.23648312,8.990217346,2.784982562,Lower_risk
Muscisaxicola albifrons,22.9,13.1,4.7,4.6,37.5,159.8,59.8,100,37.3,93.4,3,Terrestrial,-18.25,-8.77,L,1,3700,1500,5200,2,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,0.872683969479439,3.27714473299218,Tyrannidae,LC,285962.86,34,2.71527777777778,Invertebrate,PartiallyMigratory,No,0.640797681,1.173264917,8.959978252,2.790211645,Lower_risk
Muscisaxicola albilora,19.3,11.1,4,3.8,30.2,113.7,37.5,76.2,33,70,3,Terrestrial,-50.81,-26.31,L,2,1500,2700,4200,2,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,0.97128683364167,3.03013370027132,Tyrannidae,LC,358526.85,22.6,3,Invertebrate,Migratory,No,0.637492772,1.241041913,9.358738556,2.840336006,Lower_risk
Muscisaxicola alpinus,17.9,9.8,3.9,3.7,31.3,126.3,37.7,88.6,29.8,78.7,3,Terrestrial,-3.05,6.56,L,1,3300,1400,4700,2,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,1.62073597705263,5.54712866461082,Tyrannidae,LC,42973.19,26.1,4,Invertebrate,PartiallyMigratory,No,0.68523814,1.16160772,8.232029464,2.929856878,Lower_risk
Muscisaxicola capistratus,19.3,11,3.9,3.8,28.1,114.6,40.6,74.1,35.3,68.8,3,Terrestrial,-54.03,-46.13,L,2,0,4000,4000,2,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,0.727427152512826,0.587786664902119,Tyrannidae,LC,268373.35,26.6,3,Invertebrate,Migratory,No,0.626870096,1.232853195,9.830027022,2.818290798,Lower_risk
Muscisaxicola cinereus,16.8,9.4,3.2,3.4,28.6,105.6,31.3,74.3,29.6,66.5,3,Terrestrial,-37.22,-15.05,L,2,2500,2500,5000,2,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,1,3.16968558067743,Tyrannidae,LC,649847.82,18.6,2,Invertebrate,PartiallyMigratory,No,0.64592626,1.241346031,8.787284658,2.885947334,Lower_risk
Muscisaxicola flavinucha,19.5,11.2,3.8,3.7,31.8,137.5,53.3,83.7,38.9,78.3,3,Terrestrial,-55.2,-17.53,L,2,500,4000,4500,3,1,No,Passeriformes,Rocky,GroundForaging,NonCooperative,ExposedGround,weak,No,0.97128683364167,2.68102152871429,Tyrannidae,LC,762777.01,36.2,4,Invertebrate,PartiallyMigratory,No,0.646747492,1.310216288,9.912223088,3.011351271,Lower_risk
Muscisaxicola fluviatilis,16,9.5,4,3.3,19,73.5,14.4,59,19.6,50.6,3,Terrestrial,-17.18,-2.21,L,1,0,800,800,2,1,No,Passeriformes,Riparian,GroundForaging,NonCooperative,ExposedGround,weak,No,0.836660026534076,1.70474809223843,Tyrannidae,LC,1234514.01,14.7,2,Invertebrate,Sedentary,No,0.659312841,1.185246629,7.978415315,2.824272111,Lower_risk
Muscisaxicola frontalis,21.3,12.7,4,3.8,31.7,117.3,37.4,79.8,31.9,72.8,3,Terrestrial,-41.57,-23.56,L,2,2500,1800,4300,2,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,1.04880884817015,3.44041809481544,Tyrannidae,LC,223028.47,28.9,2,Invertebrate,Migratory,No,0.618050249,1.184415469,9.102226177,2.682553166,Lower_risk
Muscisaxicola griseus,19.2,9.2,3.4,3.1,32.3,120.2,32.2,88,26.7,79.6,3,Terrestrial,-17.62,-6.91,L,1,2700,2100,4800,2,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,0.872683969479439,3.13113691056019,Tyrannidae,LC,313132.73,20.2,4,Invertebrate,PartiallyMigratory,No,0.594840869,1.08035294,7.70739979,2.421122357,Lower_risk
Muscisaxicola juninensis,17,8.9,3.1,3.2,27.8,111.4,32.2,79.2,28.9,72.2,3,Terrestrial,-27.17,-9.63,L,2,4200,800,5000,3,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,0.914691219228694,2.99573227355399,Tyrannidae,LC,514054.92,22.2,2.71527777777778,Invertebrate,PartiallyMigratory,No,0.609017935,1.080709992,8.335452397,2.484049824,Lower_risk
Muscisaxicola maclovianus,17.5,9,3.5,3.5,28.9,104.1,35.3,68.8,33.9,65.8,3,Terrestrial,-55.98,-37.58,L,2,0,1200,1200,3,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,0.774596669241483,1.90210752639692,Tyrannidae,LC,488724.37,23.8,3,Invertebrate,Migratory,No,0.69760011,1.374706692,10.79851816,3.468078558,Lower_risk
Muscisaxicola maculirostris,16.5,9,3.5,3.1,25.5,85.5,22.4,62.8,26.2,61.3,3,Terrestrial,-52.4,6.75,L,2,1000,3500,4500,4,2,No,Passeriformes,Plains,GroundForaging,NonCooperative,ExposedGround,weak,No,0.962996287401759,2.8094026953625,Tyrannidae,LC,1996565.98,14.2,4,Invertebrate,Sedentary,No,0.58520777,1.089474039,8.050871523,2.388739645,Lower_risk
Muscisaxicola rufivertex,19.3,11.2,3.6,3.6,27.2,101.5,27.7,73.8,27.3,69.4,3,Terrestrial,-38.28,-15.46,L,2,600,3900,4500,2,1,No,Passeriformes,Grassland,GroundForaging,NonCooperative,ExposedGround,weak,No,0.987258544901434,2.98568193770049,Tyrannidae,LC,696474.96,20,3,Invertebrate,PartiallyMigratory,No,0.608133506,1.165508645,8.44640047,2.564893722,Lower_risk
Musophaga rossae,35,12.2,7.4,12.9,44.9,224.7,33.4,191.3,14.8,232.7,2,Insessorial,-16.27,10.27,F,1,0,1800,1800,4,2,No,Musophagiformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,1.03555807634162,3.55534806148941,Musophagidae,LC,3088906.06,361.4,2,Fruit,Sedentary,No,0.808825569,2.334006667,17.28771248,6.00941615,Lower_risk
Musophaga violacea,34.5,14.1,10.2,15.2,42.2,210.2,36,174.2,17.1,194.8,2,Insessorial,4.74,14.61,F,1,0,1000,1000,4,2,No,Musophagiformes,Riparian,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,1.13508143878425,4.14946386144318,Musophagidae,LC,2077717.14,360,2,Fruit,Sedentary,No,0.80865616,2.332197499,17.53517486,6.085958972,Lower_risk
Myadestes coloratus,14.3,6.9,4.9,4.4,20.5,86.2,19.2,67,22.3,81.5,2,Insessorial,7.45,9.08,L,1,900,600,1500,1,1,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.416179145028782,1.3609765531356,Turdidae,NT,1786.57,28.9,2,Fruit,Sedentary,No,0.632011976,1.284123813,10.0472953,2.898874859,Lower_risk
Myadestes elisabeth,14.8,8.4,4.5,4,21.7,86.2,18.4,67.8,21.4,88,1,Insessorial,19.98,22.82,L,1,0,2000,2000,3,2,No,Passeriformes,Forest,AerialSallying,NonCooperative,Cavity,strong,No,1.063659179389,4.3502779363593,Turdidae,NT,8505.1,30,3,Invertebrate,Sedentary,Yes,0.623956323,1.238483558,9.886892554,2.807499829,Lower_risk
Myadestes genibarbis,14.1,7.4,4.4,3.8,21.4,87.4,20.9,66.6,23.9,91.2,1,Insessorial,13.12,19.95,L,1,240,640,880,3,2,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,Cavity,weak,No,1.42036055288198,5.40042258948519,Turdidae,LC,88012.58,29.2,3,Fruit,Sedentary,Yes,0.570419379,1.108832852,9.462056928,2.378771531,Lower_risk
Myadestes melanops,14.7,6.7,4.4,4.2,20.7,87,18.7,68.2,21.5,78.3,1,Insessorial,8.35,10.99,L,1,450,2300,2750,5,3,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,Cavity,strong,No,1.36188241015851,4.54009818924438,Turdidae,LC,31920.03,32.1,3,Fruit,Sedentary,No,0.620542429,1.30464965,9.832489625,2.854600302,Lower_risk
Myadestes occidentalis,15.4,7.8,4.8,4.6,20.8,102.5,27.6,74.8,27,101.2,1,Insessorial,13.59,28.69,L,2,300,3200,3500,3,1,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedGround,weak,No,1.42642875564733,4.78331637137157,Turdidae,LC,528718.34,36.4,3,Fruit,PartiallyMigratory,No,0.648902805,1.363198814,9.611476937,3.077265107,Lower_risk
Myadestes ralloides,14.8,6.8,4.6,3.7,20.5,84.1,19.6,64.5,23.3,78.2,1,Insessorial,-21.08,11.05,L,1,800,2000,2800,2,2,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,1.18920711500272,4.24849524204936,Turdidae,LC,457703.18,29.1,2,Invertebrate,PartiallyMigratory,No,0.66372696,1.330197331,9.677614869,3.13525351,Lower_risk
Myadestes townsendi,15.7,8.2,4.4,4.6,20.9,113.3,34.3,80.6,29.9,103,2,Insessorial,21.72,66.88,N,3,350,3150,3500,6,2,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,0.984650177211819,2.04122032885964,Turdidae,LC,3710015.72,33.2,5,Omnivore,PartiallyMigratory,No,0.579124096,1.215471513,10.98665897,2.604380783,Lower_risk
Myadestes unicolor,14.8,7.6,4.9,4.5,20,93.3,22,71.4,23.5,89.2,1,Insessorial,12.75,21.39,L,1,780,1920,2700,2,2,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedGround,weak,No,1.18622288291325,4.44265125649032,Turdidae,LC,184166.54,37.9,3,Fruit,PartiallyMigratory,No,0.608256412,1.353471117,10.78806945,2.859583209,Lower_risk
Mycerobas affinis,25.7,16.8,11.8,14.9,27.4,123.8,31,92.5,25.1,89.2,1,Insessorial,25.02,35.83,IP,3,2200,1800,4000,1,4,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,0.836660026534076,3.8155121050473,Fringillidae,LC,1011882.5,83,3.86428571428572,Seed,PartiallyMigratory,No,0.59343245,0.954677823,12.17038649,2.548916169,Lower_risk
Mycerobas carnipes,25.5,16.6,13.4,16.2,25.7,112.8,32.1,80.4,28.5,94.4,2,Insessorial,24.32,48.32,P,3,1000,3600,4600,3,3,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.861173529963367,3.47506723022861,Fringillidae,LC,3247977.86,58.8,3,Fruit,Sedentary,No,0.652709217,1.130352903,12.94042089,2.958851463,Lower_risk
Mycerobas icterioides,27,18.8,13.3,16.5,26.4,127.4,35,92.7,27.4,91.4,1,Insessorial,27.62,36.65,P,3,1800,1700,3500,3,4,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.974003746425297,4.76813901426623,Fringillidae,LC,406197.58,67,3,Herbivore,Sedentary,No,0.575112601,0.916069649,11.77208203,2.459179562,Lower_risk
Mycerobas melanozanthos,27.8,18,14.1,18,22.3,120.6,43.5,76.3,36.3,72.8,1,Insessorial,18.64,35.16,IP,3,1000,2600,3600,1,2,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.97128683364167,3.958906591327,Fringillidae,LC,1431214.95,62,3,Herbivore,Sedentary,No,0.663779196,1.052209703,12.80773413,2.963005402,Lower_risk
Mycteria americana,224.5,187.7,34.6,44.7,191,455.9,165.1,281.8,37,190.8,3,Terrestrial,-37.08,33.1,LN,2,0,800,800,4,3,No,Ciconiiformes,Wetland,GroundForaging,NonCooperative,ExposedElevated,none,No,1.09544511501033,3.17387845893747,Ciconiidae,LC,14553444.64,2554.5,5,Fish,PartiallyMigratory,No,0.853579079,3.997809419,21.83333333,8.840286446,Lower_risk
Mycteria cinerea,228.2,206.5,35.9,45,214.1,476.6,216.2,258.2,45.5,156.4,3,Terrestrial,-8.01,13.91,I,1,0,200,200,3,2,No,Ciconiiformes,Coastal,GroundForaging,NonCooperative,ExposedElevated,none,No,1.43242048745064,6.14782706473184,Ciconiidae,EN,87615.95,2393,4,Fish,PartiallyMigratory,No,0.87289845,4.051552552,20.57814298,9.213421479,Higher_risk
Mycteria ibis,236.4,218.2,35.5,43.1,212.2,462.5,188.9,273.6,40.9,154.2,3,Terrestrial,-33.78,18.94,F,1,0,500,500,5,3,No,Ciconiiformes,Wetland,GroundForaging,NonCooperative,ExposedElevated,none,No,0.962996287401759,3.58073729549423,Ciconiidae,LC,15368408.04,2155.6,3,Carnivore,PartiallyMigratory,No,0.874620763,3.377520597,19.63013332,8.579784935,Lower_risk
Mycteria leucocephala,254.2,238,37.5,46,222.2,474.2,200.8,288.2,41.1,183.5,3,Terrestrial,5.92,27.29,IP,2,0,500,500,3,3,No,Ciconiiformes,Wetland,GroundForaging,NonCooperative,ExposedElevated,none,No,1.40708883419716,5.67229180756483,Ciconiidae,LC,1543399.32,3180,5,Fish,PartiallyMigratory,No,0.875256902,3.965642166,28,10.05498241,Lower_risk
Myiagra albiventris,17.3,8.7,6.9,3.9,15.8,70.5,12.6,57.9,17.9,60.8,2,Insessorial,-14.06,-13.43,O,1,0,500,500,2,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,Yes,0.832358290057563,4.0926765051214,Monarchidae,LC,2877.26,12.3,2,Invertebrate,Sedentary,Yes,0.678302678,1.199433129,8.954555176,3.025808364,Lower_risk
Myiagra alecto,19.8,11.8,5.9,4.7,19.3,86.4,13.2,74.3,15,72.4,2,Insessorial,-27.67,2.65,AW,1,0,1220,1220,5,1,No,Passeriformes,Riparian,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.779920670985083,1.70474809223843,Monarchidae,LC,1376502.43,23.6,3,Invertebrate,Sedentary,No,0.668338204,1.251462332,8.539708983,3.020590502,Lower_risk
Myiagra atra,17,8.5,6.3,4.7,17.7,72.1,11.8,60.3,16.4,56.6,1,Insessorial,-1.22,-0.63,A,1,0,400,400,1,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.785137822485261,4.62104353514438,Monarchidae,NT,2530.74,12.3,2.21794871794872,Invertebrate,Sedentary,Yes,0.663074671,1.080038474,7.820869312,2.737506843,Lower_risk
Myiagra azureocapilla,14.3,8.5,5.9,3.2,19,78.2,14.7,63.6,18.7,72.8,1,Insessorial,-17.01,-16.69,O,1,0,500,500,1,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.04003143348612,4.21950770517611,Monarchidae,NT,441.36,12.9,1,Invertebrate,Sedentary,Yes,0.590499309,1.144208007,7.171806629,2.40646644,Lower_risk
Myiagra caledonica,19.3,8.5,8,4,17.6,74.3,14.4,59.9,19.3,64.6,2,Insessorial,-22.47,-11.46,A,1,0,1100,1100,5,1,No,Passeriformes,Woodland,AerialSallying,NonCooperative,ExposedElevated,weak,Yes,0.90808651852317,2.85070650150373,Monarchidae,LC,31488.18,10.8,3,Invertebrate,Sedentary,Yes,0.605532773,0.979910483,7.446036807,2.29958643,Lower_risk
Myiagra cervinicauda,16.1,8.2,6.3,3.8,16.5,63.8,10.4,53.4,16.3,57.7,1,Insessorial,-10.85,-10.17,A,1,0,700,700,2,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.51436867236104,1.85629799036563,Monarchidae,NT,3331.87,11.5,2.21794871794872,Invertebrate,Sedentary,Yes,0.622061806,0.991845568,7.372054911,2.376037497,Lower_risk
Myiagra cyanoleuca,18.2,9.6,6.8,4.5,15.9,87.1,19.3,69.3,21.8,75.5,2,Insessorial,-43.57,-10.02,A,2,0,1400,1400,3,1,No,Passeriformes,Shrub,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.01467384616866,2.72785282839839,Monarchidae,LC,1086652.75,17.5,3,Invertebrate,Migratory,No,0.599245788,1.135252448,8.393473854,2.4952742,Lower_risk
Myiagra erythrops,16.6,8.3,6.8,3.5,20.4,67,12,55,17.9,50.8,2,Insessorial,6.89,8.09,O,1,0,200,200,2,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,Yes,1.1906908447938,0,Monarchidae,LC,456.72,12.1,2.21794871794872,Invertebrate,Sedentary,Yes,0.654102676,1.080038474,7.951351082,2.693699611,Lower_risk
Myiagra ferrocyanea,16.3,8.8,5.8,4.1,15.6,69,10.1,59,14.6,61.9,1,Insessorial,-9.95,-5.01,A,1,0,1500,1500,3,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.575901449065324,2.53369681395743,Monarchidae,LC,32643.7,12.8,2.21794871794872,Invertebrate,Sedentary,Yes,0.632750581,1.012535475,7.470931227,2.439181342,Lower_risk
Myiagra galeata,16.2,8.4,6.2,4,15.4,67.6,11.5,56.1,16.9,54.3,2,Insessorial,-3.88,2.64,AW,1,0,150,150,4,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.67694724277124,3.61899332664977,Monarchidae,LC,44624.81,11,2.21794871794872,Invertebrate,Sedentary,Yes,0.632269603,0.983382742,7.143441084,2.408106318,Lower_risk
Myiagra hebetior,17.5,10.7,5.2,4.3,22.1,70.2,9.3,60.9,13.3,55.6,1,Insessorial,-1.54,-1.31,A,1,0,1500,1500,2,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.588566191276542,2.33214389523559,Monarchidae,VU,342.84,20.2,2,Invertebrate,Sedentary,Yes,0.678886265,1.261822285,8.168759594,2.997961143,Higher_risk
Myiagra inquieta,21.9,11.2,5.7,4.3,19.2,99,18.5,79.9,18.7,95.3,2,Insessorial,-39.95,-22.14,A,2,0,1220,1220,1,1,No,Passeriformes,Woodland,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.98202091428813,2.62466859216316,Monarchidae,LC,1602441.95,20.9,4,Invertebrate,PartiallyMigratory,No,0.590499309,1.144208007,4.928806134,2.199462596,Lower_risk
Myiagra oceanica,19.9,10.6,7.8,4.7,20.8,80.6,16,64.6,19.8,65.7,2,Insessorial,5.28,8.99,O,1,0,440,440,4,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,Yes,0.531829589694499,0,Monarchidae,LC,105.86,12.1,2.21794871794872,Invertebrate,Sedentary,Yes,0.654365787,1.080038474,7.947517189,2.694975461,Lower_risk
Myiagra pluto,17.7,9.5,7.1,4.3,19.9,80.4,15.2,65.2,18.9,72.4,2,Insessorial,5.78,7.1,O,1,0,500,500,4,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,Yes,1.17713238255308,0,Monarchidae,LC,361.44,12.1,1,Invertebrate,Sedentary,Yes,0.6549004,1.080038474,7.939728555,2.697569508,Lower_risk
Myiagra rubecula,15.9,8.1,5.7,3.9,15.3,74.2,14,60,18.9,65.6,2,Insessorial,-39.48,-6.1,A,2,0,500,500,6,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.921155870319381,2.21920348405499,Monarchidae,LC,2268381.7,12.1,4,Invertebrate,Sedentary,No,0.596171169,1.096447765,7.795986679,2.44301341,Lower_risk
Myiagra ruficollis,17.4,8.7,6.9,4,18.3,71.1,11.4,61.1,15.7,66.1,2,Insessorial,-23,-4.27,AW,1,0,250,250,5,1,No,Passeriformes,Coastal,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.790252997362136,2.09186406167839,Monarchidae,LC,580888.4,10.1,3,Invertebrate,Sedentary,No,0.614151057,1.058977198,8.594520548,2.53738545,Lower_risk
Myiagra vanikorensis,18,8.7,6.9,4.2,17.7,74.6,14.5,60.1,19.5,59.4,2,Insessorial,-20.68,-11.59,O,1,0,1100,1100,4,1,No,Passeriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.0049629315732,4.25134831103177,Monarchidae,LC,18452.69,12.3,2,Invertebrate,Sedentary,Yes,0.668557122,1.189531866,8.097517397,2.874069771,Lower_risk
Myiarchus antillarum,23.5,13.9,6.4,5.1,22.6,85.3,14.8,70.5,17.3,77.5,2,Insessorial,17.93,18.52,L,1,0,950,950,5,2,No,Passeriformes,Forest,AerialSallying,NonCooperative,Cavity,weak,No,2.4212792657684,6.05959037615558,Tyrannidae,LC,9177.01,23.4,5,Invertebrate,Sedentary,Yes,0.79,1.017238041,13.58333333,4.243066676,Lower_risk
Myiarchus apicalis,21.6,13.7,7.4,5.8,22.3,87.4,7.3,79.4,8.4,88.8,2,Insessorial,1.18,6.52,L,1,400,1300,1700,5,2,No,Passeriformes,Shrub,AerialSallying,NonCooperative,Cavity,weak,No,1.26737438841918,4.30676415017333,Tyrannidae,LC,41557.9,29.2,2.6,Invertebrate,Sedentary,No,0.762081809,1.017183414,10.49729659,3.512847939,Lower_risk
