original_name,standardized_name,Agriculture,Energy,Transportation,Biological_use_hunting,Invasive_species,Climate_change,Number_of_threats,Primary_lifestyle,Beak_length_culmen,Beak_depth,Tarsus_length,Wing_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Adult_survival_annual,Generation_length,Foraging_strategy,Nest_placement,Territoriality,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Puffinus mauretanicus,Puffinus mauretanicus,0,1,0,1,1,1,6,Generalist,45.1,9.2,45.6,242.2,58.1,70,30.27,64.09,0,P,3,0,0,0,3,2,0.907141044,13.96291457,AquaticPlunge,Cavity,none,2.247413784,414.6,PROCELLARIIFORMES,Procellariidae,3816160.57,497,CR,1,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Puffinus elegans,Puffinus assimilis,0,0,0,1,1,0,2,Generalist,29.4,6.9,39.8,184.1,53,64.8,-55.96,-26.77,1,SZ,3,0,0,0,3,2,0.918,12.4339138,AquaticPlunge,Cavity,none,1.604594063,65.1,PROCELLARIIFORMES,Procellariidae,13897070.58,226,LC,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Puffinus assimilis,Puffinus assimilis,0,0,0,1,1,0,2,Generalist,28.3,5.6,36,179.8,55.3,67.4,-53.12,-12.74,0,CZ,2,0,0,0,4,2,0.904811624,11.66600923,AquaticPlunge,Cavity,none,1.604594063,65.1,PROCELLARIIFORMES,Procellariidae,21735982.04,226,LC,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Puffinus lherminieri,Puffinus lherminieri,0,0,0,1,1,0,4,Aquatic,31,6,37.4,185.3,55.6,77.3,-6.99,56.38,1,LN,2,0,0,0,3,2,0.93,13.67148318,AquaticSurface,Cavity,none,1.882226777,283.3,PROCELLARIIFORMES,Procellariidae,24669619.84,192.8,LC,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Puffinus heinrothi,Puffinus heinrothi,0,1,0,0,1,0,2,Generalist,33,5.7,35.4,178.5,24.5,74.8,-8.79,-1.9,1,A,1,0,0,0,1,2,0.919052579,13.09832811,AquaticPlunge,Cavity,none,1.563948316,14.1,PROCELLARIIFORMES,Procellariidae,422924.81,192.8,VU,1,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Pseudobulweria becki,Pseudobulweria becki,1,1,0,0,1,0,3,Aquatic,33.4,8,35.7,238,49,92.7,-17.92,-2.81,1,A,1,0,0,0,2,2,0.852131005,6.437715429,AquaticSurface,Cavity,none,1.604594063,25,PROCELLARIIFORMES,Procellariidae,120483.98,409,CR,1,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Pseudobulweria rostrata,Pseudobulweria rostrata,0,1,0,1,1,0,5,Aquatic,34.8,11.8,44.8,282.5,66.9,103.5,-31.11,17.67,1,O,1,0,2000,2000,2,1,0.869927522,7.275167689,AquaticSurface,Cavity,none,1.640372254,69.2,PROCELLARIIFORMES,Procellariidae,49574430.81,409,NT,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Bulweria bulwerii,Bulweria bulwerii,0,0,1,1,1,0,5,Aquatic,21.6,6.7,26.9,203.2,62.1,110.8,-37.3,47.24,1,C,2,0,0,0,2,2,0.95,12.48508804,AquaticSurface,Cavity,none,1.702043503,376.2,PROCELLARIIFORMES,Procellariidae,117388743.9,99,LC,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Pelecanoides garnotii,Pelecanoides garnotii,0,1,0,1,1,1,6,Aquatic,30.1,7.6,31.5,134.2,50.2,39.2,-41.8,-3.12,1,L,2,0,100,100,3,2,0.837304829,6.873236569,AquaticDive,Cavity,none,2.108916977,86.4,PROCELLARIIFORMES,Procellariidae,469385.96,219.7,NT,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Pelecanoides magellani,Pelecanoides magellani,0,1,0,0,1,0,2,Aquatic,26.3,6,26.1,125.6,48.6,41.4,-57.5,-39.59,1,L,3,0,0,0,2,2,0.830352215,6.457627266,AquaticDive,Cavity,none,1.754776196,4,PROCELLARIIFORMES,Procellariidae,1187555.99,134,LC,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Pelecanoides georgicus,Pelecanoides georgicus,0,0,0,1,1,0,2,Aquatic,20.2,6.2,22.3,113,50.7,45,-67.79,-41.21,1,S,4,0,751,751,3,2,0.826315248,6.242846761,AquaticDive,Cavity,none,1.604594063,1,PROCELLARIIFORMES,Procellariidae,8731179.28,121,LC,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Pelecanoides urinatrix,Pelecanoides urinatrix,0,0,0,0,1,0,1,Aquatic,28.1,7.2,23.9,121.7,47.7,39,-63.56,-24.03,1,CZ,3,0,0,0,3,1,0.817414941,7.101515172,AquaticDive,Cavity,none,1.640372254,75.5,PROCELLARIIFORMES,Procellariidae,21746036.6,152.1,LC,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Leptoptilos javanicus,Leptoptilos javanicus,1,0,0,1,1,0,7,Terrestrial,280.5,59.7,249.6,624.6,35.2,277.2,-8.85,28.73,0,I,1,0,500,500,3,3,0.882952215,11.1882499,GroundForaging,ExposedElevated,none,3.716459312,275.5,CICONIIFORMES,Ciconiidae,1287176.59,4651,NT,4,Omnivore,Coastal,PartiallyMigratory,Lower_risk
Mycteria americana,Mycteria americana,0,0,0,0,0,0,0,Terrestrial,224.5,44.7,191,455.9,37,190.8,-37.08,33.1,0,LN,2,0,800,800,4,3,0.853579079,8.840286446,GroundForaging,ExposedElevated,none,2.99051351,23.9,CICONIIFORMES,Ciconiidae,14553444.64,2554.5,LC,5,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Mycteria ibis,Mycteria ibis,0,0,0,0,0,0,0,Terrestrial,236.4,43.1,212.2,462.5,40.9,154.2,-33.78,18.94,0,F,1,0,500,500,5,3,0.874620763,8.579784935,GroundForaging,ExposedElevated,none,2.619533602,35.9,CICONIIFORMES,Ciconiidae,15368408.04,2155.6,LC,3,Omnivore,Wetland,PartiallyMigratory,Lower_risk
Mycteria leucocephala,Mycteria leucocephala,0,0,0,1,0,0,4,Terrestrial,254.2,46,222.2,474.2,41.1,183.5,5.92,27.29,0,IP,2,0,500,500,3,3,0.875256902,10.05498241,GroundForaging,ExposedElevated,none,4.084048738,290.7,CICONIIFORMES,Ciconiidae,1543399.32,3180,LC,5,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Anastomus oscitans,Anastomus oscitans,0,0,0,0,0,0,0,Terrestrial,156.7,37.7,137.7,397,40.2,162.4,5.92,29.12,0,I,2,0,3840,3840,3,2,0.830997205,6.631440732,GroundForaging,ExposedElevated,none,3.953378818,361.6,CICONIIFORMES,Ciconiidae,2119789.43,1590,LC,5,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Anastomus lamelligerus,Anastomus lamelligerus,0,0,0,0,0,0,0,Terrestrial,177.8,41.4,143.8,393.8,38.3,178.5,-29.37,18.43,0,F,1,0,500,500,5,1,0.811300161,6.078983366,GroundForaging,ExposedElevated,none,2.551669367,34.3,CICONIIFORMES,Ciconiidae,13409712.69,1081,LC,5,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Ciconia nigra,Ciconia nigra,0,0,0,0,0,0,0,Terrestrial,184.5,27.4,192.6,529.5,43.1,235.6,-34.84,63.08,0,E,2,0,2000,2000,5,3,0.798331697,9.710036204,GroundForaging,ExposedElevated,none,3.20487857,49.8,CICONIIFORMES,Ciconiidae,18362407.3,2926,LC,6,AquaticAnimals,Woodland,Migratory,Lower_risk
Ciconia abdimii,Ciconia abdimii,1,0,0,1,0,0,4,Terrestrial,108,24,113,416.5,44.6,163,5.91,20.76,0,F,1,0,500,500,4,2,0.836905697,7.446135018,GroundForaging,ExposedElevated,none,2.528148486,32.7,CICONIIFORMES,Ciconiidae,6486422.91,1398,LC,3,Invertebrate,Grassland,Sedentary,Lower_risk
Ciconia episcopus,Ciconia episcopus,1,0,0,1,0,0,4,Terrestrial,149.4,27.3,155.3,456.2,38,169.3,-10.94,35.68,0,IA,2,0,1400,1400,3,3,0.863178022,9.751087535,GroundForaging,ExposedElevated,none,3.018719759,99.4,CICONIIFORMES,Ciconiidae,3858090.35,2061,NT,4,AquaticAnimals,Wetland,Sedentary,Lower_risk
Ciconia maguari,Ciconia maguari,0,0,0,0,0,0,0,Terrestrial,248.5,35.4,258.2,576.5,43.1,254.5,-39.41,10.4,0,L,2,0,900,900,4,3,0.838157449,9.617997265,GroundForaging,ExposedElevated,none,2.908943545,16.2,CICONIIFORMES,Ciconiidae,5041992.63,3995,LC,4,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Ciconia ciconia,Ciconia ciconia,0,0,0,0,0,0,0,Terrestrial,189.1,33.1,217.2,565.6,45.9,249.8,-34.84,60.04,0,E,2,0,3500,3500,4,3,0.805556646,12.48833725,GroundForaging,ExposedElevated,none,4.40044224,95.6,CICONIIFORMES,Ciconiidae,5196114,3445.8,LC,7,Omnivore,Grassland,Migratory,Lower_risk
Ciconia boyciana,Ciconia boyciana,1,0,1,1,0,0,6,Terrestrial,225.2,38.8,254.5,602.4,44.6,228,43.92,52.15,0,P,3,0,500,500,3,3,0.854890162,12.10367378,GroundForaging,ExposedElevated,none,2.784626322,31,CICONIIFORMES,Ciconiidae,475164.45,4847.7,EN,6,AquaticAnimals,Wetland,Migratory,Higher_risk
Jabiru mycteria,Jabiru mycteria,0,0,0,0,0,0,0,Terrestrial,309.5,68,301,640.8,40.7,239,-35.5,20.52,0,L,1,0,700,700,5,3,0.851096484,10.56038885,GroundForaging,ExposedElevated,none,2.683866678,11.1,CICONIIFORMES,Ciconiidae,9048327.31,5996.3,LC,5,AquaticAnimals,Wetland,Sedentary,Lower_risk
Ephippiorhynchus asiaticus,Ephippiorhynchus asiaticus,1,0,1,1,0,1,6,Terrestrial,296.8,47.8,324.2,575,40.2,298.8,-35.2,32.32,0,AI,2,0,500,500,6,3,0.882772979,10.84475727,GroundForaging,ExposedElevated,none,3.245055271,162.6,CICONIIFORMES,Ciconiidae,5462619.41,4100,LC,5,AquaticAnimals,Wetland,Sedentary,Lower_risk
Ephippiorhynchus senegalensis,Ephippiorhynchus senegalensis,1,0,0,1,0,0,3,Terrestrial,288.1,57.9,337.8,617.2,40.2,280.8,-30.52,17.57,0,F,1,0,500,500,3,3,0.877186956,10.70868777,GroundForaging,ExposedElevated,none,2.64134124,33.5,CICONIIFORMES,Ciconiidae,11071552.53,6158.7,NT,5,AquaticAnimals,Wetland,Sedentary,Lower_risk
Platalea flavipes,Platalea flavipes,0,0,0,0,0,0,0,Terrestrial,197.8,17.6,123.3,370,38,144.5,-39.14,-22.13,0,A,2,0,500,500,2,3,0.854849657,9.103354148,GroundForaging,ExposedElevated,none,2.536042662,11,PELECANIFORMES,Threskiornithidae,1812783.46,1741.3,LC,3,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Platalea ajaja,Platalea ajaja,0,0,0,0,0,0,0,Terrestrial,159.8,17.1,97.7,349,33.6,93.6,-40.09,30.37,0,LN,2,0,1000,1000,4,2,0.854056469,7.852077571,GroundForaging,ExposedElevated,none,3.214996466,32,PELECANIFORMES,Threskiornithidae,7917712.48,1490,LC,7,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Platalea alba,Platalea alba,0,0,0,0,0,0,1,Terrestrial,204,17.2,141.2,384.2,35.9,116,-34.84,17.97,0,FM,2,0,500,500,2,3,0.896041741,9.342045485,GroundForaging,ExposedElevated,none,2.676875289,41.1,PELECANIFORMES,Threskiornithidae,14157612.5,1521,LC,3,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Platalea leucorodia,Platalea leucorodia,0,0,0,0,0,0,0,Terrestrial,190.3,15.2,129,361.6,40.4,118.4,5.92,57.34,0,E,2,0,500,500,4,4,0.866200823,9.340384641,GroundForaging,ExposedElevated,none,3.327980556,103,PELECANIFORMES,Threskiornithidae,6276598.58,1868,LC,4,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Platalea minor,Platalea minor,0,1,0,1,1,0,4,Terrestrial,179.5,15.2,125.5,356.8,40.1,99.8,37.36,42.63,0,IP,2,0,500,500,3,2,0.814270832,6.52923274,GroundForaging,ExposedElevated,none,4.188825932,713.2,PELECANIFORMES,Threskiornithidae,15430.12,1228,VU,6,AquaticAnimals,Wetland,PartiallyMigratory,Higher_risk
Platalea regia,Platalea regia,0,0,0,0,0,0,0,Terrestrial,174.3,13.8,120.3,352.6,36.6,108.6,-47.29,-4.29,0,AZ,2,0,500,500,3,3,0.887394464,9.970333981,GroundForaging,ExposedElevated,none,2.365935561,23.9,PELECANIFORMES,Threskiornithidae,5888747.88,1723.5,LC,3,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Threskiornis aethiopicus,Threskiornis aethiopicus,0,0,0,1,1,0,3,Terrestrial,160.4,24.7,106.7,364.2,36.5,148,-34.84,31.59,0,F,1,0,1800,1800,4,4,0.849462876,9.182548589,GroundForaging,ExposedElevated,none,2.582307291,32.2,PELECANIFORMES,Threskiornithidae,17650108.45,1493.2,LC,3,AquaticAnimals,Wetland,Sedentary,Lower_risk
Threskiornis moluccus,Threskiornis molucca,0,0,0,0,0,0,0,Terrestrial,161,20.6,97.7,351.8,31.4,128.8,-43.64,-0.34,0,A,2,0,500,500,4,3,0.888518015,10.19357473,GroundForaging,ExposedElevated,none,2.938538462,19.9,PELECANIFORMES,Threskiornithidae,563710.25,1794.9,LC,4,AquaticAnimals,Wetland,Sedentary,Lower_risk
Threskiornis spinicollis,Threskiornis spinicollis,0,0,0,0,0,0,0,Terrestrial,156.8,16.9,88.9,364.4,39,150.6,-39.24,-10.51,0,A,2,0,500,500,6,3,0.820483531,8.824898017,GroundForaging,ExposedElevated,none,2.157954036,4.2,PELECANIFORMES,Threskiornithidae,6390192.38,1346.7,LC,5,Omnivore,Grassland,Sedentary,Lower_risk
Pseudibis papillosa,Pseudibis papillosa,0,0,0,0,0,0,0,Terrestrial,141.8,19,71.2,380.6,36.5,199.2,8.07,29.98,0,I,2,0,500,500,2,4,0.817245978,7.648211451,GroundForaging,ExposedElevated,weak,4.259439908,407,PELECANIFORMES,Threskiornithidae,1181694.91,823,LC,4,Omnivore,Grassland,Sedentary,Lower_risk
Pseudibis davisoni,Pseudibis davisoni,1,0,0,1,0,1,6,Terrestrial,170.8,20,85,406.8,37.8,199.6,-3.62,14.88,0,I,1,0,500,500,6,3,0.841613991,7.798213883,GroundForaging,ExposedElevated,weak,2.890922357,36.2,PELECANIFORMES,Threskiornithidae,48226.23,1588,CR,4,AquaticAnimals,Wetland,Sedentary,Higher_risk
Geronticus eremita,Geronticus eremita,0,0,0,0,1,0,3,Terrestrial,132.2,15.8,72.6,401.8,42.8,184.2,30.27,34.39,0,P,2,0,2270,2270,5,3,0.834242458,10.0556566,GroundForaging,ExposedElevated,none,9.070402354,224.5,PELECANIFORMES,Threskiornithidae,644.23,1202,EN,4,Invertebrate,Plains,Migratory,Higher_risk
Nipponia nippon,Nipponia nippon,0,0,0,1,0,0,3,Terrestrial,169.2,22.1,78,392.6,36.2,145.4,33.14,33.44,0,P,3,470,830,1300,4,3,0.837382207,7.388794076,GroundForaging,ExposedElevated,none,2.042295033,54.6,PELECANIFORMES,Threskiornithidae,1119.51,1900,EN,5,AquaticAnimals,Wetland,Sedentary,Higher_risk
Bostrychia hagedash,Bostrychia hagedash,0,0,0,1,0,0,1,Terrestrial,144.4,20,74,338.8,27.1,162.4,-34.84,17.95,0,F,2,0,500,500,8,2,0.85846822,6.921840618,GroundForaging,ExposedElevated,weak,2.662779125,39.1,PELECANIFORMES,Threskiornithidae,16241597.55,1238,LC,3,Invertebrate,Grassland,Sedentary,Lower_risk
Theristicus caerulescens,Theristicus caerulescens,0,0,0,0,0,0,0,Terrestrial,157.8,21.6,88,408.2,36.5,161.2,-36.52,-12.44,0,L,2,0,600,600,4,1,0.864833852,8.294128488,GroundForaging,ExposedElevated,none,2.99051351,24.4,PELECANIFORMES,Threskiornithidae,1749653.63,1500,LC,3,Invertebrate,Grassland,Sedentary,Lower_risk
Theristicus caudatus,Theristicus caudatus,0,0,0,0,0,0,0,Terrestrial,151.7,15.9,80.3,393,32.2,215.4,-33.82,11.73,0,L,2,0,1000,1000,4,2,0.858641685,7.986837771,GroundForaging,ExposedElevated,none,2.99051351,17.9,PELECANIFORMES,Threskiornithidae,5146136.12,1726,LC,3,Omnivore,Grassland,PartiallyMigratory,Lower_risk
Theristicus branickii,Theristicus melanopis,1,0,0,1,0,1,3,Terrestrial,130.5,15.2,69.8,395.5,33.9,191.5,-18.67,-0.01,0,L,1,3700,800,4500,1,2,0.646537879,7.730025406,GroundForaging,ExposedElevated,none,2.48781998,19,PELECANIFORMES,Threskiornithidae,305055,1492,NT,3,Omnivore,Grassland,PartiallyMigratory,Lower_risk
Theristicus melanopis,Theristicus melanopis,0,0,0,0,0,0,0,Terrestrial,142.8,16.7,82,382,41,155.2,-55.98,-6.27,0,L,2,0,3000,3000,7,2,0.850211511,10.31482316,GroundForaging,ExposedElevated,none,2.48781998,19,PELECANIFORMES,Threskiornithidae,1331819.08,1250,LC,3,Omnivore,Grassland,PartiallyMigratory,Lower_risk
Mesembrinibis cayennensis,Mesembrinibis cayennensis,0,0,0,0,0,0,0,Terrestrial,116.6,16.3,60.3,296.1,25,153.3,-29.1,15.41,0,L,2,0,600,600,5,3,0.811842183,5.759972748,GroundForaging,ExposedElevated,none,2.725060635,15.5,PELECANIFORMES,Threskiornithidae,10576805.93,756,LC,4,AquaticAnimals,Forest,Sedentary,Lower_risk
Phimosus infuscatus,Phimosus infuscatus,0,0,0,0,0,0,0,Terrestrial,115.2,14.7,58.1,265.3,34.5,109.3,-36.89,11.36,0,L,2,0,2600,2600,5,1,0.781598063,5.617822305,GroundForaging,ExposedElevated,none,3.18449011,29.5,PELECANIFORMES,Threskiornithidae,6585514.18,559,LC,8,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Eudocimus albus,Eudocimus albus,0,0,0,0,0,0,0,Terrestrial,144.1,17,90.4,280.2,35.2,102.4,-3.89,35.2,0,LN,2,0,150,150,5,2,0.820362335,6.506976058,GroundForaging,ExposedElevated,none,4.58589276,80.1,PELECANIFORMES,Threskiornithidae,1204506.08,889.7,LC,3,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Eudocimus ruber,Eudocimus ruber,0,0,0,0,0,0,0,Terrestrial,144.9,16.6,82.2,260.4,37.1,87,-27.8,12.49,0,L,1,0,500,500,4,3,0.847959384,8.073872817,GroundForaging,ExposedElevated,none,3.765329705,78.3,PELECANIFORMES,Threskiornithidae,816290.78,660.1,LC,3,AquaticAnimals,Coastal,PartiallyMigratory,Lower_risk
Plegadis falcinellus,Plegadis falcinellus,0,0,0,0,0,1,1,Terrestrial,117.2,13.9,86.4,274.8,38.9,102.7,-39.14,49.67,0,C,2,0,500,500,4,4,0.616922258,7.246297223,GroundForaging,ExposedElevated,none,2.778130393,36.1,PELECANIFORMES,Threskiornithidae,23712479.58,626.6,LC,6,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Plegadis chihi,Plegadis chihi,0,0,0,0,0,0,0,Terrestrial,118.7,14,86.1,246.5,38.6,95.5,-43.87,49.46,0,LN,2,0,2200,2200,3,3,0.597986194,5.140344254,GroundForaging,ExposedElevated,none,3.511959366,36.2,PELECANIFORMES,Threskiornithidae,5296229.51,616.9,LC,5,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Plegadis ridgwayi,Plegadis ridgwayi,1,1,1,1,0,1,6,Terrestrial,101.9,14.1,74.2,277.8,35.9,103.2,-24.64,-7.13,0,L,1,3500,1300,4800,2,1,0.636843331,6.206236842,GroundForaging,ExposedElevated,none,2.437353146,22.8,PELECANIFORMES,Threskiornithidae,495452.93,579.4,LC,2,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Tigrisoma lineatum,Tigrisoma lineatum,0,0,0,0,0,0,0,Terrestrial,109.4,20.4,98.8,306.7,16.8,135.1,-36.04,15.16,0,L,2,0,900,900,3,3,0.813093166,6.532257883,GroundForaging,ExposedElevated,none,2.866569911,20.4,PELECANIFORMES,Ardeidae,13239678.28,813,LC,3,AquaticAnimals,Wetland,Sedentary,Lower_risk
Tigrisoma fasciatum,Tigrisoma fasciatum,0,0,0,0,0,0,0,Terrestrial,97,19.3,90.6,310.6,27.4,122.8,-30.65,15.67,0,L,2,300,1900,2200,3,1,0.809356042,6.431337993,GroundForaging,ExposedElevated,none,3.666748547,67.3,PELECANIFORMES,Ardeidae,1533469.08,850,LC,1,AquaticAnimals,Riparian,Sedentary,Lower_risk
Tigrisoma mexicanum,Tigrisoma mexicanum,0,0,0,0,0,0,0,Terrestrial,123.3,20.3,112.2,371.5,23.6,145.2,7.2,29,0,L,1,0,1000,1000,3,3,0.843208222,8.033117499,GroundForaging,ExposedElevated,none,3.308751667,51,PELECANIFORMES,Ardeidae,928353.01,1154.4,LC,3,AquaticAnimals,Coastal,Sedentary,Lower_risk
Agamia agami,Agamia agami,1,0,1,1,0,1,5,Terrestrial,158.8,17.4,98.3,273.6,33.4,97.2,-18.44,19.63,0,L,1,0,300,300,4,1,0.786246751,5.631031192,GroundForaging,ExposedElevated,none,2.375152261,7.8,PELECANIFORMES,Ardeidae,7840247.37,567,NT,4,AquaticAnimals,Wetland,Sedentary,Lower_risk
Cochlearius cochlearius,Cochlearius cochlearius,0,0,0,0,0,0,0,Terrestrial,86.4,28.9,78.3,264.6,28.2,117,-26.98,24.4,0,L,1,0,650,650,4,3,0.821923763,5.742035427,GroundForaging,ExposedElevated,none,2.823005184,19.4,PELECANIFORMES,Ardeidae,11698377.4,643.2,LC,4,AquaticAnimals,Wetland,Sedentary,Lower_risk
Zebrilus undulatus,Zebrilus undulatus,1,0,0,1,0,0,2,Terrestrial,45.2,10.3,39,141,17.4,55.6,-17.19,10.15,0,L,1,0,500,500,4,2,0.727969991,3.867290797,GroundForaging,ExposedElevated,weak,2.169716837,4.4,PELECANIFORMES,Ardeidae,5812182.01,123,LC,2,AquaticAnimals,Forest,Sedentary,Lower_risk
Botaurus stellaris,Botaurus stellaris,0,0,0,0,0,0,0,Terrestrial,77.3,16.1,94.3,323.8,31.2,98.3,-31.12,64.85,0,E,5,0,200,200,2,3,0.723052144,3.956804095,GroundForaging,ExposedGround,weak,3.116738338,33.2,PELECANIFORMES,Ardeidae,18110303.08,1319.5,LC,7,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Botaurus poiciloptilus,Botaurus poiciloptilus,1,0,1,1,1,1,7,Terrestrial,72.4,16.5,96.7,320.4,30.3,109.4,-46.68,-20.09,0,AZ,3,0,300,300,2,3,0.798573557,4.788542285,GroundForaging,ExposedGround,weak,2.63411412,13.7,PELECANIFORMES,Ardeidae,1425382.93,1083.7,VU,5,Omnivore,Wetland,PartiallyMigratory,Higher_risk
Botaurus lentiginosus,Botaurus lentiginosus,1,0,0,1,0,0,4,Terrestrial,82.4,15.2,89.7,270.8,32,88.6,19.3,63.22,0,LN,2,0,2500,2500,2,3,0.706137006,3.52468164,GroundForaging,ExposedGround,weak,3.675094416,22.2,PELECANIFORMES,Ardeidae,8778053.14,706,LC,7,AquaticAnimals,Wetland,Migratory,Lower_risk
Botaurus pinnatus,Botaurus pinnatus,0,0,0,0,0,0,0,Terrestrial,96,18.5,103.9,297.8,30.1,101.2,-35.73,21.61,0,L,2,0,400,400,3,3,0.782409014,4.37363472,GroundForaging,ExposedGround,weak,3.426341358,41.3,PELECANIFORMES,Ardeidae,2262647.75,812.2,LC,3,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Ixobrychus involucris,Ixobrychus involucris,0,0,0,0,0,0,0,Terrestrial,53.1,7.4,40.7,115.4,33.5,43.2,-41.17,11.2,0,L,2,0,3500,3500,3,3,0.675787114,3.148827021,GroundForaging,ExposedElevated,none,3.403297693,45.3,PELECANIFORMES,Ardeidae,2399740.23,80.1,LC,5,AquaticAnimals,Wetland,Migratory,Lower_risk
Ixobrychus exilis,Ixobrychus exilis,0,0,0,0,0,0,0,Terrestrial,47.8,7.8,37.9,107.8,29,40.8,-28.32,49.59,0,LN,2,0,2500,2500,2,4,0.654383638,3.135139649,GroundForaging,ExposedElevated,none,4.875836429,68.9,PELECANIFORMES,Ardeidae,6223094.32,86.3,LC,7,AquaticAnimals,Wetland,PartiallyMigratory,Lower_risk
Ixobrychus minutus,Ixobrychus minutus,1,0,0,0,0,0,4,Terrestrial,57.2,8.9,48.4,142.6,37.2,47.6,-34.84,60.12,0,E,2,0,2400,2400,4,3,0.606039756,3.333237926,GroundForaging,ExposedElevated,none,3.27958802,47.8,PELECANIFORMES,Ardeidae,27683039.02,99.5,LC,9,AquaticAnimals,Wetland,Migratory,Lower_risk
Ixobrychus sinensis,Ixobrychus sinensis,0,0,0,0,0,0,0,Terrestrial,62.4,8.2,42.4,129.4,31,40.8,-10.37,48.81,0,E,2,0,1500,1500,4,3,0.624052253,2.685815363,GroundForaging,ExposedElevated,none,4.009984177,240.4,PELECANIFORMES,Ardeidae,8593201.95,94.3,LC,7,AquaticAnimals,Wetland,Migratory,Lower_risk
Ixobrychus eurhythmus,Ixobrychus eurhythmus,1,0,0,1,0,0,4,Terrestrial,57.2,10.4,45.8,143.4,33.4,40.6,21.57,56.16,0,IP,2,0,500,500,5,3,0.68373795,3.539076537,GroundForaging,ExposedElevated,none,4.047210616,204.4,PELECANIFORMES,Ardeidae,4733640.24,139,NT,6,AquaticAnimals,Wetland,Migratory,Lower_risk
Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,0,0,0,0,0,0,0,Terrestrial,58.7,10.6,46.9,144.3,25.6,40.4,-9.43,43.19,0,IP,2,0,1980,1980,4,3,0.640760825,3.07121401,GroundForaging,ExposedElevated,none,4.032367566,303.1,PELECANIFORMES,Ardeidae,7931366.43,126.5,LC,6,AquaticAnimals,Artificial,Sedentary,Lower_risk
Ixobrychus sturmii,Ixobrychus sturmii,0,0,0,0,0,0,0,Terrestrial,46.2,9.2,46.5,155.8,32.8,56,-34.34,17.02,0,F,2,0,1700,1700,5,3,0.708853148,3.534408374,GroundForaging,ExposedElevated,none,2.704621716,41.6,PELECANIFORMES,Ardeidae,12872490.53,140,LC,4,AquaticAnimals,Wetland,Sedentary,Lower_risk
Ixobrychus flavicollis,Dupetor flavicollis,0,0,0,0,0,0,0,Terrestrial,87.5,13.1,64.8,201.2,30.4,61.5,-37.8,34.13,0,AIW,2,0,1200,1200,4,3,0.73181599,4.269471494,GroundForaging,ExposedElevated,none,3.649981708,192.5,PELECANIFORMES,Ardeidae,6677261.29,321,LC,6,AquaticAnimals,Wetland,Sedentary,Lower_risk
Gorsachius goisagi,Gorsachius goisagi,1,1,0,1,1,0,6,Terrestrial,49.4,13.8,68,256.8,34.6,93.2,30.47,36.72,1,P,3,50,190,240,3,2,0.778785591,5.295145213,GroundForaging,ExposedElevated,none,8.122449377,592.5,PELECANIFORMES,Ardeidae,157988.97,527,VU,4,AquaticAnimals,Riparian,Migratory,Higher_risk
Gorsachius melanolophus,Gorsachius melanolophus,0,0,0,0,0,0,0,Terrestrial,60.3,13.3,62.3,255.2,30.7,95.6,5.56,28.25,0,I,1,0,2100,2100,4,3,0.750132832,4.642761745,GroundForaging,ExposedElevated,none,3.351785652,135.5,PELECANIFORMES,Ardeidae,1242970.05,412.3,LC,5,Omnivore,Wetland,PartiallyMigratory,Lower_risk
