original_name,standardized_name,Agriculture,Energy,Transportation,Biological_use_hunting,Invasive_species,Climate_change,Number_of_threats,Primary_lifestyle,Beak_length_culmen,Beak_depth,Tarsus_length,Wing_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Adult_survival_annual,Generation_length,Foraging_strategy,Nest_placement,Territoriality,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Caprimulgus longirostris,Systellura longirostris,0,0,0,0,0,0,0,Insessorial,18.8,2.5,16.4,154.9,48.5,117.3,-55.72,11.15,0,L,2,900,3500,4400,3,1,0.719470409,3.718506467,AerialSallying,ExposedGround,weak,3.051981895,35.8,CAPRIMULGIFORMES,Caprimulgidae,4156452.17,45.6,LC,2,Invertebrate,Grassland,Sedentary,Lower_risk
Caprimulgus maculicaudus,Hydropsalis maculicaudus,0,0,0,0,0,0,0,Insessorial,17.5,2.6,13.7,128.8,45.5,88.2,-26.89,18.87,0,L,1,0,1350,1350,4,1,0.702966111,3.339576911,AerialSallying,ExposedGround,weak,3.111426923,24.1,CAPRIMULGIFORMES,Caprimulgidae,3375852.78,30.3,LC,2,Invertebrate,Savanna,Sedentary,Lower_risk
Caprimulgus nigrescens,Nyctipolus nigrescens,0,0,0,0,0,0,0,Aerial,16.8,2.6,13.1,138,44,95,-13.49,7.4,0,L,1,0,1350,1350,4,1,0.748218991,3.783044137,AerialScreaning,ExposedGround,weak,2.108916977,5,CAPRIMULGIFORMES,Caprimulgidae,4123782.88,35.7,LC,1,Invertebrate,Rocky,Sedentary,Lower_risk
Caprimulgus noctitherus,Antrostomus noctitherus,0,0,0,0,1,1,3,Generalist,17,2.9,16.6,132.5,43.2,125.5,17.94,18.19,1,L,1,0,640,640,2,1,0.731296938,3.211492408,AerialScreaning,ExposedGround,weak,9.913852801,301.5,CAPRIMULGIFORMES,Caprimulgidae,291.94,36.1,VU,2,Invertebrate,Forest,Sedentary,Higher_risk
Caprimulgus ridgwayi,Antrostomus ridgwayi,0,0,0,0,0,0,0,Generalist,20.5,3.4,16.8,150.2,46.9,120,12.25,33.44,0,LN,2,0,3000,3000,4,1,0.728979987,3.215445278,AerialSallying,ExposedGround,weak,3.538397658,73.2,CAPRIMULGIFORMES,Caprimulgidae,631238.26,48,LC,2,Invertebrate,Rocky,Sedentary,Lower_risk
Caprimulgus rufus,Antrostomus rufus,0,0,0,0,0,0,0,Generalist,26.3,3.8,18.4,169,46.1,116.2,-31.62,14.1,0,L,2,0,1800,1800,2,1,0.780408917,4.067741633,AerialScreaning,ExposedGround,weak,3.299073839,33.9,CAPRIMULGIFORMES,Caprimulgidae,5391690.94,94.2,LC,2,Invertebrate,Forest,Sedentary,Lower_risk
Caprimulgus ruwenzorii,Caprimulgus poliocephalus,0,0,0,0,0,0,0,Aerial,15.8,2.6,16.8,155.6,44.9,112.9,-13.3,21.45,0,F,1,800,2550,3350,6,1,0.692290853,3.009630644,AerialScreaning,ExposedGround,weak,2.384281527,205.8,CAPRIMULGIFORMES,Caprimulgidae,807034.95,41.8,LC,2,Invertebrate,Forest,PartiallyMigratory,Lower_risk
Caprimulgus salvini,Antrostomus salvini,0,0,0,0,0,0,0,Insessorial,22,3.5,15.4,169,44.6,120.8,19.92,26.78,0,L,2,0,500,500,5,1,0.737369261,3.42327795,AerialSallying,ExposedGround,weak,3.607612812,61.6,CAPRIMULGIFORMES,Caprimulgidae,115696.33,56,LC,2,Invertebrate,Plains,Sedentary,Lower_risk
Caprimulgus saturatus,Antrostomus saturatus,0,0,0,0,0,0,0,Insessorial,16,3.1,16,144.5,47.8,109.2,8.76,10.4,0,L,1,1500,1600,3100,2,1,0.767414403,3.570978284,AerialSallying,ExposedGround,weak,2.84805168,19.1,CAPRIMULGIFORMES,Caprimulgidae,5381.48,52,LC,1,Invertebrate,Forest,Sedentary,Lower_risk
Caprimulgus sericocaudatus,Antrostomus sericocaudatus,0,0,0,0,0,0,0,Aerial,23,3.3,17.6,160.7,49.6,122.7,-27.83,-2.35,0,L,2,82,1118,1200,2,1,0.727911964,3.397221474,AerialScreaning,ExposedGround,weak,3.720563187,43.5,CAPRIMULGIFORMES,Caprimulgidae,1167113.56,83,LC,2,Invertebrate,Forest,Sedentary,Lower_risk
