Species1,extinction_risk,Primary.Lifestyle,RLM,Nest_Type,Nest_SBS,Flightlessness,Order,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,Family,Diet,Habitat_cat,Migration,IslandEndemic,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Min.Latitude,Max.Latitude,LAT,Elevational.Range,HB,DB,LogNightLights,LogHumanPopulationDensity,Range_size,Body_mass,Clutch_size
Leuconotopicus borealis,Lower_risk,Insessorial,N,CV,T,No,Piciformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Picidae,Invertebrate,Forest,Sedentary,No,18.2,14.1,6.8,6.1,21.1,117,37.2,78.8,32.1,85,2,25.85,37.47,3,500,1,3,1.249072026,3.969135641,603894.41,48,5
Leuconotopicus fumigatus,Lower_risk,Insessorial,L,CV,C-P-T,No,Piciformes,BarkGleaning,NonCooperative,Cavity,strong,No,Picidae,Invertebrate,Forest,Sedentary,No,22,16.9,6.9,6.7,18,95.1,19.1,76.4,20,61.8,1,-24.04,23.83,1,2800,5,1,1.121485872,3.621523042,1109542.22,36.2,4
Leuconotopicus stricklandi,Lower_risk,Insessorial,L,CV,C-T,No,Piciformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Picidae,Invertebrate,Woodland,Sedentary,No,19.3,14.4,6.3,5.6,18.7,114,32.3,81.5,28.4,73,2,18.64,19.57,2,1600,3,3,1.359979033,4.683963174,18699.26,40.9,4
Leuconotopicus villosus,Lower_risk,Insessorial,LN,CV,C-P-T,No,Piciformes,BarkGleaning,NonCooperative,Cavity,strong,No,Picidae,Invertebrate,Forest,Sedentary,No,31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,1,8.48,68.73,2,3500,4,3,1.284861383,3.64652935,13332874.44,62.7,5
Leucopeza semperi,Higher_risk,Terrestrial,L,DM,G,No,Passeriformes,GroundForaging,NonCooperative,Cavity,strong,Yes,Parulidae,Invertebrate,Forest,Sedentary,Yes,19,11.9,4.3,4.4,23.2,67.2,11.3,55.9,16.9,50.9,1,13.91,13.92,1,500,2,1,0.500981599,0.50991547,0.98,19.8,3.246740784
Leucophaeus pipixcan,Lower_risk,Generalist,P,SC,G,No,Charadriiformes,ForagingGeneralist,NonCooperative,ExposedGround,none,No,Laridae,Omnivore,Coastal,Migratory,No,44.72588765,24.25021911,11.67799556,14.06872867,49.39084156,310.25204,160.249702,159.8773122,52.1327133,146.8323447,2.944744444,31.78075442,55.06192529,2.705202222,1096.968824,3.283175556,3.095437778,1.158292185,1.609437912,1433191.7,280,3
Leucophaeus scoresbii,Lower_risk,Terrestrial,A,SC,G,No,Charadriiformes,GroundForaging,NonCooperative,ExposedGround,none,No,Laridae,Ca,Sea,PartiallyMigratory,No,49.74029115,27.444258,12.91547067,16.67541533,70.41469511,366.1923956,174.4668464,198.1926242,46.43718111,168.8497753,2.939864444,-35.74331402,-14.92839013,2.143753333,851.1862498,2.9582,3.362822222,0.547722558,1.722766598,472285.2,523.5,2.5
Leucopsar rothschildi,Higher_risk,Insessorial,I,CV,T,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Sturnidae,Omnivore,Forest,Sedentary,No,31.2,18,6.5,8.9,35.1,130.8,26.1,104.7,19.9,79,2,-8.14,-8.09,1,175,3,3,0.836660027,5.48022217,37.61,91.3,5
Leucopternis albicollis,Lower_risk,Insessorial,L,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Terrestrial,Sedentary,No,38.99690678,24.18157006,13.01047585,18.87660356,76.18671311,376.1466803,121.8122644,251.8713612,32.43579029,217.473226,2.052488889,-23.31143462,13.32231871,1.217073333,1369.711897,3.404584444,1.613204444,0.87642146,2.2300144,8478029.7,703.7,1
Leucopternis kuhli,Lower_risk,Insessorial,L,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Forest,Sedentary,No,30.4,18.3,11.4,15,56.2,207.6,54.5,156.6,25.8,148.6,1,-15.21,-0.54,1,500,1,2,0.752120619,1.526056303,2375316.62,352.1,2.126963351
Leucopternis lacernulatus,Higher_risk,Insessorial,I,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Terrestrial,Sedentary,No,39.72558067,24.20855861,12.77089089,18.50558422,74.39846067,361.4530467,119.0415978,240.7736636,32.50293476,216.0186901,2.060937778,-3.316059578,13.89702367,1.182795556,1215.353413,3.119946667,1.595362222,1.769320539,5.862494166,140013.9,595.5,2.126963351
Leucopternis melanops,Lower_risk,Insessorial,L,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Forest,Sedentary,No,29.6,18.3,11.1,15.3,56.5,210.8,60.5,149.2,28.9,130,1,-4.35,8.65,1,500,3,2,0.720843424,1.410986974,2570861.92,312,2.126963351
Leucopternis occidentalis,Higher_risk,Insessorial,L,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Terrestrial,Sedentary,No,38.13911133,23.75990702,12.74172563,18.49230289,76.64454467,357.96572,114.5484358,240.210258,31.87103498,208.6825333,1.969346667,-3.352102238,9.810743711,1.119886667,1165.379195,2.963468889,1.578371111,1.117586507,3.929862924,6586.8,659.99,2.126963351
Leucopternis plumbeus,Higher_risk,Insessorial,L,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Terrestrial,Sedentary,No,34.12318244,20.37385111,11.79435213,16.87287,67.13399584,317.7273079,105.4073633,212.7893042,32.56435225,201.4867582,1.927048889,-13.23081363,-0.649571705,1.084828889,1251.08319,2.634591111,1.716328889,0.8532356,3.077312261,162118.2,482,2.126963351
Leucopternis polionotus,Lower_risk,Insessorial,I,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Terrestrial,Sedentary,No,38.80148467,23.32628156,12.60139133,18.22284067,73.77248606,359.8517482,119.176344,238.2309796,32.84455352,210.7121606,2.093286667,-6.252120378,18.04965742,1.242406667,1325.573364,3.28098,1.608346667,1.439177375,4.627909673,813356.5,595.5,2.126963351
Leucopternis princeps,Lower_risk,Insessorial,L,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Terrestrial,Sedentary,No,39.59177433,24.34442213,12.97432489,19.19393911,78.805079,367.1324789,114.4144798,250.5348455,31.20861489,214.0025454,1.969435556,-14.01831849,-1.078427013,1.113784444,1295.033396,2.810713333,1.451024444,0.960184589,3.086486637,113390.6,999.99,2.126963351
Leucopternis schistaceus,Lower_risk,Insessorial,L,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Terrestrial,Sedentary,No,39.43199189,24.15319752,13.06422533,18.94849356,76.91240697,368.400824,117.3600027,248.8884272,31.90272111,218.576727,2.026006667,-20.27788218,6.384100333,1.167248889,1107.346294,3.17774,1.571977778,0.769160567,1.667706821,3642591.8,999.99,2.126963351
Leucopternis semiplumbeus,Lower_risk,Insessorial,L,PL,T,No,Accipitriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Accipitridae,Vertebrates,Forest,Sedentary,No,28.8,17.1,9.7,14.9,53.8,191,47.7,146.5,24.6,123.8,1,-0.54,14.87,1,500,1,1,0.823549026,2.939161922,236308.06,285,2.126963351
Leucosarcia melanoleuca,Lower_risk,Terrestrial,A,PL,T,No,Columbiformes,GroundForaging,NonCooperative,ExposedElevated,none,No,Columbidae,Herbivore,Forest,Sedentary,No,28.8,12.3,4.6,4.6,41.2,197,63.7,133.3,32.3,133,2,-39.14,-20.06,2,900,3,3,1.129917932,3.230804396,503204.11,428.6,2
Leucosticte arctoa,Lower_risk,Insessorial,NP,CP,R-G,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Fringillidae,Herbivore,Grassland,PartiallyMigratory,No,13.8,9.2,6.6,8,18.7,105.8,35.1,69.1,33.7,71.6,3,44.9,71.09,3,5500,5,3,0.588566191,0.741937345,2949415.16,30.7,5
Leucosticte atrata,Higher_risk,Terrestrial,N,CP,R,No,Passeriformes,GroundForaging,NonCooperative,Cavity,weak,No,Fringillidae,Seed,Grassland,Migratory,No,11.5,9.2,6.4,8.2,18.9,106.4,39.4,65.9,37.5,69.1,3,39.91,46.69,3,980,5,2,1.007417072,1.193922468,136791.41,25.2,6
Leucosticte australis,Higher_risk,Terrestrial,N,CP,R-B,No,Passeriformes,GroundForaging,NonCooperative,Cavity,weak,No,Fringillidae,Seed,Grassland,Migratory,No,13.6,9.4,6.3,7.9,19.5,103,35.4,67.8,34.3,71.4,3,35.73,40.98,3,980,5,2,0.951597874,0.993251773,15523.5,26.6,6
Leucosticte brandti,Lower_risk,Terrestrial,IP,CP-CR-BU,G-R,No,Passeriformes,GroundForaging,NonCooperative,Cavity,weak,No,Fringillidae,Seed,Rocky,PartiallyMigratory,No,14.4,9.8,6.5,7.9,21.4,116.8,43.8,72.2,37.8,77,3,27.06,52.75,2,4500,4,2,0.600462428,1.667706821,3550336.59,30.4,5
Leucosticte nemoricola,Lower_risk,Terrestrial,IP,HC-CR-BU,R-G-N,No,Passeriformes,GroundForaging,NonCooperative,Cavity,weak,No,Fringillidae,Seed,Grassland,PartiallyMigratory,No,13,9.1,5.8,6.8,17.8,92.1,26.3,66.1,28.4,63,3,26.85,52.69,2,3825,3,2,0.684866101,2.557227311,4065932.3,22.5,6
