Species1,extinction_risk,Primary.Lifestyle,RLM,Nest_Type,Nest_SBS,Flightlessness,Order,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,Family,Diet,Habitat_cat,Migration,IslandEndemic,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Min.Latitude,Max.Latitude,LAT,Elevational.Range,HB,DB,LogNightLights,LogHumanPopulationDensity,Range_size,Body_mass,Clutch_size
Certhiasomus stictolaemus,Lower_risk,Insessorial,L,CV,T,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,strong,No,Furnariidae,Invertebrate,Forest,Sedentary,No,19.3,13.4,4.8,4.4,19.8,81.5,14,68.3,17,82.2,1,-11.77,5.42,1,500,2,1,0.75035894,1.6062762,3212301.46,18.5,2.61648142
Certhiaxis cinnamomeus,Lower_risk,Insessorial,L,SP,S-Z,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,strong,No,Furnariidae,Invertebrate,Wetland,Sedentary,No,15.8,10.9,3,3.4,18.5,59.3,7.9,51.4,13.4,62.2,2,-35.43,12.63,2,500,4,1,1.159897584,3.417726684,8364757.31,15.2,5
Certhiaxis mustelinus,Lower_risk,Insessorial,L,SP,S-Z,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,strong,No,Furnariidae,Invertebrate,Riparian,Sedentary,No,16.4,10.7,3.1,3.3,19.3,56.3,7.2,48.8,12.9,53.8,2,-11.31,-0.6,1,150,4,1,0.819036259,2.533696814,693874.13,15,2.621323529
Certhidea fusca,Lower_risk,Insessorial,L,SP,T,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,Yes,Thraupidae,Invertebrate,Shrub,Sedentary,Yes,12.4,7.9,3,3.5,19.7,50.5,8,43.3,15.5,37,2,-1.41,1.65,1,800,2,1,0.708968898,1.590297731,1039.43,8,4
Certhidea olivacea,Higher_risk,Insessorial,L,SP,T,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,Yes,Thraupidae,Invertebrate,Grassland,Sedentary,Yes,11.9,7.9,3.6,3.8,20.6,51.8,8,43.3,15.5,34.3,2,-1.05,0.27,1,800,1,1,0.651355562,0,6997.83,9.5,4
Certhilauda chuana,Lower_risk,Terrestrial,F,CP,G,No,Passeriformes,GroundForaging,NonCooperative,ExposedGround,weak,No,Alaudidae,Invertebrate,Savanna,Sedentary,No,17.2,10.4,3.9,4.4,26.8,99.3,21.4,77.9,21.6,72.7,3,-29.45,-22.59,3,400,2,2,0.99749057,3.250374492,127491.6,44.1,3
Certhilauda curvirostris,Lower_risk,Terrestrial,F,CP-DM,G,No,Passeriformes,GroundForaging,NonCooperative,ExposedGround,weak,No,Alaudidae,Invertebrate,Shrub,Sedentary,No,24.6,15.4,3.9,4.7,25.9,102.5,23,79.5,22.3,75.3,2,-34.84,-26.28,2,500,3,1,1.307211058,4.363098625,63461.48,40.4,3
Certhilauda semitorquata,Lower_risk,Terrestrial,F,CP,G,No,Passeriformes,GroundForaging,NonCooperative,ExposedGround,weak,No,Alaudidae,Invertebrate,Grassland,Sedentary,No,22.1,13.7,4,4.9,27.2,103,21.2,81,20.7,74.8,3,-34.21,-24.97,3,1000,2,1,1.249819961,3.966511191,468995.29,40.4,3
Certhilauda subcoronata,Lower_risk,Terrestrial,F,CP,G,No,Passeriformes,GroundForaging,NonCooperative,ExposedGround,weak,No,Alaudidae,Invertebrate,Shrub,Sedentary,No,24.7,15.3,4.1,5,27.3,103.8,22.5,81,21.7,78.1,3,-33.83,-12,3,500,2,4,0.642114135,1.029619417,819069.7,40.4,3
Certhilaudi albescens,Lower_risk,Terrestrial,F,BU,G,No,Passeriformes,GroundForaging,NonCooperative,Cavity,strong,No,Alaudidae,Invertebrate,Terrestrial,Sedentary,No,23.19629222,14.48657878,4.901298381,5.716036952,27.37214965,102.4327418,23.15036222,78.52037956,21.88835233,79.58250384,2.354877778,-17.92083175,-5.569270311,1.224566667,1196.429705,2.713211111,1.682777778,0.901334478,2.778819272,283795.4,30.4,3
Certhionyx niger,Lower_risk,Insessorial,A,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Meliphagidae,Nectar,Terrestrial,Migratory,No,18.70348859,10.60474581,3.199776,3.454976,17.90573986,75.76181106,20.12012733,55.85657378,25.53293778,54.03069911,2.036246667,-25.17154942,-3.098507444,1.425564444,980.1382622,3.923493333,2.298657778,0.600462428,0.470003629,5440422.5,9.9,2
Certhionyx pectoralis,Lower_risk,Insessorial,A,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Meliphagidae,Nectar,Terrestrial,Sedentary,No,18.89864195,10.69391153,3.034205048,3.362505333,17.71758251,72.85190194,17.34556089,55.77656784,23.08354267,53.29954403,1.994171111,-21.00464362,-8.370952222,1.120204444,811.18284,4.453539048,2.165211111,0.769160567,0.405465108,1086028.3,10.1,2
Certhionyx variegatus,Lower_risk,Insessorial,A,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Meliphagidae,Nectar,Shrub,PartiallyMigratory,No,20.1,11,3.3,3.4,20.9,84.8,22.5,59.8,27.4,63.1,2,-38.49,-17.43,2,1000,3,4,0.575901449,0.405465108,5122091.98,26.3,3
Ceryle rudis,Lower_risk,Insessorial,E,BU,G,No,Coraciiformes,AerialSallying,Cooperative,Cavity,weak,No,Alcedinidae,Fish,Wetland,Sedentary,No,64.2,50.6,9.1,11.6,11,136.2,47.5,90,34.5,75.7,3,-34.84,38.95,2,2500,5,2,1.184722282,4.803201036,23875911.23,84.4,7
Cettia brunnifrons,Lower_risk,Generalist,P,SP,S,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Scotocercidae,Invertebrate,Shrub,PartiallyMigratory,No,11,5.2,2.1,2.4,18.2,45.4,4.8,40.7,10.7,43.2,2,22.35,34.92,3,4225,4,1,1.063659179,4.924350925,1343501.57,7.3,5
Cettia castaneocoronata,Lower_risk,Terrestrial,IP,SP,T,No,Passeriformes,GroundForaging,NonCooperative,Cavity,weak,No,Scotocercidae,Invertebrate,Forest,Sedentary,No,11,5.6,2.5,2.1,21.4,48,6.6,41.4,13.8,22.8,1,16.29,32.85,2,3755,2,1,1.110352557,4.613138356,1980546.83,8.9,2
Cettia cetti,Lower_risk,Generalist,IP,CP,S,No,Passeriformes,ForagingGeneralist,NonCooperative,ExposedElevated,weak,No,Scotocercidae,Invertebrate,Wetland,Sedentary,No,14.3,7.6,2.4,3,20.3,60.6,8.7,51.9,14.3,58.2,2,27.19,54.72,3,2450,6,1,1.388787296,4.166665224,5290133.33,13.2,5
Cettia major,Lower_risk,Generalist,IP,SP,S,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Scotocercidae,Invertebrate,Forest,Sedentary,No,13.4,6.4,2.8,2.8,23.8,62.3,7,55.3,11.3,47.8,1,23.9,36.86,3,3750,3,1,1.004962932,4.653007515,1701566.02,9.7,3.275
Cettia ruficafilla,Lower_risk,Insessorial,F,SP,T,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,strong,No,Scotocercidae,Invertebrate,Terrestrial,Sedentary,No,17.41571,10.37796222,4.197222296,4.254383778,18.58099992,75.97006124,16.587246,59.04798111,21.30390081,54.49619444,1.894791111,-4.133595044,2.859696422,1.007944444,1109.816311,2.692651852,1.541162222,1.021778181,4.207673248,16891.3,12.7,2
Ceuthmochares aereus,Lower_risk,Insessorial,F,DM,S-T,No,Cuculiformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Cuculidae,Omnivore,Forest,Sedentary,No,27.4,19.9,9.9,10.7,27.6,117.2,15.8,102.4,13.4,185.3,1,-11.09,13.49,1,2300,3,5,0.974003746,3.893859035,4005421.1,65.8,3
Ceuthmochares australis,Lower_risk,Insessorial,F,PL,S,No,Cuculiformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Cuculidae,Invertebrate,Forest,Sedentary,No,28,18.9,9.6,10.2,29.1,121.8,19,102.8,15.6,194.2,1,-34.05,8.07,2,1300,3,5,1.032507124,3.601826743,1160496.4,65.8,4
Ceyx argentatus,Lower_risk,Insessorial,I,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Riparian,Sedentary,Yes,35.3,29.5,6.2,7.5,9.7,59.2,12.7,46.5,21.5,22.8,1,5.56,10.47,1,1000,1,2,1.084980969,4.589283611,96693.82,17.8,3.28712887
Ceyx azureus,Lower_risk,Insessorial,AW,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Fish,Wetland,Sedentary,No,49,39.6,6.6,8.6,10.3,74,18.3,55.4,24.9,35.2,2,-43.64,2.65,2,1520,5,3,0.973517035,3.070548569,3398489.47,34.9,7
Ceyx cajeli,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Forest,Sedentary,Yes,37.3,29.2,7.4,8.6,10.6,62.4,13.7,49.5,21.7,26.4,1,-3.84,-3.05,1,1300,2,2,0.615835164,2.472958898,8554.31,21.3,2.953529359
Ceyx collectoris,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Forest,Sedentary,Yes,41.7,33.9,7.8,8.1,9.7,61.8,12.1,50.8,19.2,25.4,1,-8.83,-7.57,1,1100,1,2,0.615341624,2.356964312,4988.07,21.3,3.013885314
Ceyx cyanopectus,Lower_risk,Insessorial,I,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Riparian,Sedentary,Yes,39.4,30.3,6.2,7.6,9.9,58.3,14.5,44.2,24.7,25,1,11.73,18.65,1,1500,4,2,1.286794637,5.422230708,111263.19,21.5,3.93134777
Ceyx dispar,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,Yes,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,42.8,35.6,7.7,8.4,9.9,62.7,11.9,51.2,18.8,26.4,1,-2.25,-1.96,1,718,2,2,0.604969501,2.590939853,1878.51,21.3,2.927929457
Ceyx erithaca,Lower_risk,Insessorial,I,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Forest,Sedentary,No,36.1,29.5,7.1,7.8,8.3,58.2,8,50.6,13.7,24.8,1,-10.32,27.49,1,900,6,3,1.350862228,5.446737372,3196823.57,17.8,7
Ceyx fallax,Lower_risk,Insessorial,W,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,34.4,25.2,7.6,7.1,8.5,58,13,45,22.4,23.1,1,-5.71,1.76,1,600,2,2,0.8532356,4.427238977,157661.88,18,3.765625
Ceyx flumenicola,Lower_risk,Insessorial,I,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Riparian,Sedentary,Yes,36.9,29.9,6.3,7.3,8.8,57.6,13.9,43.1,24.5,22.8,1,9.59,12.59,1,750,3,2,1.154928939,4.759493583,23319.06,17.8,3.427418535
Ceyx gentianus,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,39.4,31.6,7.2,8,10.5,61.9,12.6,50.5,20,27.8,1,-10.83,-10.14,1,900,2,1,0.595548388,2.188937199,3331.79,21.3,2.887568144
Ceyx lecontei,Lower_risk,Insessorial,F,DM,T,No,Passeriformes,AerialSallying,NonCooperative,Cavity,strong,No,Alcedinidae,Invertebrate,Terrestrial,Sedentary,No,19.161164,11.97143378,5.633302667,5.059471222,16.92334489,82.266656,21.12694546,60.54162467,24.69502359,62.37235922,2.040166667,-11.47695663,5.958942029,1.041497778,1264.356796,3.312102222,1.303664444,0.774596669,3.131136911,2195918,9.5,3
Ceyx lepidus,Lower_risk,Insessorial,AIW,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,No,37.1,30.9,7.8,8.4,9.9,59.6,13,47.5,21.5,24,1,-4.78,2.65,1,1300,3,2,0.763606698,3.421000009,43842.15,21.3,2
Ceyx madagascariensis,Lower_risk,Insessorial,M,BU,G,No,Passeriformes,AerialSallying,NonCooperative,Cavity,strong,No,Alcedinidae,Vertebrates,Terrestrial,Sedentary,Yes,24.69045237,16.90203065,6.935317778,7.672964857,19.53421189,97.35613933,25.36479,71.87661044,24.66498156,79.71702441,2.148224444,-16.36398598,-8.866334333,1.130257778,986.34083,3.219253333,1.936233333,0.81444764,2.48490665,158669.6,17.7,4
Ceyx margarethae,Lower_risk,Insessorial,I,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Forest,Sedentary,Yes,35.6,29.4,6,7.7,13.8,62.9,16.6,47.2,26.1,22.9,1,5.01,12.97,1,1000,1,2,1.094730579,4.680706794,116128.28,21.3,3.143542682
Ceyx meeki,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,36.7,29.3,6.5,6.9,9.7,56.9,11.6,45.8,20.2,24.7,1,-8.58,-5.01,1,1070,1,2,0.61484293,2.406566806,17124.46,21.3,2.719142114
Ceyx melanurus,Lower_risk,Insessorial,I,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,34.2,28.1,7.8,7.9,10.1,57.4,12.3,45,21.5,19.6,1,10,18.65,1,750,2,1,1.213710009,5.60322522,127390.35,22.8,3.765625
Ceyx mindanensis,Lower_risk,Insessorial,I,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,39.6,31.7,7.7,8.5,9.2,57.2,9.5,47.8,16.5,20.5,1,5.56,9.83,1,750,2,1,1.074506683,4.579720993,95454.87,22.8,3.170560642
Ceyx mulcatus,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,40.6,33.2,7.2,7.8,9.8,63.6,12,51.7,18.8,25.6,1,-4.85,-2.36,1,1300,2,2,0.614896611,2.473955663,8783.42,21.3,2.800708637
Ceyx nigrirostris,Lower_risk,Insessorial,I,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Riparian,Sedentary,Yes,37.6,31.5,6.4,7.4,9.4,56,12.2,46.8,20.7,23.6,1,9.04,11.94,1,1000,2,2,1.109778625,4.607421279,28799.29,21.5,3.344832394
Ceyx nigromaxilla,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,37.4,29.1,6.7,7.5,8.6,57.3,9.7,47,17.1,24.6,1,-9.95,-8.32,1,1320,1,1,0.630220965,2.417395529,9792.65,21.3,2.811028765
Ceyx pictus,Lower_risk,Insessorial,F,BU,G,No,Passeriformes,AerialSallying,NonCooperative,Cavity,strong,No,Alcedinidae,Invertebrate,Terrestrial,Sedentary,No,22.79248967,15.20205886,5.926902667,5.817908349,17.12562096,93.23760867,26.62320778,65.97171289,26.55879511,73.30472433,2.246297778,-24.28241621,17.11426578,1.238246667,2019.995671,4.695444444,1.58872,0.99749057,3.735285827,13894544.8,12.72,4.5
Ceyx pusillus,Lower_risk,Insessorial,AW,BU-CV,C-G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Carnivore,Coastal,Sedentary,No,28.9,22.7,5.1,6.4,8,50.8,11.9,38.6,23.6,24.6,2,-24.86,2.23,1,750,5,2,0.869053959,2.801106565,910124.54,13.3,5
Ceyx rufidorsa,Lower_risk,Insessorial,I,BU-M,G-N-T,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,No,27.18715236,18.24003741,6.521404349,6.579749873,16.33612244,102.6067056,38.79481521,69.89206898,33.72886267,86.01352733,1.331935556,-5.19294294,13.62527011,1,1300,3,3,1.186729139,4.48827573,842028.1503,17.03,3
Ceyx sacerdotis,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,38.6,31.4,7.3,7.8,9.7,58.7,11.8,48,19.8,23.4,1,-6.31,-4.09,1,1300,1,2,0.620394184,2.412690572,36285.3,21.3,2.803216496
Ceyx sangirensis,Higher_risk,Insessorial,A,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,Yes,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,38.5,25.2,7.6,7.1,8.5,60,13,45,22.4,25.5,1,3.38,3.74,1,600,3,2,0.758612265,3.420577613,556.37,18,2.951448988
Ceyx solitarius,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,No,38.3,31.4,6.1,6,8.3,52.1,11.3,41.4,21.5,20.8,1,-10.7,-0.01,1,1200,1,2,0.674621372,2.249889915,687104.79,21.3,2
Ceyx wallacii,Lower_risk,Insessorial,A,BU,G-N,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,weak,No,Alcedinidae,Invertebrate,Forest,Sedentary,Yes,40,32.6,7.7,8.6,10,64,15.2,48.5,23.9,29.1,1,-2.49,-1.63,1,500,1,2,0.608680687,2.574091421,4678.51,21.3,2.940399656
Ceyx websteri,Higher_risk,Insessorial,A,BU,G,No,Coraciiformes,AerialSallying,NonCooperative,Cavity,strong,No,Alcedinidae,Carnivore,Riparian,Sedentary,Yes,52.6,39.3,8.6,11.8,12.1,89,21,68,23.6,40,2,-6.32,-2.36,1,250,3,2,0.633852553,2.608413051,13725.07,61,3.676338975
Chaetocercus astreans,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,15.7,13.1,1.2,1.3,4,33.7,22,11.6,65.4,16,2,10.36,11.18,1,1175,3,2,0.727427153,0.78845736,6505.06,2,2
Chaetocercus berlepschi,Higher_risk,Aerial,L,CP,T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,15.5,13.5,1.8,1.4,3.2,26.7,17.6,9.1,66,13.5,1,-2.05,1,1,750,2,2,1.322605598,4.329416684,4383.38,2,2
Chaetocercus bombus,Lower_risk,Aerial,L,CP,T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,15.5,11,1.5,1.1,3.4,28.2,16.8,12,58.4,20.8,2,-8.71,1.82,1,3000,1,1,1.213710009,4.084294226,174135.57,6.5,2
Chaetocercus heliodor,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,16.1,12.6,1.3,1.1,3.8,30.3,18.8,11.6,61.7,18,2,-2.33,9.33,1,1800,3,2,1.363857589,4.976043849,113213.81,2,2
Chaetocercus jourdanii,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Shrub,Sedentary,No,14.9,11.6,1.3,1.2,4,35.2,23.5,11.9,66.4,21,2,6.9,11.28,1,1600,3,2,1.771123211,5.299816243,46450.27,3.3,2
Chaetocercus mulsant,Lower_risk,Aerial,L,CP,T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,21,17.1,1.4,1.5,4.4,39.2,26,13.5,65.9,21.4,2,-17.8,7.13,1,600,2,2,1.174054886,4.050044303,263636.46,3.9,2
Chaetops aurantius,Lower_risk,Terrestrial,F,CP,S-Z,No,Passeriformes,GroundForaging,NonCooperative,ExposedGround,strong,No,Chaetopidae,Invertebrate,Shrub,Sedentary,No,21.2,11,3.8,4.4,36.3,88,10.6,77,12.1,90,3,-32.79,-28.32,3,1200,3,1,0.809780126,3.086486637,103523.76,54.1,3
Chaetops frenatus,Lower_risk,Terrestrial,F,CP,G-R-Z,No,Passeriformes,GroundForaging,Cooperative,ExposedGround,strong,No,Chaetopidae,Invertebrate,Rocky,Sedentary,No,24.2,13,3.7,4.9,34.4,87.3,10.3,77,11.8,91.7,3,-34.84,-31.79,3,2200,3,2,1.161496344,3.465735903,66553.02,55,2
Chaetoptila angustipluma,Higher_risk,Insessorial,O,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Mohoidae,Nectar,Forest,Sedentary,Yes,30.29110578,17.48380854,7.530574364,9.31277,34.30534378,140.5499678,26.42546837,114.6776762,18.943892,138.6649456,1.051744444,-11.5655512,-8.6139164,1,1500,1,3,0.783332972,3.250188987,49020.08977,97,2.366995341
Chaetorhynchus papuensis,Lower_risk,Insessorial,A,HC,T,No,Passeriformes,AerialSallying,NonCooperative,ExposedElevated,strong,No,Lamproliidae,Invertebrate,Forest,Sedentary,No,21.8,10.7,6.4,7.9,20,109,24.2,85.1,22.2,94.5,1,-10.7,-0.69,1,800,1,1,0.622332977,2.104134154,305618.38,37.2,2.147058824
Chaetornis striata,Higher_risk,Generalist,I,SP,Z,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Locustellidae,Invertivore,Grassland,PartiallyMigratory,No,15.2,7.8,3.7,5.1,27.3,83,16.1,66.1,19.4,84.6,3,18.92,33.58,2.023108889,1333.350336,3.177702222,1.9735,1.493100694,6.627115021,653941.16,31.5,4
Chaetura andrei,Higher_risk,Aerial,L,CV-HC,B-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,Cavity,none,No,Apodidae,Invertebrate,Woodland,Migratory,No,5.3,2.8,2.4,2.2,10.1,111.3,77.1,34.4,69.2,38.8,1,-8.424902311,17.40975929,1,1800,1,1,1.119954921,3.680371252,2391985.151,17.1,3.453532948
Chaetura brachyura,Lower_risk,Aerial,L,CV-HC,B,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,No,Apodidae,Invertebrate,Forest,Sedentary,No,8.1,3.4,2.6,2.1,11.4,118.5,80.7,38.8,67.5,29.4,1,-19.02,13.38,1,1900,5,1,0.894427191,2.282382386,7468188.25,18.3,7
Chaetura chapmani,Lower_risk,Aerial,L,HC,T,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,No,Apodidae,Invertebrate,Forest,PartiallyMigratory,No,8.7,3.5,3.3,2.5,11.5,122.9,79.8,43.1,65.1,41.2,1,-14.52,11.59,1,1600,4,1,0.845069727,2.397895273,4701276.36,23.8,3
Chaetura cinereiventris,Lower_risk,Aerial,L,HC-CV,B-R,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,No,Apodidae,Invertebrate,Forest,Sedentary,No,8.1,2.9,3,2.2,10.8,104.4,70.1,34.4,67,41.4,1,-30.16,15.93,2,1800,1,1,1.037801986,3.063390922,6102705.51,13.9,4
Chaetura egregia,Lower_risk,Aerial,L,CV,T,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,No,Apodidae,Invertebrate,Forest,Sedentary,No,8.9,3.7,4.1,2.6,13,116.8,74,42.7,63.2,43,1,-18.06,-0.15,1,900,1,1,0.836660027,1.30833282,1756675.46,23.4,2.9
Chaetura fumosa,Lower_risk,Aerial,L,HC,T,No,Caprimulgiformes,AerialScreaning,NonCooperative,Cavity,none,No,Apodidae,Invertebrate,Forest,Sedentary,No,5.1,2.5,1.6,1.9,9.6,106.2,72,34.2,67.8,35.2,1,8.03,9.51,1,1393.284506,3,1,1.267374388,3.906004933,13071.58,15.7,2.350877193
Chaetura martinica,Lower_risk,Aerial,L,HC,T,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,Yes,Apodidae,Invertebrate,Forest,Sedentary,Yes,5.3,2.1,1.8,1.6,9.2,108.2,75,33.2,69.3,35.2,1,13.12,16.52,1,1000,2,1,2.088621273,5.483966713,4342.26,12.5,3
Chaetura meridionalis,Lower_risk,Aerial,L,CV-HC,B-R-T,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,No,Apodidae,Invertebrate,Forest,Migratory,No,8.9,2.9,2.7,2.2,12.7,131.7,83.7,47.9,63.8,38.7,1,-32.34,-6.34,2,900,3,1,1.172507019,3.363841595,4926891.32,22.2,5
Chaetura pelagica,Higher_risk,Aerial,LN,HC-O,B,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,No,Apodidae,Invertebrate,Artificial,Migratory,No,6.3,3.5,2.9,2.4,11.6,124.4,86.8,36.6,70.3,43.8,1,25.48,53.93,2,3200,5,1,1.574775969,3.730501129,5841319.17,23.6,7
Chaetura spinicaudus,Lower_risk,Aerial,L,CV,T,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,No,Apodidae,Invertebrate,Forest,Sedentary,No,7.9,3.5,3.1,2.1,10.3,103.7,67.1,36.3,64.9,40.7,1,-10.45,11.36,1,1500,2,1,0.840896415,2.379546134,3138608.09,15.7,2.350877193
Chaetura vauxi,Lower_risk,Aerial,LN,CV-HC,B-T,No,Caprimulgiformes,AerialScreaning,Cooperative,Cavity,none,No,Apodidae,Invertebrate,Forest,Migratory,No,5.3,2.8,2.4,2.2,10.1,111.3,77.1,34.4,69.2,38.8,1,7.21,56.36,2,2000,1,1,1.203801344,3.56671182,2280008.55,17.1,7
Chaetura viridipennis,Lower_risk,Insessorial,A,CP,T,No,Passeriformes,AerialScreaning,NonCooperative,Cavity,none,No,Apodidae,Invertebrate,Terrestrial,Migratory,No,24.39863756,15.45170733,6.485758444,6.903780667,18.95154184,118.5793631,46.70324222,75.69742022,37.5456573,90.43901778,2.129584444,-17.83261293,0.921591,1.256917778,888.4851862,3.215462222,1.54248,0.740082804,1.193922468,1987731.2,23.83,2.350877193
Chaimarrornis leucocephalus,Lower_risk,Terrestrial,I,SP,T,No,Passeriformes,GroundForaging,NonCooperative,Cavity,weak,No,Muscicapidae,AquaticAnimals,Terrestrial,Sedentary,No,24.518446,15.2239024,5.481505556,6.489521333,28.43498365,108.2531453,25.59189756,81.73890067,23.56253378,84.02771089,2.164642222,-4.123274533,24.09460838,1.287653333,1630.92186,4.021837778,2.426951111,1.133368103,4.93375425,4080604.1,30.04,4
Chalcites basalis,Lower_risk,Generalist,AIW,NO,S-T,No,Cuculiformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Cuculidae,Invertebrate,Woodland,Sedentary,No,15.9,9.4,4.1,4.2,18,99.6,40.5,59,40.6,68.4,2,-43.64,-9.75,2,1238.914829,3,1,0.850837578,2.167757385,7686831.12,23.1,3.041142491
