decimalLatitude,decimalLongitude,Order,adult_mass_g,max_longevity_d,age_first_reproduction_d,litter_size_n,litters_per_year_n,dispersal_km,density_n_km2,home_range_km2,dphy_invertebrate,dphy_plant,det_vend,det_vect,det_scav,det_diet_breadth_n,altitude_breadth_m,EQ,habitat_Forest,habitat_Savanna,habitat_Shrubland,habitat_Grassland,habitat_Wetlands,habitat_Desert,habitat_Artificial_Terrestrial,n_habitats,human_footprint,roadkill_category
45.367584,-68.972168,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,16.5536117553711,Low
45.367584,-68.972168,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,16.5536117553711,Low
-20.187971,-54.806624,Primates,5462.5,11826.0,1354.15,1.0,1.0,2.697,94.009,1.2060153,0.0,100.0,0.0,0.0,0.0,2.0,1911.3415,1.39338721906114,1,1,0,0,0,0,0,2,11.9530124664307,Medium
-25.54553,-48.78396,Primates,5462.5,11826.0,1354.15,1.0,1.0,2.697,94.009,1.2060153,0.0,100.0,0.0,0.0,0.0,2.0,1911.3415,1.39338721906114,1,1,0,0,0,0,0,2,24.6932792663574,Low
-20.490151,-54.80721,Primates,5462.5,11826.0,1354.15,1.0,1.0,2.697,94.009,1.2060153,0.0,100.0,0.0,0.0,0.0,2.0,1911.3415,1.39338721906114,1,1,0,0,0,0,0,2,34.6968307495117,Low
-14.157535,-47.59415,Primates,5462.5,11826.0,1354.15,1.0,1.0,2.697,94.009,1.2060153,0.0,100.0,0.0,0.0,0.0,2.0,1911.3415,1.39338721906114,1,1,0,0,0,0,0,2,12.5490980148315,Low
-11.904988,-48.737133,Primates,5462.5,11826.0,1354.15,1.0,1.0,2.697,94.009,1.2060153,0.0,100.0,0.0,0.0,0.0,2.0,1911.3415,1.39338721906114,1,1,0,0,0,0,0,2,19.4081745147705,Low
-30.347781,-53.998679,Primates,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0.0,100.0,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,1,0,0,0,0,0,0,1,14.2240552902222,Medium
-27.35,-50.9,Primates,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0.0,100.0,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,1,0,0,0,0,0,0,1,9.98854160308838,Medium
-21.470753,-47.908255,Primates,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0.0,100.0,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,1,0,0,0,0,0,0,1,12.5507373809814,Low
-30.117957,-53.619222,Primates,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0.0,100.0,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,1,0,0,0,0,0,0,1,19.8435955047607,Medium
-24.866723,-50.445759,Primates,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0.0,100.0,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,1,0,0,0,0,0,0,1,17.5704498291016,Low
-26.07434,-49.744804,Primates,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0.0,100.0,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,1,0,0,0,0,0,0,1,26.9103565216064,Low
-22.307184,-43.130266,Primates,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0.0,100.0,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,1,0,0,0,0,0,0,1,31.5623340606689,Low
