Species1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Primary.Lifestyle,Min.Latitude,Max.Latitude,RR,ISL,RLM,LAT,Elevational.Range,HB,DB,Nest_Type,Nest_SBS,Flightlessness,Family,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,LogNightLights,LogHumanPopulationDensity,IUCN_status,Range_size,Body_mass,Order1,Clutch_size,Diet,Habitat_cat,Migration,extinction_risk
Arenaria interpres,25.4,15.7,3.9,5.5,25.5,148.8,83.4,66.4,55.6,61,3,Terrestrial,55.99,83.11,0,0,CZ,5,4500,4,3,SC,G,No,Scolopacidae,GroundForaging,NonCooperative,ExposedGround,none,No,0.890912674351071,1.02961941718116,NT,2619753.6,136,Charadriiformes,5,Invertebrate,Coastal,Migratory,Lower_risk
Arenaria melanocephala,25.4,15.2,3.8,5,25.8,142,72.5,69.5,51.1,61.2,3,Terrestrial,54.51,68.88,0,0,N,4,600,4,4,SC,"G,Z",No,Scolopacidae,GroundForaging,NonCooperative,ExposedGround,none,No,0.632455532033676,0.262364264467491,LC,83412.69,126.2,Charadriiformes,4,Invertebrate,Coastal,Migratory,Lower_risk
Argusianus argus,40.8,17.3,8.3,11.1,90.9,384.2,29,355.2,8,715.8,1,Terrestrial,-5.95,10.66,0,0,I,1,1300,1,2,SC,G,No,Phasianidae,GroundForaging,NonCooperative,ExposedGround,none,No,1.08775730593728,4.06560209335645,VU,1354529.31,1959.9,Galliformes,2,Fruit,Forest,Sedentary,Higher_risk
Arizelocichla milanjensis,21,10.7,3.9,4.8,22.8,94.7,15.1,80.3,15.8,88.1,2,Insessorial,-20.82,-15.77,0,0,F,1,800,4,2,CP,T,No,Pycnonotidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,1.10852179624239,3.65325227647079,NT,42374.09,37.4,Passeriformes,2,Fruit,Forest,Sedentary,Lower_risk
Arizelocichla nigriceps,18,8.8,4.1,4.6,22.5,89.2,12.5,76.8,13.9,84.5,1,Insessorial,-5.17,1.66,0,0,F,1,1950,4,3,CP,S,No,Pycnonotidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.795270728767051,3.96081316959758,LC,248447.89,34.5,Passeriformes,3,Fruit,Forest,Sedentary,Lower_risk
Arizelocichla tephrolaema,17.2,9.2,3.8,4.2,19.8,82.4,12.6,69.9,15.3,73.2,1,Insessorial,3.21,7.75,0,0,F,1,1850,2,2,CP,"S,T",No,Pycnonotidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,1.21371000913135,4.39814601655377,LC,59489.94,38.3,Passeriformes,2,Fruit,Forest,Sedentary,Lower_risk
Arremon aurantiirostris,16,10.9,6.6,8.5,25.5,72.7,8.3,65.1,11.3,66.4,1,Insessorial,-9.41,18.08,0,0,L,1,1200,2,3,DM,G,No,Passerellidae,ArborealGleaning,NonCooperative,Cavity,strong,No,0.989846400767953,3.2188758248682,LC,693974.17,34.5,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Arremon brunneinucha,19.5,11.8,6.1,7.4,28.8,80.8,7.5,74.9,9.1,84.7,1,Generalist,-14.47,21.63,0,0,L,1,3100,3,2,CP,"S,T",No,Passerellidae,GroundForaging,NonCooperative,ExposedElevated,strong,No,1.23149303238399,4.47278099794235,LC,618730.16,44,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Arremon castaneiceps,21.1,11.3,6.8,8,28,78.4,7.4,71,9.4,63,1,Generalist,-13.63,7.1,0,0,L,1,1500,2,2,DM,"R,S",No,Passerellidae,ArborealGleaning,NonCooperative,Cavity,strong,No,0.90808651852317,2.91777073208428,NT,122751.42,36.9,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Arremon crassirostris,15.2,9.4,5.9,8,24.7,64.6,7.4,54.5,12,56.2,1,Generalist,7.91,10.43,0,0,L,1,1740,2,2,DM,S,No,Passerellidae,ArborealGleaning,NonCooperative,Cavity,weak,No,1.09922909230035,3.13549421592915,LC,9497.11,38.7,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Arremon flavirostris,15.2,9.9,5.7,7.4,25.1,70.8,4.9,65.9,6.9,64.8,1,Insessorial,-28.46,-12.91,0,0,L,2,1317,3,3,CP,G,No,Passerellidae,ArborealGleaning,NonCooperative,ExposedGround,strong,No,1.1906908447938,3.25809653802148,LC,1940265.88,26.1,Passeriformes,2,Invertebrate,Woodland,Sedentary,Lower_risk
Arremon schlegeli,16.9,10.7,5.2,8.2,24.2,71.5,6.5,65.9,9,61.4,2,Insessorial,6.57,12.46,0,0,L,1,1200,3,3,"DM,CR",R,No,Passerellidae,ArborealGleaning,NonCooperative,Cavity,strong,No,1.37649174794099,4.59309760475382,LC,187790.91,27.7,Passeriformes,3.48591549295775,Omnivore,Forest,Sedentary,Lower_risk
Arremon semitorquatus,15.2,9.4,5.7,7.7,25.2,70,4.2,65.8,6.1,70.5,1,Insessorial,-26.45,-18.96,0,0,L,1,700,3,3,SP,"G,S",No,Passerellidae,ArborealGleaning,NonCooperative,Cavity,strong,No,1.77515921858231,5.6910349018337,LC,215137.21,25,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Arremon taciturnus,14.6,10,5.5,7.3,23.8,72,7.9,64.5,10.9,61.3,1,Insessorial,-20.18,8.74,0,0,L,2,1500,2,3,DM,"S,T,G",No,Passerellidae,ArborealGleaning,NonCooperative,Cavity,strong,No,0.942772210945761,2.46809953147162,LC,6755484.62,24.8,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Arremon torquatus,18.9,10.7,6.1,7.2,32.2,80.5,7.8,72.8,9.8,85.7,1,Generalist,-25.21,-14.03,0,0,L,1,3000,2,3,CP,S,No,Passerellidae,GroundForaging,NonCooperative,ExposedElevated,weak,No,1.21926489112574,4.11251186617755,LC,113027.41,42,Passeriformes,2,Omnivore,Forest,Sedentary,Lower_risk
Arremon virenticeps,17.8,11.3,5.2,7.4,27.4,83.3,9.1,74.1,11,93.9,1,Generalist,18.4,25.03,0,0,L,1,1700,1,3,CP,S,No,Passerellidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,1.41066469233948,4.17592454921452,LC,79786.33,41,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Arremonops chloronotus,15.9,10.1,5.6,7.9,23.8,66,4.5,61.5,6.8,57.1,1,Generalist,14.84,21.52,0,0,L,1,750,2,3,DM,G,No,Passerellidae,ArborealGleaning,NonCooperative,Cavity,strong,No,1.04444780217279,3.38777436133001,LC,234300.88,27.4,Passeriformes,3,Omnivore,Forest,Sedentary,Lower_risk
Arremonops conirostris,18,11.7,6.2,8.5,28.1,73.7,6.3,70.1,8.2,67.6,2,Terrestrial,-4.15,15.59,0,0,L,1,1600,3,4,DM,S,No,Passerellidae,GroundForaging,NonCooperative,Cavity,strong,No,1.19364177410038,3.67882911826043,LC,1132799.46,35.9,Passeriformes,3,Omnivore,Shrub,Sedentary,Lower_risk
Arremonops rufivirgatus,15.3,9.5,5,6.9,23.9,65.3,5.6,59.7,8.6,62.1,2,Generalist,9.55,30.07,0,0,LN,2,1830,3,2,DM,"Z,S",No,Passerellidae,GroundForaging,NonCooperative,Cavity,strong,No,1.30609042984136,4.06731588983418,LC,553968.49,22.4,Passeriformes,5,Omnivore,Woodland,Sedentary,Lower_risk
Arremonops tocuyensis,15.1,9.7,4.1,6.4,21.4,63.8,4.4,59.4,6.8,50.5,2,Generalist,9.72,12.46,0,0,L,1,200,3,3,DM,"G,S",No,Passerellidae,ArborealGleaning,NonCooperative,Cavity,strong,No,1.36484196924762,4.35926964755127,LC,72802.63,29.4,Passeriformes,3,Omnivore,Forest,Sedentary,Lower_risk
Arses insularis,16.8,8.6,5.3,4.1,17.6,78.6,11.6,67,14.7,67.9,1,Insessorial,-6.03,-1.52,0,1,A,1,1500,1,1,CP,T,No,Monarchidae,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,0.600462428088885,2.19722457733622,LC,171996,19.3,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Arses kaupi,14.5,7,4.4,3.6,19,79.3,15.1,64.5,19,76.4,1,Insessorial,-19.62,-15.49,1,0,A,1,900,1,1,CP,T,No,Monarchidae,BarkGleaning,NonCooperative,ExposedElevated,weak,No,1.0799029488658,2.46809953147162,LC,27770.73,13.5,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Arses telescopthalmus,16.6,7.8,5.2,4.1,18.1,81,13.4,69.1,16.2,70,1,Insessorial,-10.73,0.04,0,0,A,1,1500,2,1,CP,T,No,Monarchidae,AerialSallying,NonCooperative,ExposedElevated,strong,No,0.642114135151817,2.04122032885964,LC,399368.94,15.3,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Artamella viridis,25.5,14.8,6.2,8.6,26.2,117.8,21.8,95.9,18.5,69.5,1,Insessorial,-25.61,-11.95,0,1,M,2,1500,3,4,CP,T,No,Vangidae,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,0.836660026534076,3.07269331469012,LC,415338.92,48.8,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Artamus cinereus,21,13.4,6,7,22.3,119.9,45.7,75.5,37.7,67.7,2,Aerial,-37.08,-7.05,0,0,AW,2,1000,6,1,HC,"P,S,T",No,Artamidae,AerialScreaning,Cooperative,ExposedElevated,weak,No,0.668740304976422,0.78845736036427,LC,7423572.8,35.6,Passeriformes,5,Invertebrate,Savanna,Sedentary,Lower_risk
Artamus cyanopterus,19.1,10.7,5.9,6.9,19.3,123.2,55.3,67.4,45,69.2,2,Aerial,-43.64,-16.74,0,0,A,2,500,2,4,HC,"P,S,T",No,Artamidae,AerialScreaning,Cooperative,ExposedElevated,weak,No,0.814447639858499,1.80828877117927,LC,3897118.38,34.6,Passeriformes,4,Invertebrate,Woodland,Sedentary,Lower_risk
Artamus fuscus,20.9,13.4,7.4,7.9,17.4,131.9,63.9,68.2,48.4,54.9,2,Aerial,5.92,31.35,0,0,I,2,2100,4,1,HC,T,No,Artamidae,AerialScreaning,Cooperative,ExposedElevated,weak,No,1.35790606871704,5.59508305773286,LC,4701116.55,39.8,Passeriformes,4,Invertebrate,Savanna,Sedentary,Lower_risk
Artamus leucoryn,22.1,14.7,8.3,8.3,18.4,131.4,59,73,44.8,59,2,Aerial,-38.18,18.65,0,0,AIW,2,500,6,1,CP,"P,T",No,Artamidae,AerialScreaning,Cooperative,ExposedElevated,weak,No,0.872683969479439,3.64805745959368,LC,7650935.5,41.7,Passeriformes,5,Invertebrate,Savanna,Sedentary,Lower_risk
Artamus maximus,26.2,16.6,9.4,9.8,19.5,158.6,75.5,83.2,47.5,66,2,Aerial,-10.38,-0.41,0,1,A,1,2000,2,1,CP,"C,T",No,Artamidae,AerialScreaning,Cooperative,ExposedElevated,weak,No,0.651355562432631,2.4932054526027,LC,248677.85,58.2,Passeriformes,2.88235294117647,Invertebrate,Forest,Sedentary,Lower_risk
Artamus mentalis,24.6,15.4,8.8,8.7,18.1,127.4,55.4,71.6,43.5,66.9,3,Aerial,-19.18,-15.72,0,1,O,1,1000,2,1,CP,"G,T",No,Artamidae,AerialScreaning,Cooperative,ExposedElevated,weak,No,1.01942654690827,4.25844557290253,LC,17260.34,41.9,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Artamus minor,14.5,8.2,5.7,4.9,14.4,102.7,46.4,56.3,45.1,56.1,2,Aerial,-35.04,-10.69,0,0,A,2,1000,4,1,HC,"G,R,T",No,Artamidae,AerialScreaning,Cooperative,Cavity,weak,No,0.668740304976422,0.587786664902119,LC,6485166.89,16,Passeriformes,4,Invertebrate,Woodland,Sedentary,Lower_risk
Artamus personatus,22.6,13.8,5.6,6.4,19.7,120.9,52.6,68.5,43.4,71.6,2,Aerial,-40.16,-11.12,0,0,A,2,1000,2,2,CP,"C,S,T",No,Artamidae,AerialScreaning,NonCooperative,ExposedElevated,weak,No,0.746174534732325,1.33500106673234,LC,7500863.72,34.6,Passeriformes,3,Invertebrate,Woodland,Sedentary,Lower_risk
Artamus superciliosus,22.9,12.8,5.8,6.3,20.5,119.5,52.4,67.2,43.8,74.1,2,Aerial,-42.56,-11.63,0,0,A,2,1000,1,2,HC,"C,P,T",No,Artamidae,AerialScreaning,NonCooperative,ExposedElevated,weak,No,0.733836821584642,1.28093384546206,LC,7162672.29,35.5,Passeriformes,3,Invertebrate,Woodland,Migratory,Lower_risk
Artemisiospiza belli,11,7.4,4,5.4,20.3,65,10.9,53.8,16.8,68,2,Terrestrial,26.71,40.87,0,0,N,3,2500,3,2,CP,"S,G,Z",No,Passerellidae,GroundForaging,NonCooperative,ExposedElevated,weak,No,1.15668008369902,2.82731362192903,LC,171955.76,17,Passeriformes,6,Seed,Shrub,Migratory,Lower_risk
Arundinicola leucocephala,17,11.5,5.8,5,16.9,60.1,8.1,52.1,13.3,46.9,3,Insessorial,-31.39,12.46,0,0,L,2,500,2,1,SP,"S,Z",No,Tyrannidae,AerialSallying,NonCooperative,Cavity,weak,No,1.10668191970032,3.21486780347066,LC,9087776.96,13.8,Passeriformes,4,Invertebrate,Wetland,Sedentary,Lower_risk
Asarcornis scutulata,65.1,43.5,22.9,18.5,53.9,341.6,124.8,214.8,36.6,119.6,3,Aquatic,-5.95,28.39,0,0,I,1,1400,3,4,"CV,O","G,T",No,Anatidae,AquaticSurface,NonCooperative,Cavity,none,No,1.09162151352073,4.62497281328427,CR,999723.98,2937.4,Anseriformes,15,Herbivore,Wetland,Sedentary,Higher_risk
Asio capensis,28.1,14.7,9.7,13.4,50.9,283.2,114.1,169.4,40.2,140.8,3,Generalist,-34.84,35.93,0,0,FM,1,1500,3,2,SC,G,No,Strigidae,ForagingGeneralist,NonCooperative,ExposedGround,weak,No,1.03780198565377,3.70376806660769,LC,7302556.68,334,Strigiformes,3,Vertebrates,Grassland,Sedentary,Lower_risk
Asio flammeus,27.3,13.7,9,13,42.5,297.2,141,156.2,47.5,146.5,3,Aerial,-55.05,74.25,0,0,C,5,4000,6,1,SC,G,No,Strigidae,AerialScreaning,NonCooperative,ExposedGround,weak,No,1.04003143348612,2.54944517092557,LC,39874062.36,322.6,Strigiformes,10,Vertebrates,Grassland,Migratory,Lower_risk
Asio otus,28.3,14.9,8.8,12.5,40.1,280.7,115.5,165.2,41.2,137,2,Aerial,27.64,70.53,0,0,NP,3,2750,6,1,"CV,O","G,T",No,Strigidae,AerialScreaning,NonCooperative,ExposedElevated,weak,No,1.25617410568995,3.62700405039585,LC,27618929.92,296.6,Strigiformes,7,Vertebrates,Grassland,PartiallyMigratory,Lower_risk
Asio stygius,41.8,20.3,9.9,17.1,42.5,326.8,132.9,186.1,41.6,173.7,1,Insessorial,-30.54,28.77,0,0,LN,2,3000,4,2,"O,HC","T,G",No,Strigidae,AerialSallying,NonCooperative,ExposedElevated,strong,No,1.1801859293003,3.58073729549423,LC,5017278.49,565,Strigiformes,3,Vertebrates,Forest,Sedentary,Lower_risk
Aspatha gularis,30.7,20,8.7,8.8,23.4,100.4,17.3,82.7,17.3,138.8,2,Insessorial,13.8,17.45,0,0,L,1,1700,2,2,BU,G,No,Momotidae,AerialSallying,NonCooperative,Cavity,strong,No,1.30157882381734,4.87596039076965,LC,99079.03,62.7,Coraciiformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Asthenes anthoides,15.8,9.3,2.8,3.4,21.3,67.2,10.7,56,16,68.6,3,Terrestrial,-55.32,-39.59,0,0,L,3,500,3,1,SP,"S,G",No,Furnariidae,GroundForaging,NonCooperative,Cavity,weak,No,0.832358290057563,2.10413415427021,LC,192482.47,22.3,Passeriformes,2,Invertebrate,Grassland,Sedentary,Lower_risk
Asthenes baeri,12.5,7.8,2.7,3.8,19.1,58.5,7.2,51.2,12.3,66.6,3,Insessorial,-41.17,-19.09,0,0,L,2,1300,2,1,SP,"S,T",No,Furnariidae,ArborealGleaning,NonCooperative,Cavity,strong,No,1.09353832777372,3.03495298670727,LC,1726715.05,17.8,Passeriformes,5,Invertebrate,Shrub,Sedentary,Lower_risk
Asthenes dorbignyi,14.2,8.9,2.8,3.7,22.7,64.1,8,55.9,12.5,73.3,2,Terrestrial,-33.5,-15.74,0,0,L,2,1800,2,2,SP,"K,S,T",No,Furnariidae,GroundForaging,NonCooperative,Cavity,strong,No,0.800195241015144,2.55722731136763,LC,252131.25,15.9,Passeriformes,2.62132352941177,Invertebrate,Shrub,Sedentary,Lower_risk
Asthenes huancavelicae,14.2,9.4,3.1,3.8,22.5,66.6,7.3,58.2,11.5,70.8,2,Terrestrial,-13.63,-8.59,0,0,L,1,1870,3,2,SP,"K,S,T",No,Furnariidae,GroundForaging,NonCooperative,Cavity,strong,No,0.814447639858499,3.13983261752775,LC,18080.9,22.2,Passeriformes,2,Invertebrate,Shrub,Sedentary,Lower_risk
Asthenes hudsoni,18.3,11.5,3.2,4.3,24.1,74.2,11.4,61,15.8,74,3,Generalist,-41.84,-30.24,0,0,L,3,950,2,1,SP,G,No,Furnariidae,GroundForaging,NonCooperative,Cavity,weak,No,1.25994078695737,3.94739014926544,NT,803230.15,19,Passeriformes,5,Invertebrate,Grassland,Sedentary,Lower_risk
