Species1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Primary.Lifestyle,Min.Latitude,Max.Latitude,RR,ISL,RLM,LAT,Elevational.Range,HB,DB,Nest_Type,Nest_SBS,Flightlessness,Family,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,LogNightLights,LogHumanPopulationDensity,IUCN_status,Range_size,Body_mass,Order1,Clutch_size,Diet,Habitat_cat,Migration,extinction_risk
Aquila rapax,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2,Generalist,-34.31,36.93,0,0,E,2,3000,3,2,PL,"P,T",No,Accipitridae,ForagingGeneralist,NonCooperative,ExposedElevated,none,No,1.03329948475896,4.36054760299676,VU,17572054.36,2236.1,Accipitriformes,3,Vertebrates,Woodland,Migratory,Higher_risk
Ara ambiguus,75,71.3,32.3,74,37,400,157.6,243.9,39.2,445.2,1,Insessorial,-2.23,15.83,0,0,L,1,1000,1,2,CV,T,No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,0.805030477585033,2.61739583283408,CR,108291.56,1300,Psittaciformes,3,Seed,Forest,Sedentary,Higher_risk
Ara ararauna,66,61.9,30.2,55.1,31.9,381.3,115.4,264.6,30.1,492.5,1,Insessorial,-23.47,11.32,0,0,L,1,500,4,4,CV,T,No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,0.876421459565465,1.93152141160321,LC,7780066.73,1125,Psittaciformes,3,Herbivore,Forest,Sedentary,Lower_risk
Ara chloropterus,76.7,74.6,35.2,75.1,34.3,402.1,167.4,235.9,41.5,486.4,1,Insessorial,-24.41,11.52,0,0,L,2,1500,4,3,CV,"R,T",No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,0.865061545414422,1.97408102602201,LC,8101232.43,1214,Psittaciformes,3,Seed,Forest,Sedentary,Lower_risk
Ara glaucogularis,59.6,51.7,24.6,51.1,30.1,343.4,114.7,231.1,33.1,477,2,Insessorial,-15.6,-13.44,0,0,L,1,100,2,2,CV,T,No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,0.987258544901434,1.28093384546206,CR,27792.35,784,Psittaciformes,3,Fruit,Forest,Sedentary,Higher_risk
Ara macao,67.2,64.1,31.8,63.5,31.6,393.7,127.5,263.7,32.7,554.5,2,Insessorial,-18.13,17.43,0,0,L,1,500,4,4,CV,T,No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,0.832358290057563,1.84054963339749,LC,6755480.57,1015,Psittaciformes,4,Seed,Forest,Sedentary,Lower_risk
Ara militaris,56.6,49.3,27.2,57.2,28.8,366.7,151.2,216.8,41.1,366.1,2,Insessorial,-23.73,29.54,0,0,L,2,2000,1,3,CV,"R,T",No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,0.979370361335559,2.9704144655697,VU,281783.13,1134,Psittaciformes,3,Herbivore,Forest,Sedentary,Higher_risk
Ara rubrogenys,50.5,46.5,24.7,50.1,27.1,299.6,112.8,186.9,37.9,321.4,2,Insessorial,-19.57,-17.79,1,0,L,1,1600,3,2,CV,R,No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,0.774596669241483,2.21920348405499,CR,7426.04,468,Psittaciformes,3,Seed,Forest,Sedentary,Higher_risk
Arachnothera affinis,40.5,31.1,5.7,5.2,19,87.3,16.7,71.3,19,54.2,1,Insessorial,-8.85,7.04,0,0,I,1,800,3,2,CP,"S,T",No,Nectariniidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,1.5444649845093,6.44014877433612,LC,349980.16,26.4,Passeriformes,2,Omnivore,Forest,Sedentary,Lower_risk
Arachnothera chrysogenys,43.4,36.3,5.7,4.5,18.4,82.9,14.7,66.8,18,39.6,1,Insessorial,-7.77,13.63,0,0,I,1,1400,4,3,PN,T,No,Nectariniidae,ArborealGleaning,NonCooperative,Cavity,weak,No,1.19947882723865,4.66060489287619,LC,1237350.36,23.2,Passeriformes,2,Omnivore,Forest,Sedentary,Lower_risk
Arachnothera flavigaster,40.3,31.9,7.4,6,20.4,102.2,18.7,83.6,18.2,44.5,1,Insessorial,-5.95,11.65,0,0,I,1,1600,3,3,"SP,PN",T,No,Nectariniidae,ArborealGleaning,NonCooperative,Cavity,weak,No,1.14017542509914,4.15418456257812,LC,1166970.15,38.4,Passeriformes,2,Omnivore,Forest,Sedentary,Lower_risk
Arachnothera juliae,47,36,5.4,4.5,18,79.5,18.1,60,23.2,44.2,1,Insessorial,1.98,6.27,0,1,I,1,2070,1,3,PN,T,No,Nectariniidae,ArborealGleaning,NonCooperative,Cavity,weak,No,0.588566191276542,1.54756250871601,LC,29522.53,30.1,Passeriformes,1.9040404040404,Omnivore,Forest,Sedentary,Lower_risk
Arachnothera longirostra,41.8,34.3,4,3.8,17.5,66.9,9.5,57.6,14.1,42,1,Insessorial,-8.85,28.4,0,0,I,1,600,6,2,PN,"S,T,Z",No,Nectariniidae,ArborealGleaning,NonCooperative,Cavity,weak,No,1.22474487139159,5.07891680151266,LC,3514761.53,12.5,Passeriformes,3,Omnivore,Forest,Sedentary,Lower_risk
Arachnothera magna,46.8,35.9,5.9,5.6,20.6,88.7,16.5,72.5,18.5,49.6,1,Insessorial,2.42,29.53,0,0,I,2,2200,3,3,DM,"S,T",No,Nectariniidae,ArborealGleaning,NonCooperative,Cavity,weak,No,1.21230930280597,4.73707525686803,LC,1984624.62,30.7,Passeriformes,3,Nectar,Forest,Sedentary,Lower_risk
Arachnothera robusta,58.2,48.7,6.1,5.9,17.4,84.2,17.4,65.6,20.9,52.2,1,Insessorial,-8.78,9.41,0,0,I,1,1700,3,4,PN,T,No,Nectariniidae,ArborealGleaning,NonCooperative,Cavity,weak,No,1.45485430502565,5.62473926731575,LC,630859.75,29.3,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Aramides axillaris,40.5,21.8,5.1,10,53.1,166.2,40.3,126,24.2,53.5,1,Terrestrial,-7.07,24.7,0,0,L,1,1400,4,1,"CP,PL",T,No,Rallidae,GroundForaging,Cooperative,ExposedElevated,strong,No,1.36778239986738,4.42124734782716,LC,393931.62,292,Gruiformes,6,Invertebrate,Coastal,Sedentary,Lower_risk
Aramides wolfi,54,28.2,5,10.9,72.7,164.8,19.5,145.3,11.8,49.5,1,Terrestrial,-3.77,6.28,0,0,L,1,900,3,3,CP,"C,S,T",No,Rallidae,GroundForaging,NonCooperative,ExposedElevated,strong,No,1.13678705056488,4.07753744390572,VU,119660.54,454,Gruiformes,4,Invertebrate,Forest,Sedentary,Higher_risk
Aramides ypecaha,77.3,38.1,6.5,13.9,85.3,223,31,190.2,14,87.8,1,Terrestrial,-36.52,-6.86,0,0,L,2,500,3,3,HC,S,No,Rallidae,GroundForaging,NonCooperative,ExposedElevated,strong,No,1.09922909230035,2.99071973173045,LC,3652694.26,700.1,Gruiformes,5,Invertebrate,Wetland,Sedentary,Lower_risk
Aratinga auricapillus,29,23.9,13.3,23.3,15.9,154.2,73.8,80,48,135.4,2,Insessorial,-22.75,-10.76,0,0,L,2,2180,1,3,CV,T,No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,1.32904182525065,4.12066187053947,LC,65241.77,130,Psittaciformes,4,Fruit,Forest,Sedentary,Lower_risk
Aratinga jandaya,28,23,12.7,24.6,14.9,156.2,65.7,90.6,42,138.7,2,Insessorial,-14.41,-0.7,0,0,L,1,1200,4,2,CV,T,No,Psittacidae,ArborealGleaning,NonCooperative,Cavity,none,No,1.10110651859764,3.21486780347066,LC,1514385.78,89.4,Psittaciformes,4,Fruit,Woodland,Sedentary,Lower_risk
Aratinga weddellii,23.4,21.7,12.6,23.6,13.3,141.8,61.6,80.1,43.5,103.2,1,Insessorial,-17.31,1.84,0,0,L,1,750,4,2,CV,T,No,Psittacidae,ArborealGleaning,Cooperative,Cavity,none,No,0.779920670985083,1.33500106673234,LC,2260164.39,108,Psittaciformes,4,Fruit,Forest,Sedentary,Lower_risk
Arborophila campbelli,21.9,9.4,5.6,7.5,40.4,129.5,32.5,97,25,52,1,Terrestrial,2.97,5.71,1,0,I,1,500,1,2,SA,G,No,Phasianidae,GroundForaging,NonCooperative,ExposedGround,strong,No,1.1906908447938,2.40694510831829,LC,17082.49,336,Galliformes,6.09731543624163,Fruit,Forest,Sedentary,Lower_risk
Arborophila crudigularis,23.6,10.2,5.6,8,38.4,137.2,37.2,100,27.1,52,1,Terrestrial,22.55,25.16,1,1,I,2,500,1,4,CR,"R,T",No,Phasianidae,GroundForaging,NonCooperative,ExposedGround,strong,No,2.107568851284,6.45315244631242,LC,22768.9,256.8,Galliformes,8,Herbivore,Forest,Sedentary,Lower_risk
Arborophila rufipectus,21.3,8,4.6,6.5,43,139,26.5,112.5,19.1,69,1,Terrestrial,27.76,29.48,1,0,P,3,400,3,2,SC,T,No,Phasianidae,GroundForaging,NonCooperative,ExposedGround,strong,No,0.868897832617319,4.4042772436087,VU,7707.36,400.1,Galliformes,7,Fruit,Forest,Sedentary,Higher_risk
Arborophila rufogularis,22.2,8.2,4.8,6.4,37.1,135,34.1,100.2,25.5,49,1,Terrestrial,11.21,31.35,0,0,I,1,2400,3,4,"DM,SC",Z,No,Phasianidae,GroundForaging,NonCooperative,Cavity,strong,No,1.08188261427567,4.13516655674236,LC,1245539.71,344.5,Galliformes,8,Herbivore,Forest,Sedentary,Lower_risk
Archboldia papuensis,33.5,14.8,8.2,9.4,43.4,162,28.9,133.2,17.8,158.3,1,Insessorial,-6.57,-3.09,0,1,A,1,1360,2,3,CP,T,No,Ptilonorhynchidae,ArborealGleaning,NonCooperative,ExposedElevated,none,No,0.67694724277124,3.15700042115011,LC,64609.51,177.6,Passeriformes,1,Fruit,Forest,PartiallyMigratory,Lower_risk
Archilochus alexandri,21.6,17.2,1.4,1.6,3.9,42.4,27.4,15,64.4,24.5,2,Aerial,25.5,50.68,0,0,LN,2,2500,4,2,CP,"S,T",No,Trochilidae,AerialScreaning,NonCooperative,ExposedElevated,none,No,1.25491098282004,3.22684399451738,LC,2369566.67,3.4,Caprimulgiformes,2,Nectar,Woodland,Migratory,Lower_risk
Archilochus colubris,20.7,15.1,1.8,1.9,3.4,40.7,27.6,14.7,65,24.3,2,Generalist,25.86,54.77,0,0,LN,2,3000,3,2,CP,"T,B",No,Trochilidae,AerialScreaning,NonCooperative,ExposedElevated,none,No,1.62483099320785,3.86702563949741,LC,4936988.47,3.1,Caprimulgiformes,2,Nectar,Woodland,Migratory,Lower_risk
Ardea alba,126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,32.1,140.5,3,Terrestrial,-52.61,57.34,0,0,CZ,2,4000,4,3,PL,"S,T",No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,1.16467420192303,3.80220813942094,LC,74898555.49,871.3,Pelecaniformes,6,Fish,Wetland,PartiallyMigratory,Lower_risk
Ardea cinerea,138.9,95.5,18.7,25.4,137.9,441,152.7,287.9,34.6,169.1,3,Terrestrial,-34.84,70.43,0,0,E,2,4000,5,3,PL,"B,G,R,Z,T,S",No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,1.21090372443953,4.37575702166029,LC,46421646.29,1443,Pelecaniformes,10,Fish,Wetland,Sedentary,Lower_risk
Ardea cocoi,146.9,120.1,18.7,28.2,186.4,466.3,147.5,316.5,31.8,178.3,3,Terrestrial,-47.49,12.17,0,0,L,2,2550,4,3,PL,"S,T,Z,K",No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,1.05525014691589,3.01553490085017,LC,14742289.16,1752.4,Pelecaniformes,5,Fish,Wetland,Sedentary,Lower_risk
Ardea goliath,198.8,159.8,22.8,35.3,236.6,569.6,184.2,383.8,32.5,228.6,3,Terrestrial,-32.6,31.92,0,0,F,2,2100,2,3,PL,"R,S,T,Z",No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,0.976698111709522,3.60549784517489,LC,17833051.09,4468,Pelecaniformes,5,Fish,Wetland,Sedentary,Lower_risk
Ardea herodias,145.2,106,15.8,23.7,167.5,463.5,169.5,294,36.6,159.2,3,Terrestrial,-1.41,61.14,0,0,LN,2,2500,3,3,PL,"G,R,S,T",No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,1.37744930799686,3.2846635654062,LC,12219055.66,2523.4,Pelecaniformes,7,Fish,Wetland,PartiallyMigratory,Lower_risk
Ardea insignis,160.4,129.2,18.5,28.4,178.5,538.6,195,342,36.3,194,3,Terrestrial,25.8,28.34,0,0,I,2,700,3,2,PL,T,No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,1.07591063303558,4.87976701889122,CR,62911.44,2024,Pelecaniformes,4,Fish,Wetland,Sedentary,Higher_risk
Ardea pacifica,88.2,72,11.9,16.1,131.3,385.2,153.8,223.5,40.8,161,3,Terrestrial,-39.14,-10.69,0,0,A,2,1800,2,3,PL,T,No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,0.757928931136556,1.38629436111989,LC,6791074.14,881,Pelecaniformes,4,Carnivore,Wetland,PartiallyMigratory,Lower_risk
Ardea purpurea,125.9,102.5,13.6,19.6,117.5,349.7,118.2,230.8,33.9,113.2,3,Terrestrial,-34.84,53.18,0,0,E,2,2000,4,3,PL,"S,T,Z",No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,1.2233817698125,4.7740687224499,LC,34922824.77,1064.5,Pelecaniformes,8,Carnivore,Wetland,Migratory,Lower_risk
Ardeola ralloides,72.8,51.5,9.1,11.8,59.4,213.1,68.2,142.6,32.4,75.8,3,Terrestrial,-34.84,49.8,0,0,E,2,2000,3,3,PL,"T,Z",No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,1.04880884817015,3.72810016726722,LC,20358790,287,Pelecaniformes,7,Invertebrate,Wetland,Migratory,Lower_risk
Ardeola rufiventris,66.8,48.5,9.4,12.8,54.2,207.8,56.5,151.2,27.2,72,3,Terrestrial,-33.45,1.3,0,0,F,2,1800,3,3,PL,"S,T",No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,0.960184589404188,3.29212628660779,LC,5546086.48,201.5,Pelecaniformes,4,Carnivore,Wetland,Sedentary,Lower_risk
Ardeola speciosa,68.8,50.7,9.2,11.6,57.5,190.2,50.1,140.2,26.3,63.2,3,Terrestrial,-10.32,15.54,0,0,IW,1,1500,2,3,PL,T,No,Ardeidae,GroundForaging,NonCooperative,ExposedElevated,none,No,1.39985420463223,5.79423237757827,LC,610725.9,253,Pelecaniformes,5,Carnivore,Wetland,PartiallyMigratory,Lower_risk
Ardeotis australis,79.3,42,19.4,18.9,175.5,592.5,260.5,332,44,304,3,Terrestrial,-38.04,-6.56,0,0,A,2,500,5,5,NO,G,No,Otididae,GroundForaging,NonCooperative,ExposedGround,none,No,0.651355562432631,0.53062825106217,LC,6717248.95,4182.4,Otidiformes,3,Omnivore,Grassland,Sedentary,Lower_risk
Ardeotis kori,112.3,62.6,21,21.1,210.2,709.8,274.2,411,40.1,353.3,3,Terrestrial,-32.58,10.77,0,0,F,2,2000,6,5,SC,G,No,Otididae,GroundForaging,NonCooperative,ExposedGround,none,No,0.769160567313459,3.01062088604774,NT,3565934.25,7994.2,Otidiformes,2,Omnivore,Grassland,Sedentary,Lower_risk
