original_name,standardized_name,Residential_development,Agriculture,Energy,Transportation,Biological_use_hunting,Human_intrusions,Natural_modifications,Invasive_species,Pollution,Geological_events,Climate_change,Number_of_threats,Habitat_density,Primary_lifestyle,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Flightlessness,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Foraging_strategy,Mating_system,Nest_placement,Territoriality,Island_dwelling,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Rhynchotus rufescens,Rhynchotus rufescens,0,0,0,0,0,0,0,0,0,0,0,0,3,Terrestrial,41.5,26.8,8.8,8.7,56.6,208.8,40,164,20,56.6,-41.17,-3.43,0,L,2,0,1000,1000,3,5,No,0.837782645,2.389456129,18.80449497,6.777827378,GroundForaging,NonCooperative,ExposedGround,none,No,1.18472228170226,3.4904285153901,STRUTHIONIFORMES,Tinamidae,5674200.18,843.5,LC,9,Omnivore,Grassland,Sedentary,Lower_risk
Rhynchotus maculicollis,Rhynchotus maculicollis,0,0,0,0,0,0,0,0,0,0,0,0,3,Terrestrial,46.3,27.4,9,9,55.9,212,51.7,159.7,24.4,77.2,-26.89,-15.16,0,L,3,1000,2050,3050,1,5,No,0.830349837,2.20925119,17.94423138,6.350887059,GroundForaging,NonCooperative,ExposedGround,weak,No,1.05311616198829,3.25424296870549,STRUTHIONIFORMES,Tinamidae,113175.08,843.5,LC,8,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta ornata,Nothoprocta ornata,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,30.9,18.1,7.3,7.1,38.3,185.6,48.5,137.1,26.1,66,-30.01,-7.67,0,L,2,3000,1600,4600,4,4,No,0.671866561,1.623395284,15.62278604,4.336345128,GroundForaging,NonCooperative,ExposedGround,strong,No,0.91794061753342,2.91777073208428,STRUTHIONIFORMES,Tinamidae,765344.43,619.3,LC,9,Omnivore,Grassland,Sedentary,Lower_risk
Nothoprocta perdicaria,Nothoprocta perdicaria,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,26,13.5,5.9,5.5,34.7,161.5,43.8,119,26.9,50.7,-41.77,-28.41,0,L,3,0,2400,2400,3,3,No,0.697362409,1.615659618,14.68536167,4.148444563,GroundForaging,NonCooperative,ExposedGround,strong,No,1.25743342968294,4.01096295328305,STRUTHIONIFORMES,Tinamidae,118590.62,458,LC,12,Omnivore,Grassland,Sedentary,Lower_risk
Nothoprocta cinerascens,Nothoprocta cinerascens,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,32.8,18.7,7.5,7.4,38.8,180.8,49.4,130.3,27.5,61.6,-41.17,-18.88,0,L,3,0,915,915,5,3,No,0.571763237,1.34049422,11.48567774,2.782564541,GroundForaging,NonCooperative,ExposedGround,strong,No,0.984650177211819,2.05412373369555,STRUTHIONIFORMES,Tinamidae,1208917.27,523.9,LC,11,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta pentlandii,Nothoprocta pentlandii,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,27.9,14.7,5.9,5.9,37,148.2,33.5,114.7,22.6,53.4,-36.9,-2.83,0,L,2,200,4100,4300,4,4,No,0.626137238,1.408095456,13.77308158,3.165695945,GroundForaging,NonCooperative,ExposedGround,weak,No,0.962996287401759,2.82731362192903,STRUTHIONIFORMES,Tinamidae,612683.69,300.7,LC,8,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta curvirostris,Nothoprocta curvirostris,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,29.4,16.1,5.7,5.9,34.6,160.2,49,111.3,30.6,55.2,-10.31,0.6,0,L,1,2800,1100,3900,3,4,No,0.812473102,1.890624381,14.79502842,5.414383638,GroundForaging,NonCooperative,ExposedGround,weak,No,1.39711206765754,4.58394654953646,STRUTHIONIFORMES,Tinamidae,52527.78,376,LC,4,Omnivore,Grassland,Sedentary,Lower_risk
Nothura boraquira,Nothura boraquira,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,21.5,9.8,5.7,4.7,31.1,133.2,35.4,94.7,27.2,47.2,-22.72,-3.2,0,L,1,0,500,500,4,4,No,0.760595837,1.783384219,7.248541944,3.519869514,GroundForaging,NonCooperative,ExposedGround,weak,No,1.00741707177773,2.85070650150373,STRUTHIONIFORMES,Tinamidae,1348296.47,283,LC,6,Omnivore,Shrub,Sedentary,Lower_risk
Nothura minor,Nothura minor,0,1,0,0,0,1,1,1,1,0,1,6,2,Terrestrial,19.4,10.3,5,4.1,27,110,28.2,81.8,25.6,47,-23.93,-15.71,0,L,1,200,800,1000,3,4,No,0.760544201,1.6145639,6.213586649,3.084137081,GroundForaging,NonCooperative,ExposedGround,strong,No,1.64373088345424,5.87549237085556,STRUTHIONIFORMES,Tinamidae,480730.25,165.8,VU,4,Omnivore,Grassland,Sedentary,Higher_risk
Nothura darwinii,Nothura darwinii,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,20.4,9.6,5.6,4.6,28.9,126.4,43.1,82.6,34.4,62.4,-44.49,-9.4,0,L,2,1000,3300,4300,4,4,No,0.717746446,1.603732461,7.173798687,3.196424474,GroundForaging,NonCooperative,ExposedGround,weak,No,1.01705852500181,2.73436750941958,STRUTHIONIFORMES,Tinamidae,1098896.66,244.6,LC,9,Omnivore,Grassland,Sedentary,Lower_risk
