"scientificName_final","decimalLatitude","decimalLongitude","Order","Annualroadkillrate_corrected","adult_mass_g","max_longevity_d","age_first_reproduction_d","litter_size_n","litters_per_year_n","dispersal_km","density_n_km2","home_range_km2","dphy_invertebrate","dphy_plant","det_vend","det_vect","det_scav","det_diet_breadth_n","altitude_breadth_m","EQ","habitat_Forest","habitat_Savanna","habitat_Shrubland","habitat_Grassland","habitat_Wetlands","habitat_Desert","habitat_Artificial_Terrestrial","n_habitats","human_footprint","log_roadkill","roadkill_category"
"Alces alces",46.8131,-71.2075,"Artiodactyla",0.000361446,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-7.92539790511676,"Low"
"Alces alces",45.367584,-68.972168,"Cetartiodactyla",5.10689e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,16.5536117553711,-9.88233485660072,"Low"
"Alces alces",54.687157,25.279652,"Artiodactyla",6.37919e-06,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-11.9624694279152,"Low"
"Alces alces",45.367584,-68.972168,"Cetartiodactyla",5.06095e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,16.5536117553711,-9.89137125225755,"Low"
"Alces alces",45.367584,-68.972168,"Cetartiodactyla",2.87884e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,16.5536117553711,-10.4555380297369,"Low"
"Alces alces",45.367584,-68.972168,"Cetartiodactyla",4.92313e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,16.5536117553711,-9.91898095788021,"Low"
"Alouatta caraya",-20.187971,-54.806624,"Primates",0.01767066,5462.5,11826,1354.15,1,1,2.697,94.009,1.2060153,0,100,0,0,0,2,1911.3415,1.39338721906114,"1","1","0","0","0","0","0",2,11.9530124664307,-4.03584964190496,"Medium"
"Alouatta caraya",-25.54553,-48.78396,"Primates",0.009643224,5462.5,11826,1354.15,1,1,2.697,94.009,1.2060153,0,100,0,0,0,2,1911.3415,1.39338721906114,"1","1","0","0","0","0","0",2,24.6932792663574,-4.64149978643819,"Low"
"Alouatta caraya",-20.490151,-54.80721,"Primates",0.001606505,5462.5,11826,1354.15,1,1,2.697,94.009,1.2060153,0,100,0,0,0,2,1911.3415,1.39338721906114,"1","1","0","0","0","0","0",2,34.6968307495117,-6.43369426705715,"Low"
"Alouatta caraya",-14.157535,-47.59415,"Primates",0.004473565,5462.5,11826,1354.15,1,1,2.697,94.009,1.2060153,0,100,0,0,0,2,1911.3415,1.39338721906114,"1","1","0","0","0","0","0",2,12.5490980148315,-5.40956964907212,"Low"
"Alouatta caraya",-11.904988,-48.737133,"Primates",0.012612579,5462.5,11826,1354.15,1,1,2.697,94.009,1.2060153,0,100,0,0,0,2,1911.3415,1.39338721906114,"1","1","0","0","0","0","0",2,19.4081745147705,-4.37306062969467,"Low"
